index,title,url,video_id,uploader,uploader_id,uploader_url,upload_date,duration,view_count,like_count,comment_count,tags,categories,description,thumbnail,age_limit,is_live,was_live,availability,webpage_url,original_url
1,EuroPython 2023 Opening Session,https://www.youtube.com/watch?v=AsTAAq5jKSo,AsTAAq5jKSo,EuroPython Conference,@EuroPythonConference,https://www.youtube.com/@EuroPythonConference,20230919,1257,2341,12,,"europython,python,conference",Science & Technology,"[EuroPython 2023 — Forum Hall on 2023-07-19]
https://ep2023.europython.eu/session/opening-session

EuroPython 2023 Opening - Welcome and Enjoy!

This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License http://creativecommons.org/licenses/by-nc-sa/4.0/",https://i.ytimg.com/vi/AsTAAq5jKSo/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=AsTAAq5jKSo,https://www.youtube.com/watch?v=AsTAAq5jKSo
2,What my 300+ fantastic young students taught me about Python. — Lil,https://www.youtube.com/watch?v=0njVjfrDeQw,0njVjfrDeQw,EuroPython Conference,@EuroPythonConference,https://www.youtube.com/@EuroPythonConference,20230919,1740,616,5,,"europython,python,conference",Science & Technology,"[EuroPython 2023 — South Hall 2B on 2023-07-21]
https://ep2023.europython.eu/session/what-my-300-fantastic-young-students-taught-me-about-python

Computer pRogramming, Technology, Bit-coinism Success, Climate Change and Billionaires are all associated with one another.
This talk will describe how a cohort of  299+ young people (aged 11-14) were introduced to Python Programming, at the same time, for the very first time.
And in this talk, I  would like to share with a great secret in that I have actually learnt more from the young students than they learnt from me. 
This talk is about how these young people have opened my eyes, mind  and heart about alternative ways of looking at and appreciating:- 
The humble IF statement;  the under-rated FOR loop, the dry Return Statement, the functional Maths & Random modules, etc. as if one were an artist.
We will talk about the renewed delight of looking at these things from fresh pairs of eyes and how we can take these new learnings forward.

This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License http://creativecommons.org/licenses/by-nc-sa/4.0/",https://i.ytimg.com/vi/0njVjfrDeQw/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=0njVjfrDeQw,https://www.youtube.com/watch?v=0njVjfrDeQw
3,"Time Made Easy: Simplify Date and Time Handling with Python's Pendulum — Abhinand C, Jothir Adithyan",https://www.youtube.com/watch?v=12tDwMIAsQs,12tDwMIAsQs,EuroPython Conference,@EuroPythonConference,https://www.youtube.com/@EuroPythonConference,20230919,1645,776,9,,"europython,python,conference",Science & Technology,"[EuroPython 2023 — Terrace 2B on 2023-07-21]
https://ep2023.europython.eu/session/time-made-easy-simplify-date-and-time-handling-with-pythons-pendulum

Pendulum is a Python package for working with dates, times, and timezones. It offers a simple and intuitive API for common date/time operations and provides advanced functionality for dealing with more complex scenarios. Some of the interesting points of Pendulum include support for leap years, time zones, and daylight saving time, as well as a fluent API for creating and modifying dates and times.

One of the standout features of Pendulum is its support for time zones. The library comes with a comprehensive list of time zones, and it can automatically adjust dates and times to the local time zone of a given location. Additionally, Pendulum can handle time zone conversions with ease, making it easy to work with date/time data across different time zones.

Pendulum also provides a powerful API for creating and modifying dates and times. With its fluent interface, developers can create and manipulate dates and times using a natural, human-readable syntax.

This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License http://creativecommons.org/licenses/by-nc-sa/4.0/",https://i.ytimg.com/vi/12tDwMIAsQs/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=12tDwMIAsQs,https://www.youtube.com/watch?v=12tDwMIAsQs
4,Quantify Self — Alisa Dammer,https://www.youtube.com/watch?v=1ECMa_1nmig,1ECMa_1nmig,EuroPython Conference,@EuroPythonConference,https://www.youtube.com/@EuroPythonConference,20230919,1928,467,7,,"europython,python,conference",Science & Technology,"[EuroPython 2023 — Terrace 2A on 2023-07-20]
https://ep2023.europython.eu/session/quantify-self

Want to learn something new about yourself? This talk will showcase some approaches to get the best from behavioral tracking as well as silent wearables tracking. Where and how to get data with my experience regarding the quality (expectation management), what to do with the raw data (IDA + some knowledge needed), how to convert insights into actions.

This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License http://creativecommons.org/licenses/by-nc-sa/4.0/",https://i.ytimg.com/vi/1ECMa_1nmig/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=1ECMa_1nmig,https://www.youtube.com/watch?v=1ECMa_1nmig
5,"Building and Deploying Fair and Unbiased ML Systems: An Art, Not Science — Rashmi Nagpal",https://www.youtube.com/watch?v=2gikG7XQSBc,2gikG7XQSBc,EuroPython Conference,@EuroPythonConference,https://www.youtube.com/@EuroPythonConference,20230919,1795,356,10,,"europython,python,conference",Science & Technology,"[EuroPython 2023 — Terrace 2B on 2023-07-21]
https://ep2023.europython.eu/session/building-and-deploying-fair-and-unbiased-ml-systems-an-art-not-science

There has been a renaissance around Artificial Intelligence systems in recent years. However, despite the hype, only a small percentage, i.e. 13% of Machine Learning models see the light of day!
Well, effectively building and deploying machine learning models is more of an art than science! ML models are indeed inherently complex, have fuzzy boundaries, and rely heavily on data distribution. But what if they are trained on biased data? Then they’ll generate highly biased decisions! As the famous saying goes by,  “Garbage in, garbage out,” so if the model is trained on skewed and unfair data distribution, they are bound to produce fuzzy output!
So, join me in this talk as I will share my learnings in developing effective practices to build and deploy ethical, fair and unbiased machine learning models into production.

This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License http://creativecommons.org/licenses/by-nc-sa/4.0/",https://i.ytimg.com/vi/2gikG7XQSBc/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=2gikG7XQSBc,https://www.youtube.com/watch?v=2gikG7XQSBc
6,Kindnesses & Promises — Petr Viktorin,https://www.youtube.com/watch?v=2vcMpu_4zeM,2vcMpu_4zeM,EuroPython Conference,@EuroPythonConference,https://www.youtube.com/@EuroPythonConference,20230919,3359,300,3,,"europython,python,conference",Science & Technology,"[EuroPython 2023 — Forum Hall on 2023-07-19]
https://ep2023.europython.eu/session/kindnesses-promises

The more applications you build, the more libraries you share, the more they become an excuse to meet people and have fun together.

What makes it fun? And how do we keep it fun?

This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License http://creativecommons.org/licenses/by-nc-sa/4.0/",https://i.ytimg.com/vi/2vcMpu_4zeM/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=2vcMpu_4zeM,https://www.youtube.com/watch?v=2vcMpu_4zeM
7,A quick guide to logging for Django developers — Ivaylo Donchev,https://www.youtube.com/watch?v=3gLkdc9yN1o,3gLkdc9yN1o,EuroPython Conference,@EuroPythonConference,https://www.youtube.com/@EuroPythonConference,20230919,1538,644,14,,"europython,python,conference",Science & Technology,"[EuroPython 2023 — South Hall 2A on 2023-07-19]
https://ep2023.europython.eu/session/a-quick-guide-to-logging-for-django-developers

The python `logging` module is a really powerful tool for troubleshooting with a lot of potential to save us hours of debugging.

The aim for the talk is to provide an overview how the logging module in python works, how Django uses it and how to improve our logging to make it better for our web project.

This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License http://creativecommons.org/licenses/by-nc-sa/4.0/",https://i.ytimg.com/vi/3gLkdc9yN1o/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=3gLkdc9yN1o,https://www.youtube.com/watch?v=3gLkdc9yN1o
8,Scipp: multi-dimensional arrays with labeled dimensions and physical units — Neil Vaytet,https://www.youtube.com/watch?v=4ozM506fJ58,4ozM506fJ58,EuroPython Conference,@EuroPythonConference,https://www.youtube.com/@EuroPythonConference,20230919,1976,418,9,,"europython,python,conference",Science & Technology,"[EuroPython 2023 — South Hall 2B on 2023-07-21]
https://ep2023.europython.eu/session/scipp-multi-dimensional-arrays-with-labeled-dimensions-and-physical-units

Inspired by Xarray, Scipp ([scipp.github.io](https://scipp.github.io)) enriches raw NumPy-like multi-dimensional data arrays by adding named dimensions and associated coordinates.
For an even more intuitive and less error-prone user experience, Scipp adds physical units to arrays and their coordinates.
Scipp data arrays additionally support a dictionary of masks, as well as histogram bin-edge coordinates.

One of Scipp's key features is the possibility of using multi-dimensional non-destructive binning to sort record-based ""tabular""/""event"" data into arrays of bins.
This provides fast and flexible binning, rebinning, and filtering operations, all while preserving the original individual records.

Scipp ships with data display and visualization features for Jupyter notebooks, including a powerful plotting interface.
Named Plopp, this tool uses a graph of connected nodes to provide interactivity between multiple plots and widgets, requiring only a few lines of code from the user.

This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License http://creativecommons.org/licenses/by-nc-sa/4.0/",https://i.ytimg.com/vi/4ozM506fJ58/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=4ozM506fJ58,https://www.youtube.com/watch?v=4ozM506fJ58
9,How dunder methods rule Python under the hood — Rodrigo Girão Serrão,https://www.youtube.com/watch?v=8z1dJgnX2qQ,8z1dJgnX2qQ,EuroPython Conference,@EuroPythonConference,https://www.youtube.com/@EuroPythonConference,20230919,1469,895,30,,"europython,python,conference",Science & Technology,"[EuroPython 2023 — South Hall 2A on 2023-07-20]
https://ep2023.europython.eu/session/how-dunder-methods-rule-python-under-the-hood

[Python dunder methods](https://mathspp.com/blog/pydonts/dunder-methods) – like `__init__` – are sometimes referred to as “magic methods” but they are not!

They are just regular methods!

Functions that are associated with objects and that you can call with arguments.

The only thing is... Python also calls those functions behind the scenes in certain situations!

So, let us learn what that is all about.

This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License http://creativecommons.org/licenses/by-nc-sa/4.0/",https://i.ytimg.com/vi/8z1dJgnX2qQ/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=8z1dJgnX2qQ,https://www.youtube.com/watch?v=8z1dJgnX2qQ
10,Upgrading Django - from legacy to latest — Kamen Kotsev,https://www.youtube.com/watch?v=9i1VZQg8mFg,9i1VZQg8mFg,EuroPython Conference,@EuroPythonConference,https://www.youtube.com/@EuroPythonConference,20230919,2331,1113,25,,"europython,python,conference",Science & Technology,"[EuroPython 2023 — Terrace 2B on 2023-07-21]
https://ep2023.europython.eu/session/upgrading-django-from-legacy-to-latest

Django is a framework that's been around for more than 15 years, which makes for enough legacy projects to deal with.

In this talk we'll show practical tips and tricks for how to get Django from legacy to latest & greatest.

This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License http://creativecommons.org/licenses/by-nc-sa/4.0/",https://i.ytimg.com/vi/9i1VZQg8mFg/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=9i1VZQg8mFg,https://www.youtube.com/watch?v=9i1VZQg8mFg
