index,title,url,video_id,uploader,uploader_id,uploader_url,upload_date,duration,view_count,like_count,comment_count,tags,categories,description,thumbnail,age_limit,is_live,was_live,availability,webpage_url,original_url
1,"Friday Keynote: Robin McNeill, Chief Executive Officer of Space Operations New Zealand",https://www.youtube.com/watch?v=1YiJLkE5ii8,1YiJLkE5ii8,Python New Zealand,@PythonNewZealand,https://www.youtube.com/@PythonNewZealand,20231009,3417,233,3,,Kiwi PyCon,Science & Technology,"Robin McNeill was appointed CEO of Space Operations New Zealand in October 2021. He began his career in 1981 as an engineer designing and building remote and rural telecommunications networks in Southland and, later, the Pacific region.

He has built satellite ground stations in Antarctica, the Equator and half-way between. Mr McNeill championed and developed the Awarua Satellite Ground Station, starting in 2004 to support the European Space Agency's ATV launch campaigns.

Mr McNeill is a Fellow of Engineering New Zealand, Senior Member of IEEE and is an Adjunct Fellow at the Department of Electrical and Computer Engineering at the University of Canterbury. He is an Expert on the International Astronautical Federation’s Space Operations Committee and was presented the Rabone Award for Engineering Excellence in 2016.

He was made a Member of the New Zealand Order of Merit in 2017.",https://i.ytimg.com/vi/1YiJLkE5ii8/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=1YiJLkE5ii8,https://www.youtube.com/watch?v=1YiJLkE5ii8
2,Python Code Organisation Without Tears by Grant Paton Simpson,https://www.youtube.com/watch?v=0QmY2k4cD7k,0QmY2k4cD7k,Python New Zealand,@PythonNewZealand,https://www.youtube.com/@PythonNewZealand,20231009,1504,324,13,,Kiwi PyCon,Science & Technology,"You create a Python script – it runs. You split your code into modules – it still runs (unless you accidentally do circular importing). Python rocks! You organise everything into folders – now you have importing problems and your code stops running :-(. You try random “solutions” from Stack Overflow: add empty init.py files everywhere; swap back and forth between relative and absolute importing; hack sys.path; consider hacking package; read endless “explanations”, many of them out-of-date. Tears. This talk provides simple guidelines that always work. Never be anxious when considering code re-organisation again.",https://i.ytimg.com/vi/0QmY2k4cD7k/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=0QmY2k4cD7k,https://www.youtube.com/watch?v=0QmY2k4cD7k
3,A practical guide to using OpenTelemetry in Python by Tom Eastman.,https://www.youtube.com/watch?v=R8BYnL-Yp1w,R8BYnL-Yp1w,Python New Zealand,@PythonNewZealand,https://www.youtube.com/@PythonNewZealand,20231010,1881,10097,166,,Kiwi PyCon,Science & Technology,"Modern development has definitely moved past ""logs"" these days. Structured logs are a great start, but nowadays there are frameworks that give you a vast amount of data about the internals of your application, in ways that remain usable even when your application gets... complex.

OpenTelemetry is ""a collection of tools, APIs, and SDKs. Use it to instrument, generate, collect, and export telemetry data (metrics, logs, and traces) to help you analyze your software’s performance and behavior.""

Okay, so how do I use it?

In this talk, I'd like to present you with a practical guide to getting underway with using the Python OpenTelemetry SDKs and APIs. How to get them integrated into your application, and how to get the most out of them.",https://i.ytimg.com/vi/R8BYnL-Yp1w/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=R8BYnL-Yp1w,https://www.youtube.com/watch?v=R8BYnL-Yp1w
4,Moving from unittest to pytest by Tim Penhey,https://www.youtube.com/watch?v=z1gh7GBuQZo,z1gh7GBuQZo,Python New Zealand,@PythonNewZealand,https://www.youtube.com/@PythonNewZealand,20231009,2504,492,12,,Kiwi PyCon,Science & Technology,"A long time python programmer. Was taught good testing practices by members of my team from a project in the distant past.

Have taken these practices with me to new companies and teams.

Currently working at Stacklet aiming to improve companies security and compliance posture in public clouds.",https://i.ytimg.com/vi/z1gh7GBuQZo/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=z1gh7GBuQZo,https://www.youtube.com/watch?v=z1gh7GBuQZo
5,Using React as a template language in Flask by Paul Hallett,https://www.youtube.com/watch?v=81LWuqHI23E,81LWuqHI23E,Python New Zealand,@PythonNewZealand,https://www.youtube.com/@PythonNewZealand,20231009,1646,397,7,,Kiwi PyCon,Science & Technology,"At Sharesies we build our retail app in React, with a Python API backend.

But our ""Operator Tools"" is a different story, and in late 2021 we were rapidly growing and needed an alternative way of delivering type-safe, quality features to meet the demands of our growing userbase. The result was a framework that was focused on developer productivity, and I'm going to show you how it works!",https://i.ytimg.com/vi_webp/81LWuqHI23E/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=81LWuqHI23E,https://www.youtube.com/watch?v=81LWuqHI23E
6,Automate business processes for all your companies with Odoo by Danny Adair & Graeme Gellatly,https://www.youtube.com/watch?v=j2NKLNfdNBM,j2NKLNfdNBM,Python New Zealand,@PythonNewZealand,https://www.youtube.com/@PythonNewZealand,20231010,2668,241,8,,Kiwi PyCon,Science & Technology,"Graeme and Danny will present real life challenges and solutions for a multi-company group in manufacturing and trade, drawing on 12 years of professional experiences with the Python-based business management system Odoo.

A focus will be on the automation of core business processes, and how to optimise such automations to save time and money.",https://i.ytimg.com/vi/j2NKLNfdNBM/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=j2NKLNfdNBM,https://www.youtube.com/watch?v=j2NKLNfdNBM
7,DuckDB: Supercharging Your Data Crunching  by Richard Wesley,https://www.youtube.com/watch?v=3EcOJMDKB7Q,3EcOJMDKB7Q,Python New Zealand,@PythonNewZealand,https://www.youtube.com/@PythonNewZealand,20231010,1844,5073,151,,Kiwi PyCon,Science & Technology,"Until recently Richard was a Principal Software Engineer and then a Senior Research Scientist at data visualisation pioneer Tableau Software. After failing to retire, he now divides his time between working on temporal analytics for the DuckDB Project and supporting the energy transition.",https://i.ytimg.com/vi/3EcOJMDKB7Q/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=3EcOJMDKB7Q,https://www.youtube.com/watch?v=3EcOJMDKB7Q
8,Using Python to build gateways to space by Chris Bull,https://www.youtube.com/watch?v=kKJXb9O20IQ,kKJXb9O20IQ,Python New Zealand,@PythonNewZealand,https://www.youtube.com/@PythonNewZealand,20231011,2102,247,3,,Kiwi PyCon,Science & Technology,"With recent innovation in the space sector rapidly improving both access to and utilisation of space, scalable and affordable solutions are needed for communicating with the ever-growing number of spacecraft in orbit. To tackle this problem, we at Space Operations New Zealand are leveraging our 15+ years of heritage in providing satellite telecommunications, to develop cutting-edge systems for connecting the increasingly diverse range of satellite operators with their spacecraft. We are also researching novel ways to rapidly identify and locate spacecraft during the most dangerous phase of their life cycle: immediately after launch.

In this talk, I will discuss our current research and development projects, and the central role Python plays in them. I will also explore the benefits of using Python for our core development and discuss the reasons we do not use it for all our applications.",https://i.ytimg.com/vi/kKJXb9O20IQ/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=kKJXb9O20IQ,https://www.youtube.com/watch?v=kKJXb9O20IQ
9,"Sometimes this is a pipe, or close enough by David Hood.",https://www.youtube.com/watch?v=R5GW3A7_aJ0,R5GW3A7_aJ0,Python New Zealand,@PythonNewZealand,https://www.youtube.com/@PythonNewZealand,20231011,1779,109,2,,Kiwi PyCon,Science & Technology,"With decades of experience in teaching people to use research software, and wide ranging topics of interest, I have particular expertise in analysing and explaining New Zealand public/ open data.",https://i.ytimg.com/vi/R5GW3A7_aJ0/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=R5GW3A7_aJ0,https://www.youtube.com/watch?v=R5GW3A7_aJ0
10,Saturday keynote: You're Doing Great! The underappreciated art of appreciation by  Loren Crary,https://www.youtube.com/watch?v=z2uwEwsVguw,z2uwEwsVguw,Python New Zealand,@PythonNewZealand,https://www.youtube.com/@PythonNewZealand,20231011,3042,92,1,,Kiwi PyCon,Science & Technology,"Loren is the Director of Resource Development for the Python Software Foundation. She has previously worked/volunteered/made coffee at a variety of nonprofit and other organizations including a farm in Boston, a hotel in Uganda, and a public interest law office in Manhattan. Most recently, she spent seven years at a social enterprise that works with teenagers in East Africa to practice soft skills and entrepreneurship. She is a graduate of Stanford Law School. She lives in New York City with her wee rescue dog, Penny.",https://i.ytimg.com/vi/z2uwEwsVguw/hqdefault.jpg?sqp=-oaymwEmCOADEOgC8quKqQMa8AEB-AH-CYAC0AWKAgwIABABGGUgUihgMA8=&rs=AOn4CLAau50MnEvRJ7WhOaFRBbahudMdWQ,0,False,False,public,https://www.youtube.com/watch?v=z2uwEwsVguw,https://www.youtube.com/watch?v=z2uwEwsVguw
