index,title,url,video_id,uploader,uploader_id,uploader_url,upload_date,duration,view_count,like_count,comment_count,tags,categories,description,thumbnail,age_limit,is_live,was_live,availability,webpage_url,original_url
1,"""Extracting data from Excel with Python"" - samuel oranyeli (PyConline AU 2020)",https://www.youtube.com/watch?v=8RNh7pe3h1Q,8RNh7pe3h1Q,PyCon AU,@PyConAU,https://www.youtube.com/@PyConAU,20200906,1449,8183,81.0,,"pyconau,pyconau_2020,Python,PyCon,PyConAU,PyConline,samueloranyeli",Education,"samuel oranyeli

https://2020.pycon.org.au/program/FAEAH3

How do you read data from Excel? How do you read data that has meaningful formats(rows or cells are colour coded)? Or pivot tables that need to be in tidy format? Or data with hierarchical formatting ? This talk will show how to use Pandas, Openpyxl, and some other make-life-easy tools to extract data from Excel into Python in a tidy form and proceed to the next phase of our data analysis.

Produced by NDV: https://youtube.com/channel/UCQ7dFBzZGlBvtU2hCecsBBg?sub_confirmation=1

Python, PyCon, PyConAU, PyConline

Fri Sep  4 13:20:00 2020 at Curlyboi",https://i.ytimg.com/vi/8RNh7pe3h1Q/sddefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=8RNh7pe3h1Q,https://www.youtube.com/watch?v=8RNh7pe3h1Q
2,"""Taking Django's ORM Async"" - Andrew Godwin (PyConline AU 2020)",https://www.youtube.com/watch?v=ibAmA4QQDhs,ibAmA4QQDhs,PyCon AU,@PyConAU,https://www.youtube.com/@PyConAU,20200908,1510,5166,178.0,,"pyconau,pyconau_2020,Python,PyCon,PyConAU,PyConline,AndrewGodwin",Education,"Andrew Godwin

https://2020.pycon.org.au/program/SLXVBU

The quest to add ""hybrid"" asynchronous support to Django - where it can run both synchronous and asynchronous code - is a long one. Django 3.1 reached an important milestone with synchronous and asynchronous views, and now the next big step is to take a long, hard look at the thing that makes up over half the Django codebase: the ORM.

The ORM is gigantic, old, and complex - and has an API designed and tweaked over many years. We'll look at some of those design decisions and how they reflect in the world of async, the challenges that underlie a hybrid API, as well as how the safety-first nature of the ORM has to evolve to deal with new and exciting async ways of breaking things.

We'll also dive into what it means to have asynchronous database backends, and how support for those are progressing in the Python world - and how we're trying to ship something that's useful before fully asynchronous database APIs are done.

Produced by NDV: https://youtube.com/channel/UCQ7dFBzZGlBvtU2hCecsBBg?sub_confirmation=1

Python, PyCon, PyConAU, PyConline

Fri Sep  4 17:10:00 2020 at Python 2",https://i.ytimg.com/vi/ibAmA4QQDhs/sddefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=ibAmA4QQDhs,https://www.youtube.com/watch?v=ibAmA4QQDhs
3,"""3 ways to test S3 in Python"" - Sanjay Siddhanti (PyConline AU 2020)",https://www.youtube.com/watch?v=NBICMF0i4Ok,NBICMF0i4Ok,PyCon AU,@PyConAU,https://www.youtube.com/@PyConAU,20200908,1409,4528,61.0,,"pyconau,pyconau_2020,Python,PyCon,PyConAU,PyConline,SanjaySiddhanti",Education,"Sanjay Siddhanti

https://2020.pycon.org.au/program/VXXUWE

- Benefits of testing code that uses S3
- In-depth code examples of three ways to test S3:

1. Mock out the S3 API responses using botocore stubs
2. Mock the S3 API using moto
3. Spin up a LocalStack S3 instance and test against that

Produced by NDV: https://youtube.com/channel/UCQ7dFBzZGlBvtU2hCecsBBg?sub_confirmation=1

Python, PyCon, PyConAU, PyConline

Sat Sep  5 16:00:00 2020 at Python 2",https://i.ytimg.com/vi/NBICMF0i4Ok/sddefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=NBICMF0i4Ok,https://www.youtube.com/watch?v=NBICMF0i4Ok
4,"Of Django, PostgreSQL schemas, and your multi-million dollar idea",https://www.youtube.com/watch?v=OfPE7yj1trw,OfPE7yj1trw,PyCon AU,@PyConAU,https://www.youtube.com/@PyConAU,20200908,1443,4317,101.0,,"pyconau,pyconau_2020,Python,PyCon,PyConAU,PyConline,LorenzoPeña",Education,"Lorenzo Peña

https://2020.pycon.org.au/program/CRSJXF

Although rough for the world, 2020 is proving a good year (and decade start) for Django. Boring batteries-included frameworks and established monolith makers are shining again, in a world where the hype-enchantment of JavaScript and micro-everything is starting to wear off and fall into a more mature position of tradeoffs. After 15 years of life, Django continues to prove solid, battle tested, and very capable of major undertakings in the web arena.

Over the last decade, the competence of the framework has extended to the SaaS world, through a number of packages that have emerged as viable options for making Django multi-tenant. PostgreSQL concept of _schemas_ has opened a new exploration space for multi-tenancy, by combining the power of RDBMS native isolation with the reduced costs of managing a single database.

However, nothing comes for free. The ease of using PostgreSQL schemas for multi-tenancy in Django comes at the expense of some challenges that must be overcome in the short, medium, and long term, if the project seeks to survive while gracefully escaling to success.

In this talk we will cover the major challenges of doing multi-tenancy in Django through PostgreSQL schemas. You will learn the pros and cons of the approach as you move from tutorial-grade projects to massive multi-tenant behemoths. By the end, you will be able to answer whether or not this is going to be a feasible approach for your next multi-million dollar idea.

Produced by NDV: https://youtube.com/channel/UCQ7dFBzZGlBvtU2hCecsBBg?sub_confirmation=1

Python, PyCon, PyConAU, PyConline

Fri Sep  4 17:45:00 2020 at Python 2",https://i.ytimg.com/vi/OfPE7yj1trw/sddefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=OfPE7yj1trw,https://www.youtube.com/watch?v=OfPE7yj1trw
5,Build your own data warehouse for personal analytics with SQLite and Datasette,https://www.youtube.com/watch?v=CPQCD3Qxxik,CPQCD3Qxxik,PyCon AU,@PyConAU,https://www.youtube.com/@PyConAU,20200908,1429,3363,115.0,,"pyconau,pyconau_2020,Python,PyCon,PyConAU,PyConline,SimonWillison",Education,"Simon Willison

https://2020.pycon.org.au/program/73UK8X

Many data enthusiasts dream of analyzing their own personal data, but few find time to build their own pipeline for it. This talk will show you how to get started with personal analytics with the highest possible return on your invested effort.

SQLite is the ideal tool for building a personal data analysis pipeline: it's free, fast and widely supported. Each database is a single file on disk, so you don't need to set up a database server to start using it. Tools that import data into SQLite can be written in any programming language, and its JSON support means it can even ingest data that may not fit neatly in a standard relational database table.

Datasette is a Python application that provides an interface over SQLite. It lets you bookmark and queries in your browser and export the results as JSON and CSV. The Datasette plugin ecosystem has over 30 plugins that extend Datasette in different ways, adding visualization tools, alternative export formats and more.

I'll show how to combine SQLite, Datasette and some simple Python scripts to ingest personal data from multiple different sources and build a personal data warehouse for your digital life. Data sources will include:

- Twitter
- Facebook
- Apple Photos
- LinkedIn
- Google (via Google Takeout)
- Foursquare / Swarm
- GitHub
- Apple Health
- 23AndMe

Techniques that work for an individual can work for organizations too. I'll finish by showing how this approach to working with data can scale up to solving professional problems in addition to personal analytics.

Produced by NDV: https://youtube.com/channel/UCQ7dFBzZGlBvtU2hCecsBBg?sub_confirmation=1

Python, PyCon, PyConAU, PyConline

Fri Sep  4 16:00:00 2020 at Curlyboi",https://i.ytimg.com/vi/CPQCD3Qxxik/sddefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=CPQCD3Qxxik,https://www.youtube.com/watch?v=CPQCD3Qxxik
6,A sack full of angry snakes: Taming your python dependencies with Nix,https://www.youtube.com/watch?v=8ng4v1g5q7s,8ng4v1g5q7s,PyCon AU,@PyConAU,https://www.youtube.com/@PyConAU,20200908,1446,2757,77.0,,"pyconau,pyconau_2020,Python,PyCon,PyConAU,PyConline,ThomasWoolford",Education,"Thomas Woolford

https://2020.pycon.org.au/program/USWEYZ

Scientists, Researchers and Software Engineering projects should be paying attention to the reproducibility of their results. The best way to guarantee that the project you build today will be the same when built next week is to exactly specify your dependency tree. 

Imperative package management approaches (such as apt/pip/conda) provide few assurances that the package version you get today is the same version you'll get tomorrow, or that installing packages in a different order won't change the versions resolved. The problem gets even harder when you want to integrate with native extensions that rely on platform libraries and the ephemeral contents of /usr/share/. 

In this talk I'll discuss how Nix package manager can provide a complete dependency management solution for python projects on Linux and Mac. Nix can install and track exact, reproducible versions of python packages and their transitive dependencies including platform libraries, down to the compiler version that created them. No more guessing why your teammate can trigger a bug that you can't reproduce.

Nix can use this dependency info to quickly get new teammates up and running with a full development environment, no worries about the setup instructions being out of date or incompatible with their chosen OS flavor. Finally, Nix can build your project in a sealed build environment that prevents your project sneakily including files that haven't been declared as dependencies. You can then confidently deploy these builds as minimal docker images, VM images, or directly via nix package caches.

Produced by NDV: https://youtube.com/channel/UCQ7dFBzZGlBvtU2hCecsBBg?sub_confirmation=1

Python, PyCon, PyConAU, PyConline

Fri Sep  4 13:20:00 2020 at Obvious",https://i.ytimg.com/vi/8ng4v1g5q7s/sddefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=8ng4v1g5q7s,https://www.youtube.com/watch?v=8ng4v1g5q7s
7,"""GitHub Actions & Python"" - Jack McKew (PyConline AU 2020)",https://www.youtube.com/watch?v=7aBjzZkaGhU,7aBjzZkaGhU,PyCon AU,@PyConAU,https://www.youtube.com/@PyConAU,20200908,1383,2711,47.0,,"pyconau,pyconau_2020,Python,PyCon,PyConAU,PyConline,JackMcKew",Education,"Jack McKew

https://2020.pycon.org.au/program/MRUT7W

GitHub Actions are free-to-use, plug & play blocks of continuous integration / continuous delivery (CICD). 

This talk will go into how GitHub actions help me maintain my open source Python packages (Pandas_Alive), and how I released my own GitHub Actions for automating the packaging of Python code to executables with PyInstaller.

Tutorial blog posts I've written:

https://jackmckew.dev/github-actions-for-cicd.html

https://jackmckew.dev/how-to-make-github-actions.html

GitHub Actions I've released:

https://github.com/marketplace/actions/pyinstaller-windows

https://github.com/marketplace/actions/pyinstaller-linux

https://github.com/marketplace/actions/python-interrogate-check

Open source Python projects that GitHub actions help me maintain:

https://github.com/JackMcKew/pandas_alive

This talk has a brief mention of animated graphs to do with the COVID-19 pandemic.

Produced by NDV: https://youtube.com/channel/UCQ7dFBzZGlBvtU2hCecsBBg?sub_confirmation=1

Python, PyCon, PyConAU, PyConline

Sat Sep  5 11:35:00 2020 at Floperator",https://i.ytimg.com/vi/7aBjzZkaGhU/sddefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=7aBjzZkaGhU,https://www.youtube.com/watch?v=7aBjzZkaGhU
8,"""The worst outage I never caused"" - Julien Goodwin (PyConline AU 2020)",https://www.youtube.com/watch?v=AUTsDTVtfFE,AUTsDTVtfFE,PyCon AU,@PyConAU,https://www.youtube.com/@PyConAU,20200908,1721,2413,55.0,,"pyconau,pyconau_2020,Python,PyCon,PyConAU,PyConline,JulienGoodwin",Education,"Julien Goodwin

https://2020.pycon.org.au/program/VKMUTH

In 2017 I came one keypress from causing Google's main backbone to largely fall off the Internet. This is the story of how we used that incident as a learning opportunity, how a lack of buy-in hindered further improvements, and how an existing toolkit of python libraries allowed testing and validation tools to be quickly built, preventing any chance of a recurrence.

Produced by NDV: https://youtube.com/channel/UCQ7dFBzZGlBvtU2hCecsBBg?sub_confirmation=1

Python, PyCon, PyConAU, PyConline

Fri Sep  4 16:35:00 2020 at Obvious",https://i.ytimg.com/vi/AUTsDTVtfFE/sddefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=AUTsDTVtfFE,https://www.youtube.com/watch?v=AUTsDTVtfFE
9,"""Your Escape Plan From Numpy + Cython"" - Cheng-Lin Yang (PyConline AU 2020)",https://www.youtube.com/watch?v=Xkq12Zz8fro,Xkq12Zz8fro,PyCon AU,@PyConAU,https://www.youtube.com/@PyConAU,20200908,1541,1956,46.0,,"pyconau,pyconau_2020,Python,PyCon,PyConAU,PyConline,Cheng-LinYang",Education,"Cheng-Lin Yang

https://2020.pycon.org.au/program/Y3SXGF

If you've been a data scientist or researcher long enough, you must have encountered a situation where your NumPy code ran quickly on small datasets in a testing environment but performed poorly on real-world datasets (100x larger or more). In this talk, I will introduce three Pythonic solutions to improve NumPy performance drastically without modifying too many codes.

At the beginning of the talk, a math equation: logsumexp, which is widely used in machine learning, will be illustrated. I will show how it is implemented with pure NumPy and use it as a benchmark so we can compare it to three proposed solutions at the end of the talk.

Then, three solutions: CuPy, Numba, and Pythran will be presented in separate sections. In each section, I will give a brief introduction to the solution and show how to apply this solution to our benchmark code.

At the end of the talk, I will compare these solutions from different aspects:

    * How much performance is boosted after each solution is applied
    * Ease to apply on your existing code (including the ease of debugging)
    * Limitations of each solution
    * Which solution should be applied first in given scenarios

Last but not the least, I will show a relatively new but interesting solution: Transonic to the audience so they can give it a try on their side project.

Produced by NDV: https://youtube.com/channel/UCQ7dFBzZGlBvtU2hCecsBBg?sub_confirmation=1

Python, PyCon, PyConAU, PyConline

Sat Sep  5 16:00:00 2020 at Obvious",https://i.ytimg.com/vi/Xkq12Zz8fro/sddefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=Xkq12Zz8fro,https://www.youtube.com/watch?v=Xkq12Zz8fro
10,"""Streamlit - Build interactive data dashboards quickly"" - Jaimin Khanderia (PyConline AU 2020)",https://www.youtube.com/watch?v=UdovrY0bLuw,UdovrY0bLuw,PyCon AU,@PyConAU,https://www.youtube.com/@PyConAU,20200908,1542,1409,24.0,,"pyconau,pyconau_2020,Python,PyCon,PyConAU,PyConline,JaiminKhanderia",Education,"Jaimin Khanderia

https://2020.pycon.org.au/program/RL8S3N

Streamlit is a framework that allows you to build interactive analytical apps very rapidly. It is gaining popularity among data scientists and analysts around the world as it helps them make a data dashboard that is elegant and aesthetically pleasing. In my presentation, I’ll briefly state what is Streamlit and how it is super useful for data scientists and analysts. I’ll then go over the basic Streamlit components and examples that demonstrate how easy it is to make an interactive data dashboard in Python. (Yes you heard it right, no JavaScript required :D) By the end of this talk, you’ll know the basics of Streamlit and would be able to build an interactive web application for data visualization and analysis with just a few lines of code in Python.

Produced by NDV: https://youtube.com/channel/UCQ7dFBzZGlBvtU2hCecsBBg?sub_confirmation=1

Python, PyCon, PyConAU, PyConline

Fri Sep  4 11:00:00 2020 at Curlyboi",https://i.ytimg.com/vi/UdovrY0bLuw/sddefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=UdovrY0bLuw,https://www.youtube.com/watch?v=UdovrY0bLuw
