index,title,url,video_id,uploader,uploader_id,uploader_url,upload_date,duration,view_count,like_count,comment_count,tags,categories,description,thumbnail,age_limit,is_live,was_live,availability,webpage_url,original_url
1,Specialist Tracks Combined Opening Address,https://www.youtube.com/watch?v=P7wpGJqtOOk,P7wpGJqtOOk,PyCon AU,@PyConAU,https://www.youtube.com/@PyConAU,20230819,1162,810,6,,"JackSkinner,KatieMcLaughlin,LillyRyan,NickyRingland,PedroJunqueira,pyconau,pyconau_2023",Education,"(Pedro Junqueira, Jack Skinner, Nicky Ringland, Katie McLaughlin, Lilly Ryan) This year, all four special tracks will share a combined opening address!

https://pretalx.com/pyconau-2023/talk/EJWEMK/

python, pycon, australia, programming, conference, technical, pyconline, developers, panel, sessions, libraries, frameworks, community, sysadmins, students, education, data, science

Videos licensed as CC-BY-NC-SA 4.0

PyCon AU is the national conference for the Python programming community, bringing together professional, student and enthusiast developers, sysadmins and operations folk, students, educators, scientists, statisticians, and many others besides, all with a love for working with Python.

Licensed as CC BY-NC-SA - http://creativecommons.org/licenses/by-nc-sa/4.0/

Produced by Next Day Video Australia: https://nextdayvideo.com.au

Fri Aug 18 09:00:00 2023 at Hall C (Plenary)",https://i.ytimg.com/vi/P7wpGJqtOOk/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=P7wpGJqtOOk,https://www.youtube.com/watch?v=P7wpGJqtOOk
2,"Learning FastAPI on hard-mode: getting out lots of the hardest (aw yeah, geo) data fast",https://www.youtube.com/watch?v=UlhLRp5mbrU,UlhLRp5mbrU,PyCon AU,@PyConAU,https://www.youtube.com/@PyConAU,20230820,1743,2309,71,,"ElenaWilliams,pyconau,pyconau_2023",Education,"(Elena Williams) **APIs! Async! Type validation! ISO standards! Large geodata!** Let’s do it all in python in 2023.

This will be a tour of FastAPI, Pydantic, pyproj and some other interesting modern tooling -- this talk is aimed towards people who don’t know about these things but are curious about maybe using them or at least seeing how they’re used IRL.

We’re responsible for the darling golden child of data.gov.au, its most popular dataset: **G-NAF**, the monster-scale National Address File. We make sure this data (and a bunch of its buddies) are delivered via API to all who wants it as fast and accurately as possible every day and we use mostly python tooling to do it. It’s a fun and Australia-centric data-palooza.

https://pretalx.com/pyconau-2023/talk/SBZNPD/

python, pycon, australia, programming, conference, technical, pyconline, developers, panel, sessions, libraries, frameworks, community, sysadmins, students, education, data, science

Videos licensed as CC-BY-NC-SA 4.0

PyCon AU is the national conference for the Python programming community, bringing together professional, student and enthusiast developers, sysadmins and operations folk, students, educators, scientists, statisticians, and many others besides, all with a love for working with Python.

Licensed as CC BY-NC-SA - http://creativecommons.org/licenses/by-nc-sa/4.0/

Produced by Next Day Video Australia: https://nextdayvideo.com.au

Sat Aug 19 10:40:00 2023 at Hall E",https://i.ytimg.com/vi/UlhLRp5mbrU/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=UlhLRp5mbrU,https://www.youtube.com/watch?v=UlhLRp5mbrU
3,"""Diagnostics - Seeing Inside Your Application Without Logging"" - Jeremy Rotstein (PyCon AU 2023)",https://www.youtube.com/watch?v=TUdfYx2if7E,TUdfYx2if7E,PyCon AU,@PyConAU,https://www.youtube.com/@PyConAU,20230820,1900,986,18,,"JeremyRotstein,pyconau,pyconau_2023",Education,"(Jeremy Rotstein) You know it as the fuel gauge in your car, the blinking lights on your modem or the operational status page of your favourite cloud service. It's diagnostics! A data efficient technique for seeing how well your system is running in real time.

What isn't so well known is that diagnostics can be embedded directly into your python application. Doing it this way provides a purely on-demand and human-readable interface of real-time system state and performance.

Compared to a sequence of log messages, diagnostics are certainly more difficult to implement. After all, logging is essentially just some well-placed print statements, outputted to a file or third-party logging agent. 

But this type of logging can be expensive, bandwidth intensive and hard to make sense of. Have you ever had to trawl through pages and pages of logs just to check your application is working well? 

In this talk, you will learn a number of practical and pythonic techniques for serving custom diagnostics from within your application.

https://pretalx.com/pyconau-2023/talk/MHKHKK/

python, pycon, australia, programming, conference, technical, pyconline, developers, panel, sessions, libraries, frameworks, community, sysadmins, students, education, data, science

Videos licensed as CC-BY-NC-SA 4.0

PyCon AU is the national conference for the Python programming community, bringing together professional, student and enthusiast developers, sysadmins and operations folk, students, educators, scientists, statisticians, and many others besides, all with a love for working with Python.

Licensed as CC BY-NC-SA - http://creativecommons.org/licenses/by-nc-sa/4.0/

Produced by Next Day Video Australia: https://nextdayvideo.com.au

Fri Aug 18 16:10:00 2023 at Hall A",https://i.ytimg.com/vi/TUdfYx2if7E/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=TUdfYx2if7E,https://www.youtube.com/watch?v=TUdfYx2if7E
4,"""Open-Source Communities and Ten Years of MicroPython"" - Damien George (PyCon AU 2023)",https://www.youtube.com/watch?v=iEQQWpjgFd8,iEQQWpjgFd8,PyCon AU,@PyConAU,https://www.youtube.com/@PyConAU,20230821,2040,1982,79,,"DamienGeorge,pyconau,pyconau_2023",Education,"(Damien George) MicroPython started life in early 2013 as an experiment, to see if it was possible to shrink a high-level language like Python down enough to run on very small devices.  Ten years later MicroPython is a mature open-source project that is relied upon by a wide variety of users.  In this talk I will discuss its history, my experiences maintaining it as an open source project, and some of the interesting places MicroPython has found itself in.

https://pretalx.com/pyconau-2023/talk/ZDUVFF/

python, pycon, australia, programming, conference, technical, pyconline, developers, panel, sessions, libraries, frameworks, community, sysadmins, students, education, data, science

Videos licensed as CC-BY-NC-SA 4.0

PyCon AU is the national conference for the Python programming community, bringing together professional, student and enthusiast developers, sysadmins and operations folk, students, educators, scientists, statisticians, and many others besides, all with a love for working with Python.

Licensed as CC BY-NC-SA - http://creativecommons.org/licenses/by-nc-sa/4.0/

Produced by Next Day Video Australia: https://nextdayvideo.com.au

Sat Aug 19 11:20:00 2023 at Hall A",https://i.ytimg.com/vi/iEQQWpjgFd8/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=iEQQWpjgFd8,https://www.youtube.com/watch?v=iEQQWpjgFd8
5,Roll for Initiative: how to make the world of AI a more ethical place,https://www.youtube.com/watch?v=FvBCO7IK_6Y,FvBCO7IK_6Y,PyCon AU,@PyConAU,https://www.youtube.com/@PyConAU,20230821,1920,181,2,,"J.Rosenbaum,pyconau,pyconau_2023",Education,"(J. Rosenbaum) Your team has gathered to fight bias, your tool, AI. How do you muster your forces and all of the abilities at your disposal to fight and slay your fearsome foe? Using all of the lawful and chaotic good tools available, how do you create a balanced party and slay the Beasts of Bias; racism, sexism and queerphobia? Can it be done? Venture together with me into the seedier side of AI as we band together to fight algorithmic injustice and create a better world.

https://pretalx.com/pyconau-2023/talk/ZDDVWK/

python, pycon, australia, programming, conference, technical, pyconline, developers, panel, sessions, libraries, frameworks, community, sysadmins, students, education, data, science

Videos licensed as CC-BY-NC-SA 4.0

PyCon AU is the national conference for the Python programming community, bringing together professional, student and enthusiast developers, sysadmins and operations folk, students, educators, scientists, statisticians, and many others besides, all with a love for working with Python.

Licensed as CC BY-NC-SA - http://creativecommons.org/licenses/by-nc-sa/4.0/

Produced by Next Day Video Australia: https://nextdayvideo.com.au

Fri Aug 18 09:20:00 2023 at Hall C (Plenary)",https://i.ytimg.com/vi/FvBCO7IK_6Y/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=FvBCO7IK_6Y,https://www.youtube.com/watch?v=FvBCO7IK_6Y
6,Using Python to stream media using GStreamer for WebRTC and RTSP applications,https://www.youtube.com/watch?v=VwnWHC04Qp8,VwnWHC04Qp8,PyCon AU,@PyConAU,https://www.youtube.com/@PyConAU,20230821,1675,11410,123,,"AndyGelme,pyconau,pyconau_2023",Education,"(Andy Gelme) Being able to capture, manipulate and present video and audio has become
much more common and useful over the last few years.  For example, the use
of the WebRTC standard for teleconferencing and also applying Machine Learning
for perceiving situations in the physical world, often using RTSP (network)
cameras.

This presentation will aim to bring you up-to-speed quickly with using Python
programmatically to build GStreamer pipelines for use with both RTSP and
WebRTC applications.

https://pretalx.com/pyconau-2023/talk/RKQDK9/

python, pycon, australia, programming, conference, technical, pyconline, developers, panel, sessions, libraries, frameworks, community, sysadmins, students, education, data, science

Videos licensed as CC-BY-NC-SA 4.0

PyCon AU is the national conference for the Python programming community, bringing together professional, student and enthusiast developers, sysadmins and operations folk, students, educators, scientists, statisticians, and many others besides, all with a love for working with Python.

Licensed as CC BY-NC-SA - http://creativecommons.org/licenses/by-nc-sa/4.0/

Produced by Next Day Video Australia: https://nextdayvideo.com.au

Fri Aug 18 15:30:00 2023 at Hall A",https://i.ytimg.com/vi/VwnWHC04Qp8/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=VwnWHC04Qp8,https://www.youtube.com/watch?v=VwnWHC04Qp8
7,"""The Complexity of Simplicity"" - Christopher Neugebauer (PyCon AU 2023)",https://www.youtube.com/watch?v=zUyR-Qbr4Yg,zUyR-Qbr4Yg,PyCon AU,@PyConAU,https://www.youtube.com/@PyConAU,20230821,1765,743,15,,"ChristopherNeugebauer,pyconau,pyconau_2023",Education,"(Christopher Neugebauer) Quoth the Zen of Python: “Simple is better than complex”. 
 
The Python community has long celebrated simplicity as a virtue, but Python has grown, the features that make Python simple in small programs don’t matter as much.

In this talk, we’ll explore how the Python community used to think about simplicity, how we think about simplicity now that Python is used for ever more complex tasks, and consider whether “simple is better than complex” is advice that Pythonistas can meaningfully follow.

https://pretalx.com/pyconau-2023/talk/7EG3JD/

python, pycon, australia, programming, conference, technical, pyconline, developers, panel, sessions, libraries, frameworks, community, sysadmins, students, education, data, science

Videos licensed as CC-BY-NC-SA 4.0

PyCon AU is the national conference for the Python programming community, bringing together professional, student and enthusiast developers, sysadmins and operations folk, students, educators, scientists, statisticians, and many others besides, all with a love for working with Python.

Licensed as CC BY-NC-SA - http://creativecommons.org/licenses/by-nc-sa/4.0/

Produced by Next Day Video Australia: https://nextdayvideo.com.au

Sat Aug 19 12:00:00 2023 at Hall C (Plenary)",https://i.ytimg.com/vi/zUyR-Qbr4Yg/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=zUyR-Qbr4Yg,https://www.youtube.com/watch?v=zUyR-Qbr4Yg
8,"""Gender Tapestry - New ways of looking at gender classification"" - J. Rosenbaum (PyCon AU 2023)",https://www.youtube.com/watch?v=pqw8-GWJi98,pqw8-GWJi98,PyCon AU,@PyConAU,https://www.youtube.com/@PyConAU,20230821,1601,273,5,,"J.Rosenbaum,pyconau,pyconau_2023",Education,"(J. Rosenbaum) What is gender? It is easy to imagine gender as a linear spectrum, but in my research I have explored the concept that gender is more like a three dimensional spectrum of color. I posit that we all experience gender slightly differently, just like we experience color slightly differently. Therefore, I built an online project using Python and Flask to classify people as individual colors rather than genders, to create a tapestry of gender. and show gender as a literal, individual, spectrum.

https://pretalx.com/pyconau-2023/talk/LZDHUW/

python, pycon, australia, programming, conference, technical, pyconline, developers, panel, sessions, libraries, frameworks, community, sysadmins, students, education, data, science

Videos licensed as CC-BY-NC-SA 4.0

PyCon AU is the national conference for the Python programming community, bringing together professional, student and enthusiast developers, sysadmins and operations folk, students, educators, scientists, statisticians, and many others besides, all with a love for working with Python.

Licensed as CC BY-NC-SA - http://creativecommons.org/licenses/by-nc-sa/4.0/

Produced by Next Day Video Australia: https://nextdayvideo.com.au

Sat Aug 19 10:40:00 2023 at Hall A",https://i.ytimg.com/vi/pqw8-GWJi98/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=pqw8-GWJi98,https://www.youtube.com/watch?v=pqw8-GWJi98
9,"""Packaging for serverless: effortless? Doubtless!"" - Huon Wilson (PyCon AU 2023)",https://www.youtube.com/watch?v=YwuUI6bYUh0,YwuUI6bYUh0,PyCon AU,@PyConAU,https://www.youtube.com/@PyConAU,20230821,1678,291,7,,"HuonWilson,pyconau,pyconau_2023",Education,"(Huon Wilson) A package-and-deploy pipeline is like plumbing: if it's working, you don't notice, but when it's not… you really do, and getting it working can be messy. We've tried several approaches for building Python artefacts to run on AWS Lambda, and finally settled on one that works well.  I'll walk through how the Pants build system works in practice for getting our code running in production, and how it's improved upon other common practices we previously used.

https://pretalx.com/pyconau-2023/talk/RAKQDU/

python, pycon, australia, programming, conference, technical, pyconline, developers, panel, sessions, libraries, frameworks, community, sysadmins, students, education, data, science

Videos licensed as CC-BY-NC-SA 4.0

PyCon AU is the national conference for the Python programming community, bringing together professional, student and enthusiast developers, sysadmins and operations folk, students, educators, scientists, statisticians, and many others besides, all with a love for working with Python.

Licensed as CC BY-NC-SA - http://creativecommons.org/licenses/by-nc-sa/4.0/

Produced by Next Day Video Australia: https://nextdayvideo.com.au

Sat Aug 19 13:30:00 2023 at Hall A",https://i.ytimg.com/vi/YwuUI6bYUh0/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=YwuUI6bYUh0,https://www.youtube.com/watch?v=YwuUI6bYUh0
10,"Using Python and 19,200 bits/second serial links to manage antennae for the Square Kilometre Array r",https://www.youtube.com/watch?v=tYP6nypJWtY,tYP6nypJWtY,PyCon AU,@PyConAU,https://www.youtube.com/@PyConAU,20230821,1918,394,12,,"AndrewWilliams,pyconau,pyconau_2023",Education,"(Andrew Williams) The Australian half of the Square Kilometre Array radio telescope will collect 7.2 Terabits/second of raw data from 131,072 antennae grouped into 512 'stations' with 256 antennae each - but every antenna needs to be connected to a box within a few metres of that antenna, for a DC power supply, and to convert the electrical output to light over optical fibre before it degrades. This talk will describe those boxes, and how they are being monitored and controlled using Python, a 40+ year old communications protocol, and a network of 19,200 bits/second serial links.

https://pretalx.com/pyconau-2023/talk/WY9MES/

python, pycon, australia, programming, conference, technical, pyconline, developers, panel, sessions, libraries, frameworks, community, sysadmins, students, education, data, science

Videos licensed as CC-BY-NC-SA 4.0

PyCon AU is the national conference for the Python programming community, bringing together professional, student and enthusiast developers, sysadmins and operations folk, students, educators, scientists, statisticians, and many others besides, all with a love for working with Python.

Licensed as CC BY-NC-SA - http://creativecommons.org/licenses/by-nc-sa/4.0/

Produced by Next Day Video Australia: https://nextdayvideo.com.au

Fri Aug 18 11:40:00 2023 at Hall A",https://i.ytimg.com/vi/tYP6nypJWtY/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=tYP6nypJWtY,https://www.youtube.com/watch?v=tYP6nypJWtY
