index,title,url,video_id,uploader,uploader_id,uploader_url,upload_date,duration,view_count,like_count,comment_count,tags,categories,description,thumbnail,age_limit,is_live,was_live,availability,webpage_url,original_url
1,"PostgreSQL Indexing : How, why, and when.",https://www.youtube.com/watch?v=clrtT_4WBAw,clrtT_4WBAw,PyCon AU,@PyConAU,https://www.youtube.com/@PyConAU,20180825,1881,82605,2087,,"pyconau,pyconau_2018,Python,PyCon,PyConAU,CurtisMaloney",Education,"Curtis Maloney

https://2018.pycon-au.org/talks/42913-postgresql-indexing-how-why-and-when/

So many of the things we build depend on a DBMS to keep our data safe, and retrieve it quickly.
We know indexes can make that faster, but... how do they work? When should you use them? What should I index?

Python, PyCon, PyConAU, australia, programming, sydney

This video is licensed under CC BY 3.0 AU ‹https://creativecommons.org/licenses/by/3.0/au/›.

PyCon Australia (“PyCon AU”) is the national conference for the Python Programming Community, bringing together professional, student and enthusiast developers with a love for developing with Python.

PyCon AU, the national Python Language conference, is on again this August in Sydney, at the International Convention Centre, Sydney, August 24 - 28 2018.

Python, PyCon, PyConAU",https://i.ytimg.com/vi_webp/clrtT_4WBAw/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=clrtT_4WBAw,https://www.youtube.com/watch?v=clrtT_4WBAw
2,Writing fast and efficient MicroPython,https://www.youtube.com/watch?v=hHec4qL00x0,hHec4qL00x0,PyCon AU,@PyConAU,https://www.youtube.com/@PyConAU,20180824,1902,72253,1555,,"pyconau,pyconau_2018,Python,PyCon,PyConAU,DamienGeorge",Education,"Damien George

https://2018.pycon-au.org/talks/45358-writing-fast-and-efficient-micropython/

MicroPython is an implementation of Python designed to run on microcontrollers and embedded systems. These devices don't have many resources (CPU, RAM) and so it's important to write efficient scripts. This talk shows how to make the most of your resources in MicroPython, and has some fun demos!

Python, PyCon, PyConAU, australia, programming, sydney

This video is licensed under CC BY 3.0 AU ‹https://creativecommons.org/licenses/by/3.0/au/›.

PyCon Australia (“PyCon AU”) is the national conference for the Python Programming Community, bringing together professional, student and enthusiast developers with a love for developing with Python.

PyCon AU, the national Python Language conference, is on again this August in Sydney, at the International Convention Centre, Sydney, August 24 - 28 2018.

Python, PyCon, PyConAU",https://i.ytimg.com/vi_webp/hHec4qL00x0/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=hHec4qL00x0,https://www.youtube.com/watch?v=hHec4qL00x0
3,A Beginner's Guide to WebSockets,https://www.youtube.com/watch?v=PjiXkJ6P9pQ,PjiXkJ6P9pQ,PyCon AU,@PyConAU,https://www.youtube.com/@PyConAU,20180825,1792,45545,975,,"pyconau,pyconau_2018,Python,PyCon,PyConAU,DionMisic",Education,"Dion Misic

https://2018.pycon-au.org/talks/45211-a-beginners-guide-to-websockets/

A gentle introduction to the web-socket protocol, how it works, it's intended usage and a number of examples where it can be used with Python and it's popular web frameworks - topped off with a rapid demonstration of the speed and ease of which it can be implemented with Python.

Python, PyCon, PyConAU, australia, programming, sydney

This video is licensed under CC BY 3.0 AU - https://creativecommons.org/licenses/by/3.0/au/

PyCon Australia (“PyCon AU”) is the national conference for the Python Programming Community, bringing together professional, student and enthusiast developers with a love for developing with Python.

PyCon AU, the national Python Language conference, is on again this August in Sydney, at the International Convention Centre, Sydney, August 24 - 28 2018.

Python, PyCon, PyConAU",https://i.ytimg.com/vi_webp/PjiXkJ6P9pQ/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=PjiXkJ6P9pQ,https://www.youtube.com/watch?v=PjiXkJ6P9pQ
4,Task Queues: A Celery Story,https://www.youtube.com/watch?v=ceJ-vy7fvus,ceJ-vy7fvus,PyCon AU,@PyConAU,https://www.youtube.com/@PyConAU,20180826,1779,39049,622,,"pyconau,pyconau_2018,Python,PyCon,PyConAU,TomManderson",Education,"Tom Manderson

https://2018.pycon-au.org/talks/45392-task-queues-a-celery-story/

Python has a surprisingly large number of task queue libraries, but Celery reigns supreme. Unfortunately, there are a few use cases where it's remarkably bad. Learn about why you might want a task queue (and when you definitely don't), when Celery is appropriate, and what you can do when it's not.

Python, PyCon, PyConAU, australia, programming, sydney

This video is licensed under CC BY 3.0 AU - https://creativecommons.org/licenses/by/3.0/au/

PyCon Australia (“PyCon AU”) is the national conference for the Python Programming Community, bringing together professional, student and enthusiast developers with a love for developing with Python.

PyCon AU, the national Python Language conference, is on again this August in Sydney, at the International Convention Centre, Sydney, August 24 - 28 2018.

Python, PyCon, PyConAU",https://i.ytimg.com/vi_webp/ceJ-vy7fvus/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=ceJ-vy7fvus,https://www.youtube.com/watch?v=ceJ-vy7fvus
5,A guided tour of Python logging,https://www.youtube.com/watch?v=DxZ5WEo4hvU,DxZ5WEo4hvU,PyCon AU,@PyConAU,https://www.youtube.com/@PyConAU,20180826,1721,18253,371,,"pyconau,pyconau_2018,Python,PyCon,PyConAU,CurtisMaloney",Education,"Curtis Maloney

https://2018.pycon-au.org/talks/41793-a-guided-tour-of-python-logging/

Logging is a tremendously powerful tool in monitoring and debugging, but many people avoid it in Python, feeling it's too complex.
Come with me as we explore what's going on, and hopefully become better friends with this wonderful part of stdlib.

Python, PyCon, PyConAU, australia, programming, sydney

This video is licensed under CC BY 3.0 AU - https://creativecommons.org/licenses/by/3.0/au/

PyCon Australia (“PyCon AU”) is the national conference for the Python Programming Community, bringing together professional, student and enthusiast developers with a love for developing with Python.

PyCon AU, the national Python Language conference, is on again this August in Sydney, at the International Convention Centre, Sydney, August 24 - 28 2018.

Python, PyCon, PyConAU",https://i.ytimg.com/vi_webp/DxZ5WEo4hvU/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=DxZ5WEo4hvU,https://www.youtube.com/watch?v=DxZ5WEo4hvU
6,A Web without JavaScript,https://www.youtube.com/watch?v=2XSeNQyPlTY,2XSeNQyPlTY,PyCon AU,@PyConAU,https://www.youtube.com/@PyConAU,20180826,1803,16912,403,,"pyconau,pyconau_2018,Python,PyCon,PyConAU,RussellKeith-Magee",Education,"Russell Keith-Magee

https://2018.pycon-au.org/talks/43077-a-web-without-javascript/

In the browser, you can use any programming language you want... as long as it's JavaScript.

But what if you want to use a different language? In this talk, you'll learn how you can break out of the monolingual environment provided by the browser, and use Python (or any other language) instead.

Python, PyCon, PyConAU, australia, programming, sydney

This video is licensed under CC BY 3.0 AU - https://creativecommons.org/licenses/by/3.0/au/

PyCon Australia (“PyCon AU”) is the national conference for the Python Programming Community, bringing together professional, student and enthusiast developers with a love for developing with Python.

PyCon AU, the national Python Language conference, is on again this August in Sydney, at the International Convention Centre, Sydney, August 24 - 28 2018.

Python, PyCon, PyConAU",https://i.ytimg.com/vi_webp/2XSeNQyPlTY/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=2XSeNQyPlTY,https://www.youtube.com/watch?v=2XSeNQyPlTY
7,Unicode and Python: the absolute minimum you need to know,https://www.youtube.com/watch?v=oXVmZGN6plY,oXVmZGN6plY,PyCon AU,@PyConAU,https://www.youtube.com/@PyConAU,20180826,1457,16747,296,,"pyconau,pyconau_2018,Python,PyCon,PyConAU,RaphaëlMerx",Education,"Raphaël Merx

https://2018.pycon-au.org/talks/44562-unicode-and-python-the-absolute-minimum-you-need-to-know/

Born from parents who don't mind string encoding, my name has an ""ë"". How can your code handle that character? How does Unicode handle it? If you see ""ë"" in a stack trace, does that mean your encoding is broken?

Ignoring unicode often backfires. This talk is about preventing Unicode burns.

Python, PyCon, PyConAU, australia, programming, sydney

This video is licensed under CC BY 3.0 AU - https://creativecommons.org/licenses/by/3.0/au/

PyCon Australia (“PyCon AU”) is the national conference for the Python Programming Community, bringing together professional, student and enthusiast developers with a love for developing with Python.

PyCon AU, the national Python Language conference, is on again this August in Sydney, at the International Convention Centre, Sydney, August 24 - 28 2018.

Python, PyCon, PyConAU",https://i.ytimg.com/vi_webp/oXVmZGN6plY/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=oXVmZGN6plY,https://www.youtube.com/watch?v=oXVmZGN6plY
8,How To Publish A Package On PyPI,https://www.youtube.com/watch?v=QgZ7qv4Cd0Y,QgZ7qv4Cd0Y,PyCon AU,@PyConAU,https://www.youtube.com/@PyConAU,20180826,1699,12243,271,,"pyconau,pyconau_2018,Python,PyCon,PyConAU,MarkSmith",Education,"Mark Smith

https://2018.pycon-au.org/talks/44349-how-to-publish-a-package-on-pypi/

Starting with nothing, we'll build a package and publish it on PyPI using current best practices! Learn how to structure, document and test your project on different platforms. Discover the difference between `setup.py` and `Pipfile`. Finally, use CookieCutter to avoid doing it twice (or even once)!

Python, PyCon, PyConAU, australia, programming, sydney

This video is licensed under CC BY 3.0 AU - https://creativecommons.org/licenses/by/3.0/au/

PyCon Australia (“PyCon AU”) is the national conference for the Python Programming Community, bringing together professional, student and enthusiast developers with a love for developing with Python.

PyCon AU, the national Python Language conference, is on again this August in Sydney, at the International Convention Centre, Sydney, August 24 - 28 2018.

Python, PyCon, PyConAU",https://i.ytimg.com/vi_webp/QgZ7qv4Cd0Y/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=QgZ7qv4Cd0Y,https://www.youtube.com/watch?v=QgZ7qv4Cd0Y
9,Python coding on Chromebooks - our story.,https://www.youtube.com/watch?v=Aeo6IL3y7bA,Aeo6IL3y7bA,PyCon AU,@PyConAU,https://www.youtube.com/@PyConAU,20180825,1432,11816,119,,"pyconau,pyconau_2018,Python,PyCon,PyConAU,JohnParlas",Education,"John Parlas

https://2018.pycon-au.org/talks/44876-python-coding-on-chromebooks-our-story/

Purpose is to share how we implemented Python coding at our school for Yrs 7 and 8 on Chromebooks. Challenges, successes and failures.

Python, PyCon, PyConAU, australia, programming, sydney

This video is licensed under CC BY 3.0 AU ‹https://creativecommons.org/licenses/by/3.0/au/›.

PyCon Australia (“PyCon AU”) is the national conference for the Python Programming Community, bringing together professional, student and enthusiast developers with a love for developing with Python.

PyCon AU, the national Python Language conference, is on again this August in Sydney, at the International Convention Centre, Sydney, August 24 - 28 2018.

Python, PyCon, PyConAU",https://i.ytimg.com/vi_webp/Aeo6IL3y7bA/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=Aeo6IL3y7bA,https://www.youtube.com/watch?v=Aeo6IL3y7bA
10,"Automating Your Home with Python, Raspberry Pi and Homekit",https://www.youtube.com/watch?v=SiLtPgeTZLA,SiLtPgeTZLA,PyCon AU,@PyConAU,https://www.youtube.com/@PyConAU,20180826,1577,11724,135,,"pyconau,pyconau_2018,Python,PyCon,PyConAU,SeanJohnson",Education,"Sean Johnson

https://2018.pycon-au.org/talks/45170-automating-your-home-with-python-raspberry-pi-and-homekit/

It's forty degrees and you're on your way home in the sweltering Australian heat. Home awaits but it too has been baking in the sun all day. That's okay, though! You open your iPhone, tap a button and your air conditioner whirs into action, powered by your Python code and your trusty Raspberry Pi.

Python, PyCon, PyConAU, australia, programming, sydney

This video is licensed under CC BY 3.0 AU - https://creativecommons.org/licenses/by/3.0/au/

PyCon Australia (“PyCon AU”) is the national conference for the Python Programming Community, bringing together professional, student and enthusiast developers with a love for developing with Python.

PyCon AU, the national Python Language conference, is on again this August in Sydney, at the International Convention Centre, Sydney, August 24 - 28 2018.

Python, PyCon, PyConAU",https://i.ytimg.com/vi_webp/SiLtPgeTZLA/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=SiLtPgeTZLA,https://www.youtube.com/watch?v=SiLtPgeTZLA
