index,title,url,video_id,uploader,uploader_id,uploader_url,upload_date,duration,view_count,like_count,comment_count,tags,categories,description,thumbnail,age_limit,is_live,was_live,availability,webpage_url,original_url
1,Welcome to PyConline AU 2021,https://www.youtube.com/watch?v=x6CUKf5dhLw,x6CUKf5dhLw,PyCon AU,@PyConAU,https://www.youtube.com/@PyConAU,20210910,99,2557,34,,"python,conference,australia,programming",Education,"Welcome back to PyConline AU 2021!

Program: http://2021.pycon.org.au/program
Register: http://2021.pycon.org.au/attend",https://i.ytimg.com/vi_webp/x6CUKf5dhLw/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=x6CUKf5dhLw,https://www.youtube.com/watch?v=x6CUKf5dhLw
2,"""High performance machine learning with JAX"" - Mat Kelcey (PyConline AU 2021)",https://www.youtube.com/watch?v=cqbBjM4_yGw,cqbBjM4_yGw,PyCon AU,@PyConAU,https://www.youtube.com/@PyConAU,20210911,1887,4745,169,,"MatKelcey,pyconau,pyconau_2021",Education,"(Mat Kelcey) JAX provides an elegant interface to XLA with automatic differentiation allowing extremely high performance machine learning on modern accelerators; all from within Python. In this talk we'll give an overview to fundamentals of JAX and an intro to some of the libraries being developed on top.

https://pretalx.com/pycon-au-2021/talk/SUFZ99/

python, pycon, australia, programming, conference, technical, pyconline, developers, panel, sessions, libraries, frameworks, community, sysadmins, students, education, data, science

Videos licensed as CC-BY-NC-SA 4.0

PyCon AU is the national conference for the Python programming community, bringing together professional, student and enthusiast developers, sysadmins and operations folk, students, educators, scientists, statisticians, and many others besides, all with a love for working with Python.

PyCon AU informs the country’s Python developers with presentations, tutorials and panel sessions by experts and core developers of Python, as well as the libraries and frameworks that they rely on.

Produced by Next Day Video Australia: https://nextdayvideo.com.au

Fri Sep 10 10:15:00 2021 at Science, Data & Analytics",https://i.ytimg.com/vi/cqbBjM4_yGw/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=cqbBjM4_yGw,https://www.youtube.com/watch?v=cqbBjM4_yGw
3,"""Fair game: the ethics of telco fraud"" - Laura Summers (PyConline AU 2021)",https://www.youtube.com/watch?v=lzSl74yKzZ4,lzSl74yKzZ4,PyCon AU,@PyConAU,https://www.youtube.com/@PyConAU,20210911,1788,657,7,,"LauraSummers,pyconau,pyconau_2021",Education,"(Laura Summers) How do we connect high-level fairness principles with day-to-day product decision making? How do we move past the AI Ethics hype and start trying, testing and implementing practical approaches? In this talk the presenter will share stories, discoveries, and pointers from their time as an ‘ethics ops’ consultant embedded with a small fraud detection team in a big telco. From improving the science bit of data science, to developing the collective sensitivity of the team, to designing recourse for false positives, tune in for pragmatic pointers and actionable take-aways.

https://pretalx.com/pycon-au-2021/talk/RKHXBF/

python, pycon, australia, programming, conference, technical, pyconline, developers, panel, sessions, libraries, frameworks, community, sysadmins, students, education, data, science

Videos licensed as CC-BY-NC-SA 4.0

PyCon AU is the national conference for the Python programming community, bringing together professional, student and enthusiast developers, sysadmins and operations folk, students, educators, scientists, statisticians, and many others besides, all with a love for working with Python.

PyCon AU informs the country’s Python developers with presentations, tutorials and panel sessions by experts and core developers of Python, as well as the libraries and frameworks that they rely on.

Produced by Next Day Video Australia: https://nextdayvideo.com.au

Fri Sep 10 09:30:00 2021 at Science, Data & Analytics",https://i.ytimg.com/vi/lzSl74yKzZ4/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=lzSl74yKzZ4,https://www.youtube.com/watch?v=lzSl74yKzZ4
4,"""AppSec on a budget"" - Mario Areias (PyConline AU 2021)",https://www.youtube.com/watch?v=eYFDgj1M0fM,eYFDgj1M0fM,PyCon AU,@PyConAU,https://www.youtube.com/@PyConAU,20210911,1750,449,8,,"MarioAreias,pyconau,pyconau_2021",Education,"(Mario Areias) Everybody knows that the vast majority of security teams are under-resourced and overworked. It is easy to lose hope when the list of things to do keeps growing, the incidents keep coming and gray hair begins to show up!

Don’t lose hope yet! In this talk, we will discuss how a bit of strategy and creativity can go a long way in helping you secure your organisation...on a budget!

https://pretalx.com/pycon-au-2021/talk/RMSAXL/

python, pycon, australia, programming, conference, technical, pyconline, developers, panel, sessions, libraries, frameworks, community, sysadmins, students, education, data, science

Videos licensed as CC-BY-NC-SA 4.0

PyCon AU is the national conference for the Python programming community, bringing together professional, student and enthusiast developers, sysadmins and operations folk, students, educators, scientists, statisticians, and many others besides, all with a love for working with Python.

PyCon AU informs the country’s Python developers with presentations, tutorials and panel sessions by experts and core developers of Python, as well as the libraries and frameworks that they rely on.

Produced by Next Day Video Australia: https://nextdayvideo.com.au

Fri Sep 10 11:00:00 2021 at Snakeoil Academy (Security & Privacy)",https://i.ytimg.com/vi/eYFDgj1M0fM/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=eYFDgj1M0fM,https://www.youtube.com/watch?v=eYFDgj1M0fM
5,"""Cataloging the world's data for great good"" - Lars Yencken (PyConline AU 2021)",https://www.youtube.com/watch?v=8Tf7fnipnM0,8Tf7fnipnM0,PyCon AU,@PyConAU,https://www.youtube.com/@PyConAU,20210911,2133,385,6,,"LarsYencken,pyconau,pyconau_2021",Education,"(Lars Yencken) Humanity has made incredible progress across a wide range of measures, even as we face massive challenges. But the data for it all is scattered in the wind, stuck in excel files of massive organisations, in tiny addendums to research papers, and even in government tweets. Roll up your sleeves, we'll dive into efforts at Our World in Data to collect, organise and republish this data for great good!

https://pretalx.com/pycon-au-2021/talk/AUE33N/

python, pycon, australia, programming, conference, technical, pyconline, developers, panel, sessions, libraries, frameworks, community, sysadmins, students, education, data, science

Videos licensed as CC-BY-NC-SA 4.0

PyCon AU is the national conference for the Python programming community, bringing together professional, student and enthusiast developers, sysadmins and operations folk, students, educators, scientists, statisticians, and many others besides, all with a love for working with Python.

PyCon AU informs the country’s Python developers with presentations, tutorials and panel sessions by experts and core developers of Python, as well as the libraries and frameworks that they rely on.

Produced by Next Day Video Australia: https://nextdayvideo.com.au

Fri Sep 10 17:00:00 2021 at Science, Data & Analytics",https://i.ytimg.com/vi/8Tf7fnipnM0/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=8Tf7fnipnM0,https://www.youtube.com/watch?v=8Tf7fnipnM0
6,"""The Butterfly Effect: How a single bit changed my career"" - Jonathan Hall (PyConline AU 2021)",https://www.youtube.com/watch?v=gmSsdn4N_7I,gmSsdn4N_7I,PyCon AU,@PyConAU,https://www.youtube.com/@PyConAU,20210912,1584,541,15,,"JonathanHall,pyconau,pyconau_2021",Education,"(Jonathan Hall) I relate the story of a single bit gone wrong back in 2006, which launched my career on a new trajectory of root-cause analysis, continuous improvement, and DevOps.

https://pretalx.com/pycon-au-2021/talk/D38FLT/

python, pycon, australia, programming, conference, technical, pyconline, developers, panel, sessions, libraries, frameworks, community, sysadmins, students, education, data, science

Videos licensed as CC-BY-NC-SA 4.0

PyCon AU is the national conference for the Python programming community, bringing together professional, student and enthusiast developers, sysadmins and operations folk, students, educators, scientists, statisticians, and many others besides, all with a love for working with Python.

PyCon AU informs the country’s Python developers with presentations, tutorials and panel sessions by experts and core developers of Python, as well as the libraries and frameworks that they rely on.

Produced by Next Day Video Australia: https://nextdayvideo.com.au

Fri Sep 10 09:30:00 2021 at DevOops",https://i.ytimg.com/vi/gmSsdn4N_7I/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=gmSsdn4N_7I,https://www.youtube.com/watch?v=gmSsdn4N_7I
7,"""Python Type hints and how they can supercharge CS education."" - Shrey Somaiya (PyConline AU 2021)",https://www.youtube.com/watch?v=s7Dghm_cdlM,s7Dghm_cdlM,PyCon AU,@PyConAU,https://www.youtube.com/@PyConAU,20210912,1754,588,16,,"ShreySomaiya,pyconau,pyconau_2021",Education,"(Shrey Somaiya) This talk will walk through Python type hints: what they are, why they should be taught. Specifically we  will example how it helps us write better code, and how it can teach a better generation of programmatic thinkers, and design better programs.

https://pretalx.com/pycon-au-2021/talk/8RP8QU/

python, pycon, australia, programming, conference, technical, pyconline, developers, panel, sessions, libraries, frameworks, community, sysadmins, students, education, data, science

Videos licensed as CC-BY-NC-SA 4.0

PyCon AU is the national conference for the Python programming community, bringing together professional, student and enthusiast developers, sysadmins and operations folk, students, educators, scientists, statisticians, and many others besides, all with a love for working with Python.

PyCon AU informs the country’s Python developers with presentations, tutorials and panel sessions by experts and core developers of Python, as well as the libraries and frameworks that they rely on.

Produced by Next Day Video Australia: https://nextdayvideo.com.au

Fri Sep 10 10:15:00 2021 at Education",https://i.ytimg.com/vi/s7Dghm_cdlM/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=s7Dghm_cdlM,https://www.youtube.com/watch?v=s7Dghm_cdlM
8,"""Planning for Failure using Chaos Engineering"" - Amit Saha (PyConline AU 2021)",https://www.youtube.com/watch?v=NywFpab9iAE,NywFpab9iAE,PyCon AU,@PyConAU,https://www.youtube.com/@PyConAU,20210912,1869,599,14,,"AmitSaha,pyconau,pyconau_2021",Education,"(Amit Saha) Failure is just a fact of running software in production. But you can prepare for it in a controlled environment using Chaos Engineering techniques. In this talk, you will learn to make use of chaos engineering practices to plan and assess your production readiness. This means that you are more ready for the failure scenarios, when, not if, they happen.

https://pretalx.com/pycon-au-2021/talk/QBWRZJ/

python, pycon, australia, programming, conference, technical, pyconline, developers, panel, sessions, libraries, frameworks, community, sysadmins, students, education, data, science

Videos licensed as CC-BY-NC-SA 4.0

PyCon AU is the national conference for the Python programming community, bringing together professional, student and enthusiast developers, sysadmins and operations folk, students, educators, scientists, statisticians, and many others besides, all with a love for working with Python.

PyCon AU informs the country’s Python developers with presentations, tutorials and panel sessions by experts and core developers of Python, as well as the libraries and frameworks that they rely on.

Produced by Next Day Video Australia: https://nextdayvideo.com.au

Fri Sep 10 11:00:00 2021 at DevOops",https://i.ytimg.com/vi/NywFpab9iAE/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=NywFpab9iAE,https://www.youtube.com/watch?v=NywFpab9iAE
9,When a little web app needs to grow up... the journey from a hobby project to production,https://www.youtube.com/watch?v=dZKe1kCSmHo,dZKe1kCSmHo,PyCon AU,@PyConAU,https://www.youtube.com/@PyConAU,20210912,1958,297,10,,"MattColes,pyconau,pyconau_2021",Education,"(Matt Coles) A few years ago a small web application was built with Flask over a weekend allowing customers to order a free t-shirt for an event being hosted. It was designed for this single purpose and had never been considered to be needed or expanded beyond that.

Within the next six months, the app was adapted to allow breakfasts, hoodies, socks, pens and rubik's cubes ordered for different events.

With these new adaptions came added complexities.

https://pretalx.com/pycon-au-2021/talk/HNK9YE/

python, pycon, australia, programming, conference, technical, pyconline, developers, panel, sessions, libraries, frameworks, community, sysadmins, students, education, data, science

Videos licensed as CC-BY-NC-SA 4.0

PyCon AU is the national conference for the Python programming community, bringing together professional, student and enthusiast developers, sysadmins and operations folk, students, educators, scientists, statisticians, and many others besides, all with a love for working with Python.

PyCon AU informs the country’s Python developers with presentations, tutorials and panel sessions by experts and core developers of Python, as well as the libraries and frameworks that they rely on.

Produced by Next Day Video Australia: https://nextdayvideo.com.au

Fri Sep 10 15:00:00 2021 at DevOops",https://i.ytimg.com/vi/dZKe1kCSmHo/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=dZKe1kCSmHo,https://www.youtube.com/watch?v=dZKe1kCSmHo
10,Vampires in the Browser: banishing uninvited Javascript from your web app,https://www.youtube.com/watch?v=ON_XaY2WmMI,ON_XaY2WmMI,PyCon AU,@PyConAU,https://www.youtube.com/@PyConAU,20210912,1341,250,10,,"LillyRyan,pyconau,pyconau_2021",Education,"(Lilly Ryan) Legend has it that a vampire cannot enter a home unless they are invited to do so.

Much like vampires, Javascript cannot generally enter your web application unless it is invited in. However, there are many sneaky ways that you may find yourself with ‹s›a vampire‹/s› some Javascript inside your app without realising you've technically allowed it to be there.

This session will teach you some common ‹s›incantations‹/s› configurations you can deploy to prevent this from happening.

https://pretalx.com/pycon-au-2021/talk/D3WLNR/

python, pycon, australia, programming, conference, technical, pyconline, developers, panel, sessions, libraries, frameworks, community, sysadmins, students, education, data, science

Videos licensed as CC-BY-NC-SA 4.0

PyCon AU is the national conference for the Python programming community, bringing together professional, student and enthusiast developers, sysadmins and operations folk, students, educators, scientists, statisticians, and many others besides, all with a love for working with Python.

PyCon AU informs the country’s Python developers with presentations, tutorials and panel sessions by experts and core developers of Python, as well as the libraries and frameworks that they rely on.

Produced by Next Day Video Australia: https://nextdayvideo.com.au

Fri Sep 10 13:30:00 2021 at Snakeoil Academy (Security & Privacy)",https://i.ytimg.com/vi/ON_XaY2WmMI/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=ON_XaY2WmMI,https://www.youtube.com/watch?v=ON_XaY2WmMI
