0
""
"{'index': 2, 'title': '[PyBR2022] Abertura da Python Brasil 2022', 'url': 'https://www.youtube.com/watch?v=sXWD4KHn9Ys', 'video_id': 'sXWD4KHn9Ys', 'uploader': 'pythonbrasil', 'uploader_id': '@pythonbrasiloficial', 'uploader_url': 'https://www.youtube.com/@pythonbrasiloficial', 'upload_date': '20221020', 'duration': 932, 'view_count': 1643, 'like_count': 138, 'comment_count': None, 'tags': ['pythonbrasil', 'apyb', 'pythonbrasil[6]', 'python', 'django', 'plone', 'zope', 'web2py', 'pyscience', 'numpy'], 'categories': ['Science & Technology'], 'description': 'Python Brasil 2022 a maior conferência da linguagem de programação Python da América Latina.\n\nPara mais informações, consulte:\nhttps://2022.pythonbrasil.org.br/\n\nInscreva-se no evento:\nhttps://bit.ly/pybr2022\n\nLink para o nosso discord:\nhttps://discord.gg/NfE7VDGbJn\n\nNosso Código de Conduta pode ser encontrado aqui:\nhttps://2022.pythonbrasil.org.br/cdc', 'thumbnail': 'https://i.ytimg.com/vi/sXWD4KHn9Ys/maxresdefault.jpg', 'age_limit': 0, 'is_live': False, 'was_live': True, 'availability': 'public', 'webpage_url': 'https://www.youtube.com/watch?v=sXWD4KHn9Ys', 'original_url': 'https://www.youtube.com/watch?v=sXWD4KHn9Ys'}"
"{'index': 3, 'title': '[PyBR2022] Encerramento da Python Brasil 2022', 'url': 'https://www.youtube.com/watch?v=9vnUPhixnco', 'video_id': '9vnUPhixnco', 'uploader': 'pythonbrasil', 'uploader_id': '@pythonbrasiloficial', 'uploader_url': 'https://www.youtube.com/@pythonbrasiloficial', 'upload_date': '20221023', 'duration': 1372, 'view_count': 530, 'like_count': 32, 'comment_count': None, 'tags': ['pythonbrasil', 'apyb', 'pythonbrasil[6]', 'python', 'django', 'plone', 'zope', 'web2py', 'pyscience', 'numpy'], 'categories': ['Science & Technology'], 'description': 'Python Brasil 2022 a maior conferência da linguagem de programação Python da América Latina.\n\nPara mais informações, consulte:\nhttps://2022.pythonbrasil.org.br/\n\nInscreva-se no evento:\nhttps://bit.ly/pybr2022\n\nLink para o nosso discord:\nhttps://discord.gg/NfE7VDGbJn\n\nNosso Código de Conduta pode ser encontrado aqui:\nhttps://2022.pythonbrasil.org.br/cdc', 'thumbnail': 'https://i.ytimg.com/vi/9vnUPhixnco/sddefault.jpg?v=63553cf5', 'age_limit': 0, 'is_live': False, 'was_live': True, 'availability': 'public', 'webpage_url': 'https://www.youtube.com/watch?v=9vnUPhixnco', 'original_url': 'https://www.youtube.com/watch?v=9vnUPhixnco'}"
"{'index': 4, 'title': 'Keynote: Mariatta Wijaya - Domingo - Dia 23/10 [PyBR2022]', 'url': 'https://www.youtube.com/watch?v=seCzm3B4-0A', 'video_id': 'seCzm3B4-0A', 'uploader': 'pythonbrasil', 'uploader_id': '@pythonbrasiloficial', 'uploader_url': 'https://www.youtube.com/@pythonbrasiloficial', 'upload_date': '20221023', 'duration': 3375, 'view_count': 638, 'like_count': 33, 'comment_count': None, 'tags': ['pythonbrasil', 'apyb', 'pythonbrasil[6]', 'python', 'django', 'plone', 'zope', 'web2py', 'pyscience', 'numpy'], 'categories': ['Science & Technology'], 'description': 'Python Brasil 2022 a maior conferência da linguagem de programação Python da América Latina.\n\nPara mais informações, consulte:\nhttps://2022.pythonbrasil.org.br/\n\nInscreva-se no evento:\nhttps://bit.ly/pybr2022\n\nLink para o nosso discord:\nhttps://discord.gg/NfE7VDGbJn\n\nNosso Código de Conduta pode ser encontrado aqui:\nhttps://2022.pythonbrasil.org.br/cdc', 'thumbnail': 'https://i.ytimg.com/vi/seCzm3B4-0A/maxresdefault.jpg', 'age_limit': 0, 'is_live': False, 'was_live': True, 'availability': 'public', 'webpage_url': 'https://www.youtube.com/watch?v=seCzm3B4-0A', 'original_url': 'https://www.youtube.com/watch?v=seCzm3B4-0A'}"
"{'index': 5, 'title': 'Palestras relâmpago - Domingo - 23/10 [PyBR2022]', 'url': 'https://www.youtube.com/watch?v=6SShnyYTCv0', 'video_id': '6SShnyYTCv0', 'uploader': 'pythonbrasil', 'uploader_id': '@pythonbrasiloficial', 'uploader_url': 'https://www.youtube.com/@pythonbrasiloficial', 'upload_date': '20221023', 'duration': 2078, 'view_count': 343, 'like_count': 16, 'comment_count': None, 'tags': ['pythonbrasil', 'apyb', 'pythonbrasil[6]', 'python', 'django', 'plone', 'zope', 'web2py', 'pyscience', 'numpy'], 'categories': ['Science & Technology'], 'description': 'Python Brasil 2022 a maior conferência da linguagem de programação Python da América Latina.\n\nPara mais informações, consulte:\nhttps://2022.pythonbrasil.org.br/\n\nInscreva-se no evento:\nhttps://bit.ly/pybr2022\n\nLink para o nosso discord:\nhttps://discord.gg/NfE7VDGbJn\n\nNosso Código de Conduta pode ser encontrado aqui:\nhttps://2022.pythonbrasil.org.br/cdc', 'thumbnail': 'https://i.ytimg.com/vi/6SShnyYTCv0/maxresdefault.jpg', 'age_limit': 0, 'is_live': False, 'was_live': True, 'availability': 'public', 'webpage_url': 'https://www.youtube.com/watch?v=6SShnyYTCv0', 'original_url': 'https://www.youtube.com/watch?v=6SShnyYTCv0'}"
"{'index': 6, 'title': 'Keynote: Eduardo Mendes - Domingo - Dia 23/10 [PyBR2022]', 'url': 'https://www.youtube.com/watch?v=EICtZmqCtEg', 'video_id': 'EICtZmqCtEg', 'uploader': 'pythonbrasil', 'uploader_id': '@pythonbrasiloficial', 'uploader_url': 'https://www.youtube.com/@pythonbrasiloficial', 'upload_date': '20221023', 'duration': 3515, 'view_count': 1641, 'like_count': 172, 'comment_count': None, 'tags': ['pythonbrasil', 'apyb', 'pythonbrasil[6]', 'python', 'django', 'plone', 'zope', 'web2py', 'pyscience', 'numpy'], 'categories': ['Science & Technology'], 'description': 'Python Brasil 2022 a maior conferência da linguagem de programação Python da América Latina.\n\nPara mais informações, consulte:\nhttps://2022.pythonbrasil.org.br/\n\nInscreva-se no evento:\nhttps://bit.ly/pybr2022\n\nLink para o nosso discord:\nhttps://discord.gg/NfE7VDGbJn\n\nNosso Código de Conduta pode ser encontrado aqui:\nhttps://2022.pythonbrasil.org.br/cdc', 'thumbnail': 'https://i.ytimg.com/vi_webp/EICtZmqCtEg/maxresdefault.webp', 'age_limit': 0, 'is_live': False, 'was_live': True, 'availability': 'public', 'webpage_url': 'https://www.youtube.com/watch?v=EICtZmqCtEg', 'original_url': 'https://www.youtube.com/watch?v=EICtZmqCtEg'}"
"{'index': 7, 'title': 'Metaclasses: Pra que servem? Onde vivem? Como se reproduzem? - Leonardo Almeida [PyBR2022]', 'url': 'https://www.youtube.com/watch?v=nQFwAJDiv5M', 'video_id': 'nQFwAJDiv5M', 'uploader': 'pythonbrasil', 'uploader_id': '@pythonbrasiloficial', 'uploader_url': 'https://www.youtube.com/@pythonbrasiloficial', 'upload_date': '20221023', 'duration': 3326, 'view_count': 620, 'like_count': 40, 'comment_count': None, 'tags': ['pythonbrasil', 'apyb', 'pythonbrasil[6]', 'python', 'django', 'plone', 'zope', 'web2py', 'pyscience', 'numpy'], 'categories': ['Science & Technology'], 'description': 'Python Brasil 2022 a maior conferência da linguagem de programação Python da América Latina.\n\nPara mais informações, consulte:\nhttps://2022.pythonbrasil.org.br/\n\nInscreva-se no evento:\nhttps://bit.ly/pybr2022\n\nLink para o nosso discord:\nhttps://discord.gg/NfE7VDGbJn\n\nNosso Código de Conduta pode ser encontrado aqui:\nhttps://2022.pythonbrasil.org.br/cdc', 'thumbnail': 'https://i.ytimg.com/vi/nQFwAJDiv5M/maxresdefault.jpg', 'age_limit': 0, 'is_live': False, 'was_live': True, 'availability': 'public', 'webpage_url': 'https://www.youtube.com/watch?v=nQFwAJDiv5M', 'original_url': 'https://www.youtube.com/watch?v=nQFwAJDiv5M'}"
"{'index': 8, 'title': 'Decifrando o Sphinx: os enigmas da documentação técnica - Melissa Mendonça [PyBR2022]', 'url': 'https://www.youtube.com/watch?v=azbJ_CvacbQ', 'video_id': 'azbJ_CvacbQ', 'uploader': 'pythonbrasil', 'uploader_id': '@pythonbrasiloficial', 'uploader_url': 'https://www.youtube.com/@pythonbrasiloficial', 'upload_date': '20221023', 'duration': 2743, 'view_count': 627, 'like_count': 42, 'comment_count': None, 'tags': ['pythonbrasil', 'apyb', 'pythonbrasil[6]', 'python', 'django', 'plone', 'zope', 'web2py', 'pyscience', 'numpy'], 'categories': ['Science & Technology'], 'description': 'Python Brasil 2022 a maior conferência da linguagem de programação Python da América Latina.\n\nPara mais informações, consulte:\nhttps://2022.pythonbrasil.org.br/\n\nInscreva-se no evento:\nhttps://bit.ly/pybr2022\n\nLink para o nosso discord:\nhttps://discord.gg/NfE7VDGbJn\n\nNosso Código de Conduta pode ser encontrado aqui:\nhttps://2022.pythonbrasil.org.br/cdc', 'thumbnail': 'https://i.ytimg.com/vi/azbJ_CvacbQ/maxresdefault.jpg', 'age_limit': 0, 'is_live': False, 'was_live': True, 'availability': 'public', 'webpage_url': 'https://www.youtube.com/watch?v=azbJ_CvacbQ', 'original_url': 'https://www.youtube.com/watch?v=azbJ_CvacbQ'}"
"{'index': 9, 'title': 'Python & AWS - Combina mais que Arroz & Feijão [PyBR2022]', 'url': 'https://www.youtube.com/watch?v=TDLPBL6wWBk', 'video_id': 'TDLPBL6wWBk', 'uploader': 'pythonbrasil', 'uploader_id': '@pythonbrasiloficial', 'uploader_url': 'https://www.youtube.com/@pythonbrasiloficial', 'upload_date': '20221023', 'duration': 2739, 'view_count': 473, 'like_count': 26, 'comment_count': None, 'tags': ['pythonbrasil', 'apyb', 'pythonbrasil[6]', 'python', 'django', 'plone', 'zope', 'web2py', 'pyscience', 'numpy'], 'categories': ['Science & Technology'], 'description': 'Python Brasil 2022 a maior conferência da linguagem de programação Python da América Latina.\n\nPara mais informações, consulte:\nhttps://2022.pythonbrasil.org.br/\n\nInscreva-se no evento:\nhttps://bit.ly/pybr2022\n\nLink para o nosso discord:\nhttps://discord.gg/NfE7VDGbJn\n\nNosso Código de Conduta pode ser encontrado aqui:\nhttps://2022.pythonbrasil.org.br/cdc', 'thumbnail': 'https://i.ytimg.com/vi/TDLPBL6wWBk/maxresdefault.jpg', 'age_limit': 0, 'is_live': False, 'was_live': True, 'availability': 'public', 'webpage_url': 'https://www.youtube.com/watch?v=TDLPBL6wWBk', 'original_url': 'https://www.youtube.com/watch?v=TDLPBL6wWBk'}"
"{'index': 10, 'title': 'Mentoria de IaC - Aprendendo em grupo - Rafael Gomes [PyBR2022]', 'url': 'https://www.youtube.com/watch?v=t-qZeBjXSJY', 'video_id': 't-qZeBjXSJY', 'uploader': 'pythonbrasil', 'uploader_id': '@pythonbrasiloficial', 'uploader_url': 'https://www.youtube.com/@pythonbrasiloficial', 'upload_date': '20221023', 'duration': 3101, 'view_count': 752, 'like_count': 82, 'comment_count': None, 'tags': ['pythonbrasil', 'apyb', 'pythonbrasil[6]', 'python', 'django', 'plone', 'zope', 'web2py', 'pyscience', 'numpy'], 'categories': ['Science & Technology'], 'description': 'Python Brasil 2022 a maior conferência da linguagem de programação Python da América Latina.\n\nPara mais informações, consulte:\nhttps://2022.pythonbrasil.org.br/\n\nInscreva-se no evento:\nhttps://bit.ly/pybr2022\n\nLink para o nosso discord:\nhttps://discord.gg/NfE7VDGbJn\n\nNosso Código de Conduta pode ser encontrado aqui:\nhttps://2022.pythonbrasil.org.br/cdc', 'thumbnail': 'https://i.ytimg.com/vi/t-qZeBjXSJY/maxresdefault.jpg', 'age_limit': 0, 'is_live': False, 'was_live': True, 'availability': 'public', 'webpage_url': 'https://www.youtube.com/watch?v=t-qZeBjXSJY', 'original_url': 'https://www.youtube.com/watch?v=t-qZeBjXSJY'}"
"{'index': 11, 'title': 'Python na educação não-formal: uma linguagem amiga dos E.T.As - Alexandre B A VIllares [PyBR2022]', 'url': 'https://www.youtube.com/watch?v=BagDL6ooLs0', 'video_id': 'BagDL6ooLs0', 'uploader': 'pythonbrasil', 'uploader_id': '@pythonbrasiloficial', 'uploader_url': 'https://www.youtube.com/@pythonbrasiloficial', 'upload_date': '20221023', 'duration': 2448, 'view_count': 302, 'like_count': 31, 'comment_count': None, 'tags': ['pythonbrasil', 'apyb', 'pythonbrasil[6]', 'python', 'django', 'plone', 'zope', 'web2py', 'pyscience', 'numpy'], 'categories': ['Science & Technology'], 'description': 'Python Brasil 2022 a maior conferência da linguagem de programação Python da América Latina.\n\nPara mais informações, consulte:\nhttps://2022.pythonbrasil.org.br/\n\nInscreva-se no evento:\nhttps://bit.ly/pybr2022\n\nLink para o nosso discord:\nhttps://discord.gg/NfE7VDGbJn\n\nNosso Código de Conduta pode ser encontrado aqui:\nhttps://2022.pythonbrasil.org.br/cdc', 'thumbnail': 'https://i.ytimg.com/vi/BagDL6ooLs0/maxresdefault.jpg', 'age_limit': 0, 'is_live': False, 'was_live': True, 'availability': 'public', 'webpage_url': 'https://www.youtube.com/watch?v=BagDL6ooLs0', 'original_url': 'https://www.youtube.com/watch?v=BagDL6ooLs0'}"
"{'index': 12, 'title': 'Análise exploratória de dados para fortalecimento de democracias - Ana Vieira [PyBR2022]', 'url': 'https://www.youtube.com/watch?v=QGyg0ICDIyY', 'video_id': 'QGyg0ICDIyY', 'uploader': 'pythonbrasil', 'uploader_id': '@pythonbrasiloficial', 'uploader_url': 'https://www.youtube.com/@pythonbrasiloficial', 'upload_date': '20221023', 'duration': 2878, 'view_count': 332, 'like_count': 25, 'comment_count': None, 'tags': ['pythonbrasil', 'apyb', 'pythonbrasil[6]', 'python', 'django', 'plone', 'zope', 'web2py', 'pyscience', 'numpy'], 'categories': ['Science & Technology'], 'description': 'Python Brasil 2022 a maior conferência da linguagem de programação Python da América Latina.\n\nPara mais informações, consulte:\nhttps://2022.pythonbrasil.org.br/\n\nInscreva-se no evento:\nhttps://bit.ly/pybr2022\n\nLink para o nosso discord:\nhttps://discord.gg/NfE7VDGbJn\n\nNosso Código de Conduta pode ser encontrado aqui:\nhttps://2022.pythonbrasil.org.br/cdc', 'thumbnail': 'https://i.ytimg.com/vi/QGyg0ICDIyY/maxresdefault.jpg', 'age_limit': 0, 'is_live': False, 'was_live': True, 'availability': 'public', 'webpage_url': 'https://www.youtube.com/watch?v=QGyg0ICDIyY', 'original_url': 'https://www.youtube.com/watch?v=QGyg0ICDIyY'}"
