index,title,url,video_id,uploader,uploader_id,uploader_url,upload_date,duration,view_count,like_count,comment_count,tags,categories,description,thumbnail,age_limit,is_live,was_live,availability,webpage_url,original_url
1,After movie PyCon Colombia 2021,https://www.youtube.com/watch?v=sMbO4DWHotY,sMbO4DWHotY,PyCon Colombia,@PyconColombia,https://www.youtube.com/@PyconColombia,20220321,300,289,19,,,People & Blogs,"Watch the after movie of #PyConColombia2021

Don't miss it!!

PyCon Colombia 2021 was a great success. Thanks to our sponsors, collaborators, and attendees who were more than 410 individuals who made this event even bigger than we expected.

We are confident #PyConColombia2022 will be even better. In 2022 #PyConColombia will return with amazing guests from different countries, who will be happy to share their ideas, experiences, and knowledge with the community

Mira el after movie de #PyConColombia2021

¡No te lo pierdas!

PyCon Colombia 2021 fue un gran éxito y todo esto fue gracias a nuestros patrocinadores, colaboradores y a los cerca de 410 asistentes que hicieron de este evento aún mas grande de lo que esperábamos.

El equipo está trabajando fuertemente para que #PyconColombia2022 sea aún mejor y en  2022 PyCon Colombia regrese con grandes invitados de diferentes paises, los cuales estarán encantados de compartir sus ideas, experiencias y conocimientos con toda la comunidad.

We want to say thanks to all our sponsors who helped make the conference a huge success.

- playvox - https://www.playvox.com
- mercadolibre.co - https://www.mercadolibre.com.co/
- globant - https://www.globant.com/
- Elastic - https://www.elastic.co/es/
- hourly https://www.hourly.io/
- PSF - https://www.python.org/
- linode - https://www.linode.com/
- tributicolombia https://www.tributi.com/
- nokia - https://www.nokia.com/
- Avanet - http://avanet.org

Follow us

Facebook: https://www.facebook.com/pyconcolombia
Twitter: https://twitter.com/pyconcolombia
Instagram:  https://www.instagram.com/pyconcolombia/
Telegram: https://t.me/pyconcolombia
LinkedIn: https://www.linkedin.com/company/pycon-colombia

Do not forget to follow us on our social networks, so, you will not miss any updates.

Facebook: https://www.facebook.com/pyconcolombia
Twitter: https://twitter.com/pyconcolombia
Instagram: https://www.instagram.com/pyconcolombia/
Telegram: https://t.me/pyconcolombia
LinkedIn https://www.linkedin.com/company/pyco...",https://i.ytimg.com/vi_webp/sMbO4DWHotY/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=sMbO4DWHotY,https://www.youtube.com/watch?v=sMbO4DWHotY
2,Marlene Mhangami - PyCon Colombia 2022,https://www.youtube.com/watch?v=LaViJ5CbHl0,LaViJ5CbHl0,PyCon Colombia,@PyconColombia,https://www.youtube.com/@PyconColombia,20220411,80,169,8,,,People & Blogs,"Enjoy the video of Marlene Mhangami in which she invites the entire community to participate in Pycon Colombia 2022.

Social Networks:

Github: https://github.com/marlenezw
Twitter: https://twitter.com/marlene_zw
LinkedIn: https://www.linkedin.com/in/marlenemhangami/

Pycon Colombia 2022 in this edition brings great guests and this year we will have the participation of Marlene Mhangami, She is a director and vice-chair for the Python Software Foundation and is currently working as a Developer Advocate at Voltron Data. In 2017, she co-founded ZimboPy, a non-profit organization that gives Zimbabwean young women access to resources in the field of technology. She is also the previous chair of PyCon Africa and is an advocate for women in tech on the continent.

This is the beginning of great announcements, follow us on our social networks so you don't miss any updates.

Facebook: https://www.facebook.com/pyconcolombia
Twitter: https://twitter.com/pyconcolombia
Instagram: https://www.instagram.com/pyconcolombia/
Telegram: https://t.me/pyconcolombia
LinkedIn https://www.linkedin.com/company/pycon-colombia/
Tik Tok: https://www.tiktok.com/@pyconcolombia

learn more about PyCon Colombia on our website.

https://www.pycon.co/",https://i.ytimg.com/vi/LaViJ5CbHl0/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=LaViJ5CbHl0,https://www.youtube.com/watch?v=LaViJ5CbHl0
3,Mariatta Wijaya - PyCon Colombia 2022,https://www.youtube.com/watch?v=Wmxnvg_CbPs,Wmxnvg_CbPs,PyCon Colombia,@PyconColombia,https://www.youtube.com/@PyconColombia,20220502,41,169,7,,,People & Blogs,"Enjoy the video of Mariatta Wijaya in which she invites the entire community to participate in Pycon Colombia 2022.

Social Networks:

Github: https://github.com/Mariatta
Twitter: https://twitter.com/mariatta
LinkedIn: https://www.linkedin.com/in/mariatta/

Pycon Colombia 2022 in this edition brings great guests and this year we will have the participation of Mariatta Wijaya, She is a Python core developer and contributes to various open-source projects. She currently works as Senior Developer Relations Engineer at Google. 

This is the beginning of great announcements, follow us on our social networks so you don't miss any updates.

Facebook: https://www.facebook.com/pyconcolombia
Twitter: https://twitter.com/pyconcolombia
Instagram: https://www.instagram.com/pyconcolombia/
Telegram: https://t.me/pyconcolombia
LinkedIn https://www.linkedin.com/company/pycon-colombia/
Tik Tok: https://www.tiktok.com/@pyconcolombia

learn more about PyCon Colombia on our website.

https://www.pycon.co/",https://i.ytimg.com/vi/Wmxnvg_CbPs/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=Wmxnvg_CbPs,https://www.youtube.com/watch?v=Wmxnvg_CbPs
4,Tom Christie - PyCon Colombia 2022,https://www.youtube.com/watch?v=pC47p9kgnDI,pC47p9kgnDI,PyCon Colombia,@PyconColombia,https://www.youtube.com/@PyconColombia,20220516,51,221,5,,,People & Blogs,"Enjoy the video of Tom Christie in which he invites the entire community to participate in Pycon Colombia 2022.

Social Networks:

Github: https://github.com/tomchristie
Twitter: https://twitter.com/starletdreaming
Web: https://www.tomchristie.com/

Pycon Colombia 2022 in this edition brings great guests and this year we will have the participation of Tom Christie, Tom is a longstanding member of the Python open source community.

Since 2016 he has been working on open source full-time, through his company, Encode OSS.

His projects include Django REST framework, HTTPX, Uvicorn, Starlette, and more...

Facebook: https://www.facebook.com/pyconcolombia
Twitter: https://twitter.com/pyconcolombia
Instagram: https://www.instagram.com/pyconcolombia/
Telegram: https://t.me/pyconcolombia
LinkedIn https://www.linkedin.com/company/pycon-colombia/
Tik Tok: https://www.tiktok.com/@pyconcolombia

learn more about PyCon Colombia on our website.

https://www.pycon.co/",https://i.ytimg.com/vi/pC47p9kgnDI/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=pC47p9kgnDI,https://www.youtube.com/watch?v=pC47p9kgnDI
5,Nina Zakharenko - PyCon Colombia 2022,https://www.youtube.com/watch?v=zF9hRugHkv8,zF9hRugHkv8,PyCon Colombia,@PyconColombia,https://www.youtube.com/@PyconColombia,20220704,54,63,1,,,People & Blogs,"Enjoy the video of Nina Zakharenko in which she invites the entire community to participate in Pycon Colombia 2022.

Social Networks:

Twitter: https://twitter.com/nnja
Github: https://github.com/nnja
LinkedIn: https://www.linkedin.com/in/nnja/

Pycon Colombia 2022 in this edition brings great guests and this year we will have the participation of Nina Zakharenko a software engineer with over a decade of experience. She's currently the Principal Lead of the Python Developer Advocacy team at Microsoft.

This is the beginning of great announcements, follow us on our social networks so you don't miss any updates.

Facebook: https://www.facebook.com/pyconcolombia
Twitter: https://twitter.com/pyconcolombia
Instagram: https://www.instagram.com/pyconcolombia/
Telegram: https://t.me/pyconcolombia
LinkedIn https://www.linkedin.com/company/pycon-colombia/
Tik Tok: https://www.tiktok.com/@pyconcolombia

learn more about PyCon Colombia on our website.

https://www.pycon.co/",https://i.ytimg.com/vi/zF9hRugHkv8/sddefault.jpg?sqp=-oaymwEmCIAFEOAD8quKqQMa8AEB-AH-CYAC0AWKAgwIABABGGUgUyhgMA8=&rs=AOn4CLBiYb-W-N8EI03ROgf06BK9-pL7tA,0,False,False,public,https://www.youtube.com/watch?v=zF9hRugHkv8,https://www.youtube.com/watch?v=zF9hRugHkv8
6,Víctor Hugo Villalobos - Eventos severless en AWS con python,https://www.youtube.com/watch?v=Q9sU9NKWs3o,Q9sU9NKWs3o,PyCon Colombia,@PyconColombia,https://www.youtube.com/@PyconColombia,20220723,1638,160,5,,,People & Blogs,"Víctor Hugo Villalobos
--------------------------------------------
Playvox
--------------------------------------------
Know more about Playvox on their social networks:

Facebook: https://www.facebook.com/playvox/
Twitter: https://twitter.com/playvoxcx
Instagram: https://www.instagram.com/playvox.cx/
LinkedIn: https://www.linkedin.com/company/playvox/
Website: https://www.playvox.com

--------------------------------------------

Follow us

Facebook: https://www.facebook.com/pyconcolombia
Twitter: https://twitter.com/pyconcolombia
Instagram:  https://www.instagram.com/pyconcolombia/
Telegram: https://t.me/pyconcolombia
LinkedIn: https://www.linkedin.com/company/pycon-colombia/
Flickr: https://www.flickr.com/photos/pyconcolombia/

More About PyCon Colombia at http://www.pycon.co",https://i.ytimg.com/vi/Q9sU9NKWs3o/hqdefault.jpg?sqp=-oaymwEmCOADEOgC8quKqQMa8AEB-AH-CYAC0AWKAgwIABABGGUgZShlMA8=&rs=AOn4CLDgG5u13zdaW_OjatYCu_JzxMAzFg,0,False,False,public,https://www.youtube.com/watch?v=Q9sU9NKWs3o,https://www.youtube.com/watch?v=Q9sU9NKWs3o
7,Marlene Mhangami  - Keynote PyCon Colombia 2022,https://www.youtube.com/watch?v=Mv2vdroNLlk,Mv2vdroNLlk,PyCon Colombia,@PyconColombia,https://www.youtube.com/@PyconColombia,20220725,1893,133,5,,,People & Blogs,"Marlene Mhangami
--------------------------------------------
Director and vice-chair for the Python Software Foundation and is currently working as a Developer Advocate at Voltron Data. In 2017, she co-founded ZimboPy, a non-profit organization that gives Zimbabwean young women access to resources in the field of technology. She is also the previous chair of PyCon Africa and is an advocate for women in tech on the continent
--------------------------------------------

Social Networks:

Github: https://github.com/marlenezw
Twitter: https://twitter.com/marlene_zw
LinkedIn: https://www.linkedin.com/in/marlenemhangami/

More About PyCon Colombia at http://www.pycon.co",https://i.ytimg.com/vi_webp/Mv2vdroNLlk/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=Mv2vdroNLlk,https://www.youtube.com/watch?v=Mv2vdroNLlk
8,Gajendra Deshpande - Ensuring Inclusive Language in Speech and Writings using Python,https://www.youtube.com/watch?v=IYqK4yirkh8,IYqK4yirkh8,PyCon Colombia,@PyconColombia,https://www.youtube.com/@PyconColombia,20220726,1621,68,0,,,People & Blogs,"Gajendra Deshpande
--------------------------------------------
Social Networks:

Facebook: https://www.facebook.com/gcdeshpande
Twitter: https://twitter.com/gcdeshpande
Github: https://github.com/gcdeshpande
LinkedIn: https://www.linkedin.com/in/gajendradeshpande

--------------------------------------------

Ensuring Inclusive Language in Speech and Writings using Python

--------------------------------------------

Follow us

Facebook: https://www.facebook.com/pyconcolombia
Twitter: https://twitter.com/pyconcolombia
Instagram:  https://www.instagram.com/pyconcolombia/
Telegram: https://t.me/pyconcolombia
LinkedIn: https://www.linkedin.com/company/pycon-colombia/
Flickr: https://www.flickr.com/photos/pyconcolombia/

More About PyCon Colombia at http://www.pycon.co",https://i.ytimg.com/vi_webp/IYqK4yirkh8/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=IYqK4yirkh8,https://www.youtube.com/watch?v=IYqK4yirkh8
9,Andrés Sebastián Arias - Switch loops for itertools,https://www.youtube.com/watch?v=p9TAsImRDOM,p9TAsImRDOM,PyCon Colombia,@PyconColombia,https://www.youtube.com/@PyconColombia,20220730,2353,112,2,,,People & Blogs,"Andrés Sebastián Arias
--------------------------------------------
Social Networks:

Github:  https://github.com/larox
LinkedIn: https://www.linkedin.com/in/sebasarias

--------------------------------------------

Switch loops for itertools

--------------------------------------------

Follow us

Facebook: https://www.facebook.com/pyconcolombia
Twitter: https://twitter.com/pyconcolombia
Instagram:  https://www.instagram.com/pyconcolombia/
Telegram: https://t.me/pyconcolombia
LinkedIn: https://www.linkedin.com/company/pycon-colombia/
Flickr: https://www.flickr.com/photos/pyconcolombia/

More About PyCon Colombia at http://www.pycon.co",https://i.ytimg.com/vi_webp/p9TAsImRDOM/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=p9TAsImRDOM,https://www.youtube.com/watch?v=p9TAsImRDOM
10,Mariatta Wijaya - Keynote PyCon Colombia 2022,https://www.youtube.com/watch?v=ZU5y2D29LR4,ZU5y2D29LR4,PyCon Colombia,@PyconColombia,https://www.youtube.com/@PyconColombia,20220801,1756,84,2,,,People & Blogs,"Mariatta Wijaya
--------------------------------------------
Python core developer and contributes to various open-source projects. She currently works as Senior Developer Relations Engineer at Google.
--------------------------------------------

Social Networks:

Github: https://github.com/Mariatta
Twitter: https://twitter.com/mariatta
LinkedIn: https://www.linkedin.com/in/mariatta/

More About PyCon Colombia at http://www.pycon.co",https://i.ytimg.com/vi_webp/ZU5y2D29LR4/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=ZU5y2D29LR4,https://www.youtube.com/watch?v=ZU5y2D29LR4
