index,title,url,video_id,uploader,uploader_id,uploader_url,upload_date,duration,view_count,like_count,comment_count,tags,categories,description,thumbnail,age_limit,is_live,was_live,availability,webpage_url,original_url
1,Ingrid Nagyová: Jak začít programovat v Pythonu tvorbou jednoduchých her,https://www.youtube.com/watch?v=Z0fYdW7CowU,Z0fYdW7CowU,PyCon CZ,@PyConCZ,https://www.youtube.com/@PyConCZ,20170109,1519,18671,152,10.0,,Science & Technology,"Mnoho, zejména mladých lidí, přivádí k programování touha vytvořit hru. Tato touha může být zmařena při nahlédnutí do učebnic programování, které poznatky budují systematicky a pro začátečníka mnohdy nepochopitelně.
Přednáška ukazuje, jak lze začít tvořit a hrát si s jednoduchými grafickými objekty bez znalostí programování. Společně definujeme několik grafických objektů, které rozpohybujeme po grafickém plátně a jednoduchým zachycením událostí z klávesnice zabezpečíme možnost interaktivního ovládání hry.",https://i.ytimg.com/vi_webp/Z0fYdW7CowU/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=Z0fYdW7CowU,https://www.youtube.com/watch?v=Z0fYdW7CowU
2,Viliam Križan: Peewee: A Simple Yet Powerful ORM,https://www.youtube.com/watch?v=AjQXHWupoG0,AjQXHWupoG0,PyCon CZ,@PyConCZ,https://www.youtube.com/@PyConCZ,20170109,1540,4120,55,6.0,,Science & Technology,"Peewee is a small, expressive ORM, written as a single Python module. In my talk, I will present usage examples including advanced queries, transactions, and backend switching. We will look at differences between Peewee and SQLAlchemy, see how Peewee takes advantage of operators to build SELECT queries, learn how to integrate Peewee into a Flask-based application, and cover the most common difficulties when trying to extend Peewee.",https://i.ytimg.com/vi_webp/AjQXHWupoG0/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=AjQXHWupoG0,https://www.youtube.com/watch?v=AjQXHWupoG0
3,Vita Smid: Algorithmic trading with asyncio,https://www.youtube.com/watch?v=9qt0SSGOqzU,9qt0SSGOqzU,PyCon CZ,@PyConCZ,https://www.youtube.com/@PyConCZ,20170109,2106,3265,40,2.0,,Science & Technology,"My team and I have been building a Python 3 stock trading platform for the past 2.5 years. We are powering a trading fund that runs a range of manual and automated strategies. This is a story of what we have learned about Asyncio, profiling, optimization, debugging, and operations... in a fast-moving environment where bugs actually cost money.",https://i.ytimg.com/vi_webp/9qt0SSGOqzU/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=9qt0SSGOqzU,https://www.youtube.com/watch?v=9qt0SSGOqzU
4,Katharine Jarmul: Introduction to Data Wrangling with Python,https://www.youtube.com/watch?v=4KnKXoJibBU,4KnKXoJibBU,PyCon CZ,@PyConCZ,https://www.youtube.com/@PyConCZ,20170109,2006,2978,42,3.0,,Science & Technology,"Become a data wrangler with Python! This talk will introduce you to the core concepts of data analysis with Python. We’ll cover libraries that allow you to easily clean and set up your initial dataset, importing data from all different file types and standards. We’ll introduce some basic libraries to help with statistics and analysis and then cover how to document and explore your findings.

It’s assumed you have a working understanding of Python and its data types and structures, and that you’ve used and understand Python for basic scripting. It’s also assumed you haven’t done much in terms of data analysis, and you’d like to learn more. If this is you, welcome!",https://i.ytimg.com/vi_webp/4KnKXoJibBU/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=4KnKXoJibBU,https://www.youtube.com/watch?v=4KnKXoJibBU
5,Jozef Kepesi: Our journey from developers to real software engineers,https://www.youtube.com/watch?v=ReVqWlTSMJo,ReVqWlTSMJo,PyCon CZ,@PyConCZ,https://www.youtube.com/@PyConCZ,20170109,1396,2369,24,2.0,,Science & Technology,"Few years ago, we were a bunch of cowboys trying to create the fastest flight ticket search engine. We did a lot of mistakes... But we did it with passion. I will talk about how we knew how to avoid all the stupid issues, but why were we not able to do it at the same time.",https://i.ytimg.com/vi/ReVqWlTSMJo/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=ReVqWlTSMJo,https://www.youtube.com/watch?v=ReVqWlTSMJo
6,Goga Patarkatsishvili: Similarities and standards between modern web frameworks,https://www.youtube.com/watch?v=8ohAYzU3V8g,8ohAYzU3V8g,PyCon CZ,@PyConCZ,https://www.youtube.com/@PyConCZ,20170109,993,1892,209,,,Science & Technology,"In the past years there have appeared a lot of new frameworks and libraries in the modern web world, but behind the scenes there are a lot of similarities and standards in any language and I will talk about these standards. 

I also have a post about it: 
https://medium.com/@ent1c3d/similarities-between-django-and-laravel-eb5e2b344ecb",https://i.ytimg.com/vi/8ohAYzU3V8g/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=8ohAYzU3V8g,https://www.youtube.com/watch?v=8ohAYzU3V8g
7,Ana Balica: Humanizing among coders,https://www.youtube.com/watch?v=npyB5Oz-v-I,npyB5Oz-v-I,PyCon CZ,@PyConCZ,https://www.youtube.com/@PyConCZ,20170109,2476,1195,26,6.0,,Science & Technology,"What makes a good developer? Certainly technical expertise, insightfulness, creativity, thoughtfulness. What about daily social interactions with other developers inside the company and community? Those are never easy. Even though we all try to be nice to each other, sometimes unintentionally we can be a bit off. I'd like to share with you some stories that helped me rationalize some of my own communication and human interaction mistakes and how I'm trying to correct them.",https://i.ytimg.com/vi/npyB5Oz-v-I/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=npyB5Oz-v-I,https://www.youtube.com/watch?v=npyB5Oz-v-I
8,Jan Škrle: AsyncIO Connections: Coroutines (Streams) vs Callbacks (Protocols),https://www.youtube.com/watch?v=2nk25Nmz858,2nk25Nmz858,PyCon CZ,@PyConCZ,https://www.youtube.com/@PyConCZ,20170110,1862,908,4,1.0,,Science & Technology,"Standard Python library Asyncio offers both, coroutines and callbacks, APIs for setting up client or server connections. Let's briefly present both APIs with examples and go through ups and downs of each solution.",https://i.ytimg.com/vi_webp/2nk25Nmz858/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=2nk25Nmz858,https://www.youtube.com/watch?v=2nk25Nmz858
9,Stanislav Kontár: Python GUI programming for command-line geeks (and others as well),https://www.youtube.com/watch?v=ydBj0Pn4SfM,ydBj0Pn4SfM,PyCon CZ,@PyConCZ,https://www.youtube.com/@PyConCZ,20170109,1879,899,7,,,Science & Technology,"GUI programming in Python for beginners. We will discuss basic GUI building blocks and some traditional choices of GUI libraries along with their advantages, disadvantages, and portability. We will look at some code examples and discuss related topics ranging from basics, such as handling long running tasks, to more advanced, OpenGL integration and deploying.",https://i.ytimg.com/vi_webp/ydBj0Pn4SfM/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=ydBj0Pn4SfM,https://www.youtube.com/watch?v=ydBj0Pn4SfM
10,Pavol Rusnak: MicroPython,https://www.youtube.com/watch?v=7ZF0yuBT2Jw,7ZF0yuBT2Jw,PyCon CZ,@PyConCZ,https://www.youtube.com/@PyConCZ,20170109,1796,848,12,,,Science & Technology,"MicroPython je moderní implementace Pythonu pro mikrokontrolery a embedded systémy. Pojďme se spolu podívat, čím se liší od ""velkého"" Pythonu a co všechno se dá použitím MicroPythonu ovládat. Součastí přednášky budou praktické ukázky na různých zařízeních.",https://i.ytimg.com/vi/7ZF0yuBT2Jw/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=7ZF0yuBT2Jw,https://www.youtube.com/watch?v=7ZF0yuBT2Jw
