index,title,url,video_id,uploader,uploader_id,uploader_url,upload_date,duration,view_count,like_count,comment_count,tags,categories,description,thumbnail,age_limit,is_live,was_live,availability,webpage_url,original_url
1,Keynote: Python 2020+ - Lukas Langa,https://www.youtube.com/watch?v=fOdCxum-qLA,fOdCxum-qLA,PyCon DE,@PyConDE,https://www.youtube.com/@PyConDE,20191219,3011,3409,25.0,,"Python,Community,Use Cases",Science & Technology,"Speaker: Łukasz Langa

While very successful, Python's peculiarly missing in some spaces like mobile devices, client-side Web, or gaming. Should we do something about it? How could we go about changing that?

Recorded at the PyConDE & PyData Berlin 2019 conference.
https://pycon.de

More details at the conference page: https://de.pycon.org/program/JFNCMQ
Follow us on Twitter:  https://twitter.com/pydataberlin, https://twitter.com/pyconde",https://i.ytimg.com/vi_webp/fOdCxum-qLA/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=fOdCxum-qLA,https://www.youtube.com/watch?v=fOdCxum-qLA
2,Keynote: PEP 581 and PEP 588: Migrating CPython's Issue Tracker - Mariatta Wijaya,https://www.youtube.com/watch?v=tBY8u7iSF0M,tBY8u7iSF0M,PyCon DE,@PyConDE,https://www.youtube.com/@PyConDE,20191219,1209,181,1.0,,"Python,Community,Use Cases",Science & Technology,"Speaker: Mariatta Wijaya

Track:PyConDE
The acceptance of PEP 581, by Python steering council means that another big workflow change is impending. Let's hear about some of the proposed plans on improving CPython's workflow, and learn how you can help and take part in this process.

Recorded at the PyConDE & PyData Berlin 2019 conference.
https://pycon.de

More details at the conference page: https://de.pycon.org/program/DFCU3K
Twitter:  https://twitter.com/pydataberlin
Twitter:  https://twitter.com/pyconde",https://i.ytimg.com/vi_webp/tBY8u7iSF0M/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=tBY8u7iSF0M,https://www.youtube.com/watch?v=tBY8u7iSF0M
3,What’s new in Python 3.8?,https://www.youtube.com/watch?v=vTxXHx5lfv0,vTxXHx5lfv0,PyCon DE,@PyConDE,https://www.youtube.com/@PyConDE,20191219,1920,452,1.0,,"Python,Community",Science & Technology,"Speaker: Stéphane Wirtel

In few months, there will be the release of Python 3.8! As a core dev I would like to show you the new features of this version.

Recorded at the PyConDE & PyData Berlin 2019 conference.
https://pycon.de

More details at the conference page: https://de.pycon.org/program/CATV3T
Follow us on Twitter:  https://twitter.com/pydataberlin, https://twitter.com/pyconde",https://i.ytimg.com/vi_webp/vTxXHx5lfv0/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=vTxXHx5lfv0,https://www.youtube.com/watch?v=vTxXHx5lfv0
4,"6 Years of Docker: The Good, the Bad and Python Packaging",https://www.youtube.com/watch?v=kgqdOftkZ-E,kgqdOftkZ-E,PyCon DE,@PyConDE,https://www.youtube.com/@PyConDE,20191219,1889,544,7.0,,"Python,DevOps,Infrastructure,IDEs/ Jupyter,Use Cases",Science & Technology,"Speaker: Sebastian Neubauer

Track:PyConDE
Local development of python code inside a docker container is surprisingly broken. In this talk I will walk you through the proper setup of a local python development environment using docker.

Recorded at the PyConDE & PyData Berlin 2019 conference.
https://pycon.de

More details at the conference page: https://de.pycon.org/program/A7FWAW
Twitter:  https://twitter.com/pydataberlin
Twitter:  https://twitter.com/pyconde",https://i.ytimg.com/vi_webp/kgqdOftkZ-E/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=kgqdOftkZ-E,https://www.youtube.com/watch?v=kgqdOftkZ-E
5,10 ways to debug Python code,https://www.youtube.com/watch?v=cokP4XAhcwo,cokP4XAhcwo,PyCon DE,@PyConDE,https://www.youtube.com/@PyConDE,20191219,1684,3001,42.0,,"Python,Code-Review,IDEs/ Jupyter",Science & Technology,"Speaker: Christoph Deil

Track:PyConDE
Are your debugging skills limited to ""print"", or do you sometimes think there must be a better way to figure out what's going on? I will show 10 ways to debug Python code, and share tips and tricks for effective debugging.

Recorded at the PyConDE & PyData Berlin 2019 conference.
https://pycon.de

More details at the conference page: https://de.pycon.org/program/TRFD98
Twitter:  https://twitter.com/pydataberlin
Twitter:  https://twitter.com/pyconde",https://i.ytimg.com/vi_webp/cokP4XAhcwo/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=cokP4XAhcwo,https://www.youtube.com/watch?v=cokP4XAhcwo
6,Static Typing in Python,https://www.youtube.com/watch?v=p-nhGq-Wwv8,p-nhGq-Wwv8,PyCon DE,@PyConDE,https://www.youtube.com/@PyConDE,20191219,1682,884,13.0,,"Python,Science",Science & Technology,"Speaker: Dustin Ingram

In this talk, we'll discuss the advantages and disadvantages to a static type system, as well as recent efforts to introduce static typing to Python via optional ""type hints"" and various tools to aid in adding types to Python code.

Recorded at the PyConDE & PyData Berlin 2019 conference.
https://pycon.de

More details at the conference page: https://de.pycon.org/program/NH9UEY
Follow us on Twitter:  https://twitter.com/pydataberlin, https://twitter.com/pyconde",https://i.ytimg.com/vi_webp/p-nhGq-Wwv8/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=p-nhGq-Wwv8,https://www.youtube.com/watch?v=p-nhGq-Wwv8
7,Introduction to automated testing with pytest,https://www.youtube.com/watch?v=4R0dcsNrrAI,4R0dcsNrrAI,PyCon DE,@PyConDE,https://www.youtube.com/@PyConDE,20191219,2480,2502,27.0,,"Python,DevOps,Web,Data Engineering",Science & Technology,"Speaker: Raphael Pierzina

Track:PyConDE
We'll learn how to get started with developing automated tests in Python with the [pytest] test framework.

[pytest]: https://github.com/pytest-dev/pytest

Recorded at the PyConDE & PyData Berlin 2019 conference.
https://pycon.de

More details at the conference page: https://de.pycon.org/program/3JUWNC
Twitter:  https://twitter.com/pydataberlin
Twitter:  https://twitter.com/pyconde",https://i.ytimg.com/vi_webp/4R0dcsNrrAI/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=4R0dcsNrrAI,https://www.youtube.com/watch?v=4R0dcsNrrAI
8,"venv, pyenv, pypi, pip, pipenv, pyWTF?",https://www.youtube.com/watch?v=-C8uVImkTQg,-C8uVImkTQg,PyCon DE,@PyConDE,https://www.youtube.com/@PyConDE,20191219,1844,8463,114.0,,"Python,Code-Review,DevOps",Science & Technology,"Speaker: Simone Robutti

The ecosystem of Python tooling is fragmented, confusing, full of quirks and therefore hostile to newcomers and veterans alike. Let's try to make sense of it.

Recorded at the PyConDE & PyData Berlin 2019 conference.
https://pycon.de

More details at the conference page: https://de.pycon.org/program/HQJMTL
Follow us on Twitter:  https://twitter.com/pydataberlin, https://twitter.com/pyconde",https://i.ytimg.com/vi_webp/-C8uVImkTQg/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=-C8uVImkTQg,https://www.youtube.com/watch?v=-C8uVImkTQg
9,Developers vs. Enterprise,https://www.youtube.com/watch?v=ojbrpJqgGn4,ojbrpJqgGn4,PyCon DE,@PyConDE,https://www.youtube.com/@PyConDE,20191219,1815,123,0.0,,"Python,Community,Use Cases",Science & Technology,"Speaker: Ingo Stegmaier

Track:PyConDE
This 30-minute talk will give you an overview about project management, success factors and specialties within enterprises. This will be a guide how you promote internal projects and bring them to success within a highly ""political"" environment.

Recorded at the PyConDE & PyData Berlin 2019 conference.
https://pycon.de

More details at the conference page: https://de.pycon.org/program/XJLSWG
Twitter:  https://twitter.com/pydataberlin
Twitter:  https://twitter.com/pyconde",https://i.ytimg.com/vi_webp/ojbrpJqgGn4/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=ojbrpJqgGn4,https://www.youtube.com/watch?v=ojbrpJqgGn4
10,Boosting simulation performance with Python,https://www.youtube.com/watch?v=-0TVMCTnCg4,-0TVMCTnCg4,PyCon DE,@PyConDE,https://www.youtube.com/@PyConDE,20191219,1479,283,1.0,,"Python,Infrastructure,Robotics",Science & Technology,"Speaker: Eran Friedman

Track:PyConDE
In this talk I will present the architecture of our simulation (written in Python) which allows us to simulate hours of real-life in only minutes of simulation. I will describe challenges we encountered and how we handled them.

Recorded at the PyConDE & PyData Berlin 2019 conference.
https://pycon.de

More details at the conference page: https://de.pycon.org/program/CEYMMK
Twitter:  https://twitter.com/pydataberlin
Twitter:  https://twitter.com/pyconde",https://i.ytimg.com/vi_webp/-0TVMCTnCg4/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=-0TVMCTnCg4,https://www.youtube.com/watch?v=-0TVMCTnCg4
11,Tutorial: Kubernetes 101 for Python Developers,https://www.youtube.com/watch?v=ior4nwIv3JQ,ior4nwIv3JQ,PyCon DE,@PyConDE,https://www.youtube.com/@PyConDE,20191219,3733,2028,22.0,,"Python,DevOps,Infrastructure,Web,APIs,Use Cases",Science & Technology,"Speaker: Christian Barra

Track:PyConDE
`Kubernetes (K8s) is an open-source system for automating deployment, scaling, and management of containerized applications.`

During this training you will learn how to use it and how it can help as a Python developer.

Recorded at the PyConDE & PyData Berlin 2019 conference.
https://pycon.de

More details at the conference page: https://de.pycon.org/program/D8VAN9
Twitter:  https://twitter.com/pydataberlin
Twitter:  https://twitter.com/pyconde",https://i.ytimg.com/vi_webp/ior4nwIv3JQ/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=ior4nwIv3JQ,https://www.youtube.com/watch?v=ior4nwIv3JQ
12,Refactoring in Python: Design Patterns and Approaches,https://www.youtube.com/watch?v=ZzKaFJxiDzA,ZzKaFJxiDzA,PyCon DE,@PyConDE,https://www.youtube.com/@PyConDE,20191219,1783,1863,26.0,,"Python,Business & Start-Ups,Community,Code-Review",Science & Technology,"Speaker: Tin Marković

Experiences and lessons learned from tackling extremely demanding code. How to bring order to mismanaged code and elevate the code base to a standard that's acceptable in today's tech environment.

Recorded at the PyConDE & PyData Berlin 2019 conference.
https://pycon.de

More details at the conference page: https://de.pycon.org/program/FTVNPK
Follow us on Twitter:  https://twitter.com/pydataberlin, https://twitter.com/pyconde",https://i.ytimg.com/vi_webp/ZzKaFJxiDzA/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=ZzKaFJxiDzA,https://www.youtube.com/watch?v=ZzKaFJxiDzA
