index,title,url,video_id,uploader,uploader_id,uploader_url,upload_date,duration,view_count,like_count,comment_count,tags,categories,description,thumbnail,age_limit,is_live,was_live,availability,webpage_url,original_url
1,[PyCon HK 2024] Opening Remarks by PyCon HK - Scotty Kwok,https://www.youtube.com/watch?v=N4bUdwhYw_w,N4bUdwhYw_w,PyCon Hong Kong,@pyconhk,https://www.youtube.com/@pyconhk,20250316,673,38,0,,,Science & Technology,"https://pretalx.com/pyconhk2024/schedule/

Opening remarks and announcement by PyCon HK

Speaker: Scotty Kwok 
Scotty is the Chairman of PyCon Hong Kong 2024. He is a software developer and co-founder who is passionate about writing software and building hardware to solve problems both at work and in his leisure time. Currently, he serves as the CTO and founder of Sebit Company Limited (www.sebit.world), where he specializes in AI and computer vision.

#pyconhk #pyconhk2024",https://i.ytimg.com/vi/N4bUdwhYw_w/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=N4bUdwhYw_w,https://www.youtube.com/watch?v=N4bUdwhYw_w
2,[PyCon HK 2024] Opening Speech by College of Computing CityU HK - Dr Ray Cheung,https://www.youtube.com/watch?v=BIbG0IFr5JM,BIbG0IFr5JM,PyCon Hong Kong,@pyconhk,https://www.youtube.com/@pyconhk,20250316,328,36,0,,,Science & Technology,"Opening Speech by College of Computing CityU HK.

Speaker:  Dr. Ray Cheung
Prof. CHEUNG Chak Chung Ray
He is the current Section Chairman of IEEE HK Section, the former chairman of the IEEE Hong Kong Section CAS/COM Chapter, and executive committee member of the IEEE Hong Kong Section Computer Chapter. He is the author of over 200 journal papers and conference papers, and 5 International patents. He is the advisor for 16 PhD graduates from CityU Architecture Lab for Arithmetic and Security (CALAS), and currently supervises 10 PhD students. He is also the supervisor of the CityU Underwater Robotics Team.",https://i.ytimg.com/vi_webp/BIbG0IFr5JM/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=BIbG0IFr5JM,https://www.youtube.com/watch?v=BIbG0IFr5JM
3,[PyCon HK 2024] [Keynote] PyCon Hong Kong - the Story,https://www.youtube.com/watch?v=MfHIf_FXXgk,MfHIf_FXXgk,PyCon Hong Kong,@pyconhk,https://www.youtube.com/@pyconhk,20250316,295,15,0,,,Science & Technology,"https://pretalx.com/pyconhk2024/talk/XAFXDU/

Passionate volunteer start the PyCon HK in Hong Kong in 2015, which turns the local python community to its next decade. In this short video, Sammy tells the story of PyCon HK and how did he involve it.

Speaker: Sammy Fung
Sammy is the Fellow member of Python Software Foundation, he is the founder of PyCon HK and its former conference chair. He is also President of Open Source Hong Kong and Founder of Open Platform Society.

#pyconhk #pyconhk2024",https://i.ytimg.com/vi_webp/MfHIf_FXXgk/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=MfHIf_FXXgk,https://www.youtube.com/watch?v=MfHIf_FXXgk
4,[PyCon HK 2024] [Keynote] Large Language Models Optimization with Python - Haowen Huang,https://www.youtube.com/watch?v=VkLgDHrARCQ,VkLgDHrARCQ,PyCon Hong Kong,@pyconhk,https://www.youtube.com/@pyconhk,20250316,1657,28,1,,,Science & Technology,"https://pretalx.com/pyconhk2024/talk/W9X8DD/

This talk will cover various aspects of optimizing Large Language Models (LLMs) with Python, including quick start, availability optimization, and throughput optimization. Explore cutting-edge techniques involved in areas such as model compilation, model compression, model inference batching, distributed training, and Large Model Inference (LMI) containers. Discover practical examples of optimizing some open-source models using techniques like LMI containers, Low-Rank Adaptation (LoRA), Fully Sharded Data Parallelism (FSDP), Paged Attention, Rolling Batch, and more. ""The talk will delve into techniques and strategies for optimizing Large Language Models (LLMs) with Python. It focuses on addressing the computational challenges associated with training and deploying these models efficiently.

One key aspect discussed is model parallelism, which involves distributing the model across multiple devices or instances to overcome memory limitations. Tensor parallelism, a form of model parallelism, is explored, where individual tensors are split across devices. Pipeline parallelism, another technique, enables concurrent execution of different model components on separate devices.

The talk will also cover distributed training strategies, such as data parallelism and tensor-parallel language models, which leverage multiple devices to accelerate training. Techniques for reducing memory footprint, like quantization, pruning, and distillation, are explored as means to optimize LLM deployment.

Optimizations for inference are also discussed, including model compression methods like quantization-aware training, pruning, and distillation. Kernel fusion, a technique that combines multiple operations into a single optimized kernel, is highlighted for improving inference performance. Additionally, the document explores accelerated inference using hardware accelerators.

The talk aims to provide guidance on leveraging Python's capabilities for efficient LLM training, deployment, and inference. It covers a range of strategies and techniques to address the computational challenges associated with these models, enabling researchers and practitioners to optimize LLMs for improved performance and cost-effectiveness.

Speaker: Haowen Huang
Haowen Huang is currently a Senior Developer Advocate at Amazon Web Services (AWS). He has over 20 years of experience in the telecommunications, internet, and cloud computing industries. He has previously worked for companies such as Microsoft, Sun, and China Telecom. He currently focuses on creating and sharing technical content in the areas of generative AI, large language models (LLMs), machine learning, and data science, and empowering developers around the world.

#pyconhk #pyconhk2024 #aws",https://i.ytimg.com/vi_webp/VkLgDHrARCQ/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=VkLgDHrARCQ,https://www.youtube.com/watch?v=VkLgDHrARCQ
5,[PyCon HK 2024] Sign and verify Python package with Sigstore keyless signing - Frankie Ng,https://www.youtube.com/watch?v=f3CKz_vm-z8,f3CKz_vm-z8,PyCon Hong Kong,@pyconhk,https://www.youtube.com/@pyconhk,20250316,898,11,0,,,Science & Technology,"https://pretalx.com/pyconhk2024/talk/RUHCB8/

Organizations are challenged in ensuring that the container image they are deploying is exactly what was produced in development and nothing has changed before it runs in production. Cryptographic signing of container images helps to verify the integrity of the image and makes sure it has not been tampered since its creation. Verification of the image signature also confirms that the expected software creator, whose identity was certified at the moment of signing, published the container image in their possession. 
In this presentation, I will use an open source project “Sigstore”: a cryptographic signature tool that is for improving software supply chain security. The Sigstore framework empowers software developers and consumers to securely sign and verify software artifacts. Signatures are generated with ephemeral signing keys so there’s no need to manage keys. Signing events are recorded in a tamper-resistant public log so software developers can audit signing events.

Speaker: Frankie Ng
Frankie Ng - Associate Principal Solution Architect
Frankie Ng is an IT professional focusing on Open Source technology. Frankie has years of experience in IT infrastructure, automation, IaaS and cloud. He believes Open Source, sharing and community are the keys for technology innovation.

Frankie joined Red Hat in 2016 as Solution Architect covering Hong Kong and Taiwan. He helped enterprises to drive digital transformation projects including hybrid cloud strategy, DevOps and container adoption and IT automation.

#pyconhk #pyconhk2024 #redhat",https://i.ytimg.com/vi_webp/f3CKz_vm-z8/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=f3CKz_vm-z8,https://www.youtube.com/watch?v=f3CKz_vm-z8
6,[PyCon HK 2024] Network Automation for Improved Efficiency using Ansible and Python - Timothy Lam,https://www.youtube.com/watch?v=TFW--M3RF2Y,TFW--M3RF2Y,PyCon Hong Kong,@pyconhk,https://www.youtube.com/@pyconhk,20250316,645,8,0,,,Science & Technology,"https://pretalx.com/pyconhk2024/talk/NA7LPP/

This presentation highlights how network automation with Python and Ansible enhances management efficiency. It addresses the challenges of traditional manual network tasks, which are time-consuming, error-prone, and hard to scale. By showcasing Python's and Ansible's capabilities, the presentation demonstrates how automation leads to improved efficiency, reduced errors, and faster deployments, allowing network administrators to focus on critical tasks and ensuring a more reliable and secure network environment. 

This presentation explores how network automation can significantly enhance management efficiency. Traditional manual network configuration, provisioning, and maintenance are time-consuming, error-prone, and difficult to scale with network growth.

Ansible, a popular open-source tool, is introduced as a key component for automating network configurations and workflows. We explain Ansible's agentless architecture and the use of playbooks—YAML files that define automated tasks for network devices.

Through code examples and a sample playbook, we demonstrate how Python scripts can interact with network devices and be integrated into Ansible playbooks, enabling the automation of complex tasks efficiently.

Speaker: TIMOTHY LAM
I am a seasoned IT professional with over 20 years of experience, certified in PMP, CISM,, CISA and TOGAF, and recognized as an Open Group Distinguished IT Technical Specialist. 

As the Strategic Business Development Director at Red Hat, I drive transformation and revenue growth through open-source solutions, enhancing customer experience and market presence.

#pyconhk #pyconhk2024 #redhat",https://i.ytimg.com/vi_webp/TFW--M3RF2Y/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=TFW--M3RF2Y,https://www.youtube.com/watch?v=TFW--M3RF2Y
7,[PyCon HK 2024] Taiwan LLM: Bridging the Linguistic Divide with a Culturally Aligned LM- Yenting Lin,https://www.youtube.com/watch?v=wC9tiky13mk,wC9tiky13mk,PyCon Hong Kong,@pyconhk,https://www.youtube.com/@pyconhk,20250316,1809,13,0,,,Science & Technology,"https://pretalx.com/pyconhk2024/talk/LY8XCV/

[ONLINE presentation] This talk introduces TAIWAN-LLM, a pioneering Large Language Model specifically designed for Traditional Chinese as used in Taiwan. We'll discuss how TAIWAN-LLM addresses the underrepresentation of Traditional Chinese in existing language models, bridging the linguistic and cultural divide. The presentation will cover our approach to developing a culturally aligned model, including the use of a comprehensive Taiwanese corpus, instruction fine-tuning, and real user feedback incorporation. We'll share evaluation results demonstrating TAIWAN-LLM's superior performance in understanding and generating Traditional Chinese text compared to existing models.

Speaker: Yenting Lin
Yen-Ting Lin is a Ph.D. candidate at National Taiwan University, advised by Professor Yun-Nung (Vivian) Chen. His research focuses on large language models (LLMs), and he is currently leading the Taiwan-LLM project, which develops language models optimized for Traditional Chinese, addressing the unique linguistic needs of Taiwan. 

He has gained practical experience through internships at companies such as Meta GenAI in summer 2024, NVIDIA Research in spring 2024, Amazon Alexa AI in the summers of 2021, 2022, and 2023, MediaTek Research in the summer of 2019, and IBM Research in the summer of 2020.

Yen-Ting is actively seeking industry research scientist or engineer positions starting in 2025.

#pyconhk #pyconhk2024",https://i.ytimg.com/vi_webp/wC9tiky13mk/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=wC9tiky13mk,https://www.youtube.com/watch?v=wC9tiky13mk
8,[PyCon HK 2024] Pydantic Logfire: Empowering Python Observability - Hemangi Karchalkar,https://www.youtube.com/watch?v=hXSKrY1I0AA,hXSKrY1I0AA,PyCon Hong Kong,@pyconhk,https://www.youtube.com/@pyconhk,20250316,1510,78,1,,"PyConHK,PyConHK2024,PyConHK 2024",Science & Technology,"https://pretalx.com/pyconhk2024/talk/FJLLGF/

Pydantic Logfire is an advanced observability platform tailored for Python applications, integrating seamlessly with the popular Pydantic library. Built on the principles of simplicity and power, Pydantic Logfire offers deep insights into application behavior through Python-centric telemetry, structured logging, and powerful SQL querying capabilities. Leveraging OpenTelemetry for comprehensive instrumentation, it ensures Python developers can efficiently monitor, debug, and optimize their codebases. From small scripts to enterprise deployments, Pydantic Logfire transforms raw data into actionable insights, simplifying the observability journey for Python developers.

Speaker: HEMANGI
""I’m Hemangi Karchalkar, a senior software developer at Epam Systems, weaving Python magic for five years. By day, I’m your go-to coding junkie, and by night, I moonlight as a Python mentor, adding a sprinkle of jokes to the learning mix. Multitasking is my superpower, and I firmly believe that laughter is the best debugger. In the world of brackets and semicolons, I bring a dose of humor, making coding an entertaining adventure. Join me for a Python journey where code and comedy collide, bugs are no match for wit, and mentorship comes with a side of humor.""

#pyconhk #pyconhk2024",https://i.ytimg.com/vi_webp/hXSKrY1I0AA/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=hXSKrY1I0AA,https://www.youtube.com/watch?v=hXSKrY1I0AA
9,[PyCon HK 2024] Build AI-powered RAG application with MySQL9.0 - Ryan Kuan,https://www.youtube.com/watch?v=WSdXubh1es8,WSdXubh1es8,PyCon Hong Kong,@pyconhk,https://www.youtube.com/@pyconhk,20250316,1587,22,0,,,Science & Technology,"https://pretalx.com/pyconhk2024/talk/YXQRCF/

In this session, we will show you how you can quickly build an AI-powered RAG application with MySQL9.0 and python:
* Build your own document repository in vector store in MySQL 9.0
* Integrate LLM in your application to process questions
* Generate context-aware answers from your vector store

Speaker: Ryan Kuan
Ryan Kuan is a Cloud Solutions Engineer who helps organisations to adopt cloud-native data architecture across the Asia Pacific regions at Oracle MySQL.  
Ryan believes that organisations adopting cloud technology can focus and innovate their business entirely without worrying about the underlying IT infrastructure the business depends upon. He has helped many organizations adopt cloud-native data science capabilities to discover invaluable information and data insights to solve complex business problems. 
Prior to joining Oracle MySQL, he worked in various roles such as Cloud Advisor, Solutions Architect, and Database Engineer at IBM, BEA Systems, and Informix respectively, he achieved various professional accreditations such as TOGAF, ITIL, and IBM certified professional architect.

#pyconhk #pyconhk2024 #mysql",https://i.ytimg.com/vi/WSdXubh1es8/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=WSdXubh1es8,https://www.youtube.com/watch?v=WSdXubh1es8
10,[PyCon HK 2024] Hackman:IoT & membership platform on RPi & Nix for HK's 1st Hackerspace - Nigel Choi,https://www.youtube.com/watch?v=2tZsJoVU1bw,2tZsJoVU1bw,PyCon Hong Kong,@pyconhk,https://www.youtube.com/@pyconhk,20250316,1552,12,0,,,Science & Technology,"https://pretalx.com/pyconhk2024/talk/K7VYAH/

We build everything ourselves at Dim Sum Labs, Hong Kong's first Hackerspace. This includes Hackman, the IoT system that manages our membership and controls the space's door, lights, appliances, and electricity usage. Hackman is written in Python and runs entirely on a Raspberry Pi 5. We will bring a replica of Hackman and some attachments (we can't bring the door, though) and give a live demo. You will hear about how we use Nix, DevOps/GitOps, a staging Raspberry Pi, and software engineering practices that make it reliable. We will show how it can be easily extended using Redis. ""Hackman is a Hackerspace management system for Dim Sum Labs, Hong Kong's first Hackerspace. It is a Django application running on a Raspberry Pi 5 that manages our membership, controls access to the space, and much more. It serves a critical function for our space hence it must be reliable. Our members should easily add features to it while keeping the core stable.

In this talk, we will talk about how we use various software engineering practices to make it stable and reliable while making it extensible. We'll discuss:

* How the Django application is structured
* How we use Redis as a means to easily extend the system
* How we use Nix to make the operating system and the application easily reproducible
* How we use DevOps/GitOps along with ample tests to manage software deployments

Dim Sum Labs is Hong Kong’s first and longest-running Hackerspace since 2011, open to anyone interested in hacking: the intellectual challenge to creatively overcome or otherwise “hack” the limitations, capabilities, purposes, forms, etc. of virtually anything — or in other words: to mess around and build anything for fun. The members extend this ethos to its membership management system and the IoT in the space. For more information, visit us at https://www.dimsumlabs.com/ . Hackman is open source and can be accessed at https://github.com/dimsumlabs/hackman

Speaker: Nigel Choi
A lifelong dabbler, learner, and maker, Nigel is an active member of Dim Sum Labs, Hong Kong's longest running Hackerspace. Professionally, he is currently Head of Engineering at Eythos, a tech-enabled fine arts service company in Hong Kong. His varied background includes inventing and selling Chokerkeys (a macro keypad), being a consultant at McKinsey & Company, and Silicon Valley engineer at Google, Yahoo. He holds a Masters in Computer Science from Stanford University.

#pyconhk #pyconhk2024",https://i.ytimg.com/vi_webp/2tZsJoVU1bw/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=2tZsJoVU1bw,https://www.youtube.com/watch?v=2tZsJoVU1bw
