index,title,url,video_id,uploader,uploader_id,uploader_url,upload_date,duration,view_count,like_count,comment_count,tags,categories,description,thumbnail,age_limit,is_live,was_live,availability,webpage_url,original_url
1,Coding on the Healthcare Frontline: Developing Medical Imaging AI from within an Irish Hospital,https://www.youtube.com/watch?v=gZTXALO2vpc,gZTXALO2vpc,Python Ireland,@PythonIreland,https://www.youtube.com/@PythonIreland,20230506,2737,232,10,1.0,Python,Science & Technology,"Exploring the application of python software solutions in radiology that are in use and in development in an Irish Hospital. From use case discussions to data acquisition and modelling, this session will detail the development processes for Artificial Intelligence in Irish Radiology.",https://i.ytimg.com/vi/gZTXALO2vpc/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=gZTXALO2vpc,https://www.youtube.com/watch?v=gZTXALO2vpc
2,Ramon Perez - Getting Started with Feature Stores,https://www.youtube.com/watch?v=mGTSYmXA3qA,mGTSYmXA3qA,Python Ireland,@PythonIreland,https://www.youtube.com/@PythonIreland,20230520,2297,271,5,,"Python,data science,feature store",Science & Technology,"As machine learning-powered applications become more ubiquitous, so do the tools we create and use to optimize development time and collaboration across teams. One such tool that has gained popularity in recent years is the feature store as its adoption helps solve pressing issues at the infrastructure level before and after machine learning takes place within a data science project.",https://i.ytimg.com/vi/mGTSYmXA3qA/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=mGTSYmXA3qA,https://www.youtube.com/watch?v=mGTSYmXA3qA
3,Rebecca Martin - Fighting Bots with Python and Machine Learning,https://www.youtube.com/watch?v=TvZh_9MLVMY,TvZh_9MLVMY,Python Ireland,@PythonIreland,https://www.youtube.com/@PythonIreland,20230617,1719,145,2,,Python,Science & Technology,"Over lockdown, I re-explored old games that I had played in the past, one of them being League of Legends. One thing that interested me in particular is people using automated scripts or bots to play the game for them, often times to get the account to the lowest rank possible, and sell those accounts on for a substantial amount of money. This behaviour ruins the game experience for the rest of the players in the team, and so faced with this problem I aim to present a potential solution, using Python and machine learning libraries. As this is my first proper experience using machine learning in Python, I hope to share my insights on what I have learnt from my personal project and what you can take away from my experiences.",https://i.ytimg.com/vi/TvZh_9MLVMY/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=TvZh_9MLVMY,https://www.youtube.com/watch?v=TvZh_9MLVMY
4,Muhammad Atif Qureshi - Rapid Cues for Research: COVID-19 Exploratory Search System Using Taxonomies,https://www.youtube.com/watch?v=rSkyIu7Av_k,rSkyIu7Av_k,Python Ireland,@PythonIreland,https://www.youtube.com/@PythonIreland,20230620,2270,64,0,,Python,Science & Technology,"RCES, Rapid Cues for Exploratory Search is a human-centric search system developed in an attempt to navigate scientific literature related to COVID-19. It is analogous to a telescope that can rapidly discover concepts related to COVID-19 and speed up the process of finding the needle in the haystack of the knowledge pool. It is built on top of knowledge discovery techniques enabling users to explore COVID-19 concepts easily.",https://i.ytimg.com/vi/rSkyIu7Av_k/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=rSkyIu7Av_k,https://www.youtube.com/watch?v=rSkyIu7Av_k
5,Jim Dowling - Data Validation for ML using Great Expectations and Hopsworks,https://www.youtube.com/watch?v=wj5ni1EH02I,wj5ni1EH02I,Python Ireland,@PythonIreland,https://www.youtube.com/@PythonIreland,20230621,2311,113,2,,Python,Science & Technology,"Have you ever trained an awesome model just to have it break in production because of a null value? At its core a feature store needs to provide reliable features to data scientists to build and productionize models. So how can we avoid garbage in, garbage out situations? Great expectations is the most popular library for data validation, and so the two are a natural fit. In this talk we will cover the core concepts of Great Expectations and how you can leverage them in a feature store.",https://i.ytimg.com/vi/wj5ni1EH02I/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=wj5ni1EH02I,https://www.youtube.com/watch?v=wj5ni1EH02I
6,Cheuk Ho - Trying No GIL on Scientific Programming,https://www.youtube.com/watch?v=nXKjwM_k1i0,nXKjwM_k1i0,Python Ireland,@PythonIreland,https://www.youtube.com/@PythonIreland,20230622,2247,39,0,1.0,Python,Science & Technology,"Recently Sam Gross, the author of nogil fork on Python 3.9, demonstrates the GIL can be removed. For scientific programs which use heavy CPU-bound processes, it could be a huge performance improvement. In this talk, we will see if this is true and compare the nogil version to the original.",https://i.ytimg.com/vi/nXKjwM_k1i0/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=nXKjwM_k1i0,https://www.youtube.com/watch?v=nXKjwM_k1i0
7,Ritik Agarwal - FAST API and Deploying ML Models using it on AWS,https://www.youtube.com/watch?v=j02rWtWh054,j02rWtWh054,Python Ireland,@PythonIreland,https://www.youtube.com/@PythonIreland,20230623,1718,114,3,,Python,Science & Technology,"FastAPI is a quite new modern, fast (high-performance), web framework for building APIs using Python. I will be speaking and demonstrating about FastAPI from basics of creating an API to ultimately deploy a full Pytorch Model on AWS using this framework.
There are many popular frameworks that can be used to do this task of deploying ML models like Flask and Django. Django is usually used for large scale application and takes quite a bit time to set up that while Flask is usually your go-to for quickly deploying your model on a web app.
FASTAPI is becoming quite popular, so much so that companies like Netflix and Uber are using it. So let’s understand what’s making FastAPI so popular",https://i.ytimg.com/vi/j02rWtWh054/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=j02rWtWh054,https://www.youtube.com/watch?v=j02rWtWh054
8,Sylvain Gubian - Dual Annealing for global optimization problems,https://www.youtube.com/watch?v=OP4Z4_Csn1s,OP4Z4_Csn1s,Python Ireland,@PythonIreland,https://www.youtube.com/@PythonIreland,20230626,1353,613,14,,Python,Science & Technology,"SciPy, the Python scientific toolkit provides developers, scientists, or engineers with a universally recognised and reliable algorithms set. In this session, we will demonstrate how to solve some real life problems with the help of Dual Annealing, using global optimisation.",https://i.ytimg.com/vi/OP4Z4_Csn1s/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=OP4Z4_Csn1s,https://www.youtube.com/watch?v=OP4Z4_Csn1s
9,Donal Byrne - Introduction To Jax: the next step in high performance machine learning,https://www.youtube.com/watch?v=HGKaXSENASo,HGKaXSENASo,Python Ireland,@PythonIreland,https://www.youtube.com/@PythonIreland,20230627,2138,216,8,1.0,Python,Science & Technology,"This talk will give an overview of Googles new high performance machine learning framework Jax. Here we will discuss what exactly Jax is and how it differs from other standard frameworks like Tensorflow and Pytorch, highlight the key features of Jax that allow for potentially massive reductions in training time, show some examples and use cases of Jax in action and finally discuss when you should consider using Jax for your next ML project.",https://i.ytimg.com/vi/HGKaXSENASo/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=HGKaXSENASo,https://www.youtube.com/watch?v=HGKaXSENASo
10,Murilo Cunha - Effective data science teams with databooks,https://www.youtube.com/watch?v=QX2o53LAVuI,QX2o53LAVuI,Python Ireland,@PythonIreland,https://www.youtube.com/@PythonIreland,20230628,1618,40,0,,Python,Science & Technology,"Jupyter notebook is a great tool for quick prototyping and exploration. For this reason, it's very popular in fields such as data science. However, it's JSON-like structure makes it hard to work with notebooks in teams, as it does not cope well with other software tools such as git.

Allowing developers better version notebooks and provide better tools to compare and resolve conflicts can greatly improve the lives of developers. I have used Jupyter notebooks at different data science projects, have experimented with different tools to support better work with notebooks and git and build my own tool, databooks, to that purpose.",https://i.ytimg.com/vi/QX2o53LAVuI/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=QX2o53LAVuI,https://www.youtube.com/watch?v=QX2o53LAVuI
