index,title,url,video_id,uploader,uploader_id,uploader_url,upload_date,duration,view_count,like_count,comment_count,tags,categories,description,thumbnail,age_limit,is_live,was_live,availability,webpage_url,original_url
1,Conference Opening and Welcome - PyCon Italia 2022,https://www.youtube.com/watch?v=YVau_Jy5Yd8,YVau_Jy5Yd8,Python Italia,@PythonItalia,https://www.youtube.com/@PythonItalia,20220722,1268,983,2,,,Entertainment,Conference Opening and Welcome - PyCon Italia 2022,https://i.ytimg.com/vi/YVau_Jy5Yd8/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=YVau_Jy5Yd8,https://www.youtube.com/watch?v=YVau_Jy5Yd8
2,Fuzzing Python code with Atheris - Federico Scrinzi,https://www.youtube.com/watch?v=OE3PTAvVIPU,OE3PTAvVIPU,Python Italia,@PythonItalia,https://www.youtube.com/@PythonItalia,20220723,1657,2025,25,1.0,"codeanalysis,open-source,security,testing",Entertainment,"Fuzzing Python code with Atheris - PyCon Italia 2022

Fuzz testing is a well-known technique for uncovering programming errors. Atheris is an open-source fuzzing engine for finding bugs in Python code and native extensions, released by the Google Information Security team. With this talk we'll learn how Atheris works and how it can be used in practice.
Fuzz testing is a well-known technique for uncovering programming errors. Many of these detectable errors have serious security implications. Atheris ( is an open-source fuzzing engine for automatically finding bugs in Python code and native extensions. Atheris is a “coverage-guided” fuzzer, which means that Atheris will repeatedly try various inputs to your program while watching how it executes, and try to find interesting execution paths.
In the past, Atheris was used to find bugs in Pillow's native code (CVE-2020-35653) or to find differences in JSON parsing between Python's standard library and Ultrajson, or between Python's idna package and the native libidn2 library.

In this talk you can learn the basics of fuzzing, how Atheris works internally, and how it can be used for bug hunting.


Speaker: Federico Scrinzi",https://i.ytimg.com/vi/OE3PTAvVIPU/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=OE3PTAvVIPU,https://www.youtube.com/watch?v=OE3PTAvVIPU
3,Data Engineering and Python - Prakhar Srivastava,https://www.youtube.com/watch?v=2LLfODYCaRw,2LLfODYCaRw,Python Italia,@PythonItalia,https://www.youtube.com/@PythonItalia,20220723,1737,362,4,,"architecture,bigdata,databases,distributedsystems",Entertainment,"Data Engineering and Python - PyCon Italia 2022

Data Engineering is the backbone of all analytics that happens in any organization. This marks data engineering as the central role in any data-driven organization. This talk aims to introduce the fundamentals of data engineering with python apps driving the core concepts.
The aim of this talk is to introduce the audience to the world of big data analytics with pythonic tools and libraries at its core. One can expect the talk to cover the basics of Extract, Transform and Load(ETL) pipelines using python scripts and then Airflow with PySpark. These ETL pipelines are core to any data infrastructure. There will be a discourse on how we can use cloud providers and design an entire system that is responsible for analytics and ML in an organization. Finally a short outro into how one can start their journey to become a data engineer.


Speaker: Prakhar Srivastava",https://i.ytimg.com/vi_webp/2LLfODYCaRw/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=2LLfODYCaRw,https://www.youtube.com/watch?v=2LLfODYCaRw
4,How to imprison a minotaur: mazes building methodologies - Juna Salviati,https://www.youtube.com/watch?v=-RlVU5O86bM,-RlVU5O86bM,Python Italia,@PythonItalia,https://www.youtube.com/@PythonItalia,20220723,1510,290,6,,"machine-learning,science",Entertainment,"How to imprison a minotaur: mazes building methodologies - PyCon Italia 2022

Maze solving algorithms are very popular: we seldom talk about about how to create them.
We will explore maze generation with  Python, keeping a multidisciplinary approach.
[EN]
Talking about mazes, we usually think about algorithms to find an exit: we seldom think about algorithms and methods to *create* them.
In this talk we will use Python to ""imprison the minotaur"": starting from an algorithmic approach, we will generate mazes with cellular automata, formal systems, genetic algorithms and machine learning.

[IT]
Quando parliamo di labirinti, pensiamo subito ad algoritmi di pathfinding: molto meno trattate sono invece le metodologie per la loro costruzione.
In questo talk utilizzeremo Python per ""imprigionare il minotauro"": partendo da un approccio prettamente algoritmico, genereremo poi labirinti con automi cellulari e sistemi formali, per arrivare ad utilizzare infine algoritmi genetici ed il machine learning.

[SLIDES LINK]



Speaker: Juna Salviati",https://i.ytimg.com/vi/-RlVU5O86bM/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=-RlVU5O86bM,https://www.youtube.com/watch?v=-RlVU5O86bM
5,Don't rely on discipline - Nejc Zupan,https://www.youtube.com/watch?v=DOivZctKoYo,DOivZctKoYo,Python Italia,@PythonItalia,https://www.youtube.com/@PythonItalia,20220723,1869,216,4,,"cleancode,staticanalysis,testing",Entertainment,"Don't rely on discipline - PyCon Italia 2022

In the programming field we often rely on discipline. We expect from ourselves and from others that we will not introduce bugs and cause problems. That we will use the libraries and APIs as they are intended. That we will not cut corners.

Sadly, tales from the industry tell us otherwise.
This talk explores why we should not rely on discipline as a bouncer against bugs, and what to rely on instead.

Slides: 


Speaker: Nejc Zupan",https://i.ytimg.com/vi/DOivZctKoYo/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=DOivZctKoYo,https://www.youtube.com/watch?v=DOivZctKoYo
6,DALL·E Flow: when neural search meets generative art - Dr. Han Xiao,https://www.youtube.com/watch?v=giyGGrMw6a8,giyGGrMw6a8,Python Italia,@PythonItalia,https://www.youtube.com/@PythonItalia,20220723,1860,141,3,,,Entertainment,"DALL·E Flow: when neural search meets generative art - PyCon Italia 2022



Speaker: Dr. Han Xiao",https://i.ytimg.com/vi/giyGGrMw6a8/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=giyGGrMw6a8,https://www.youtube.com/watch?v=giyGGrMw6a8
7,Test sana in codice sano - PyCon Italia 2022,https://www.youtube.com/watch?v=JgrewHP45j8,JgrewHP45j8,Python Italia,@PythonItalia,https://www.youtube.com/@PythonItalia,20220723,1880,322,7,,"apis,django,testdrivendevelopment(tdd),testing",Entertainment,"Test sana in codice sano - PyCon Italia 2022

Hai mai avuto voglia o necessità di scrivere test ma non conosci le best practices?
Hai difficoltà a trovare esempi pratici online?
Vuoi capire quanto i test migliorino la qualità del codice?
Questo talk, partendo dalle best practices, ti darà le risposte che cerchi tramite esempi pratici.
Le slide sono disponibili a questo link: 

Ad oggi i software sono parte integrante della nostra vita, abbiamo un software per tutto, come sviluppatori vogliamo renderli privi di bug.
“Se il tuo codice non è testabile non è stato ben progettato” e si presenta agli occhi degli altri come un teorema senza dimostrazione, ma scrivere test è diverso dallo scrivere codice ed è bene, quindi, seguire delle best practices.  
Scrivere codice testato non è soltanto un modo per dormire sonni più sereni, ma anche un atto etico, perché un bug, nei casi peggiori, può anche portare ad eventi catastrofici.

Hai mai avuto voglia di scrivere codice testato ma non conosci le best practices?
Scrivi già test ma ti chiedi come mai in fase di refactoring ti ritrovi a perdere più tempo nel fixare i test piuttosto che il tuo codice?
Mentre scrivi i test ti sembra di perdere il focus rispetto ai requisiti del cliente?
Vuoi capire quanto i test migliorino la qualità del codice?
Hai difficoltà a trovare esempi pratici online?

Nel caso tu abbia risposto sì almeno una volta, segui questo talk: scoprirai, con esempi pratici, come meglio approcciarsi alla scrittura di codice testabile e testato.
Il talk, presentato da chi ne aveva davvero bisogno, ti darà spunti di riflessione partendo dai suggerimenti e dalle linee guida più condivise in letteratura, passando per lo sviluppo di logiche di business tramite test unit e comportamentali, fino ad arrivare ai tools e alle librerie disponibili in Django mostrando esempi pratici di utilizzo.


Speakers: Antonio Mustich, Davide Ria",https://i.ytimg.com/vi/JgrewHP45j8/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=JgrewHP45j8,https://www.youtube.com/watch?v=JgrewHP45j8
8,Best practices for good(ish) and clean(ish) code - Ernesto Arbitrio,https://www.youtube.com/watch?v=6ZsAmUh8Vj4,6ZsAmUh8Vj4,Python Italia,@PythonItalia,https://www.youtube.com/@PythonItalia,20220723,1921,431,7,,"cleancode,deployment/continuousintegration,development,testing",Entertainment,"Best practices for good(ish) and clean(ish) code - PyCon Italia 2022

A famous book introduction says: `The only valid measurement of code quality: WTFs/minute`.
In this talk I'd like to share my past and current experience on how to write good and clean code and what to do and not to do to achieve good shape programs.
Sounds interesting uh?
Have you ever thought what is the cost vs revenue of a well written code and of an ugly code?
Nowadays, in most companies, code bases are huge (in terms of lines of code and complexity) and the number of contributors is also high; this means that a well shaped code could benefit the company finance and the mental health of the employees (AKA software engineers).

Writing clean (and/or good) code requires discipline. This discipline can be acquired and increased during your job and doing experience with messy code, but more important is that using discipline, respecting and following some rules you can achieve elegant and efficient code.

In this talk I will cover some principles of clean code (they are too much for 30 minutes):
 - Meaningful Names
 - Formatting
 - Tests and their importance
 - Continuous Integration
 - Code Refactoring
 - Code Review
 - Boundaries

All the work contained in this talk is mostly inspired by the book `Clean Code - Robert C. Martin (AKA Uncle Bob)` and the experience I have made during my current job and the previous one.


Speaker: Ernesto Arbitrio",https://i.ytimg.com/vi/6ZsAmUh8Vj4/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=6ZsAmUh8Vj4,https://www.youtube.com/watch?v=6ZsAmUh8Vj4
9,Write Any Python Program in One Line and Only Using Lambdas! - Niccolò «Veggero» Venerandi,https://www.youtube.com/watch?v=0by86nMo7OI,0by86nMo7OI,Python Italia,@PythonItalia,https://www.youtube.com/@PythonItalia,20220723,1860,260,3,1.0,functionalprogramming,Entertainment,"Write Any Python Program in One Line and Only Using Lambdas! - PyCon Italia 2022

Any program can be written in just one statement and only using lambda.

Sounds weird? The first claim will bring us into what functional programming is (+ map, functools...); the second one will dig into λ calculus.

But why? You will learn the power of λ and how to be concise: a better pythonist!
This talk will cover:

- Recursion!
Recursion enables to write simple and concise python code. We will bring many examples of recursion, how to make it fast with memoizing and what tail call optimization is.

- Mutable vs Immutable objects!
Since FP uses a completely immutable approach, this might be the right time to learn about tuples, frozendicts, and all immutable data structures.

- Higher order functions!
You can pass functions as arguments and return them in functions. There are many functions in python that use this feature: sort, min, max, map, filter etc.

- Functools!
Functools is the standard python library containing many useful functional tools. The library functions will be all explained properly, such as partial and reduce, often used in FP. 

- Lambda calculus!
λ calculus is the first functional language! In fact, a λ calculus interpreter could be written using exclusively the lambda statement (no loops, numbers, standard functions, libraries, anything).


Speaker: Niccolò «Veggero» Venerandi",https://i.ytimg.com/vi/0by86nMo7OI/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=0by86nMo7OI,https://www.youtube.com/watch?v=0by86nMo7OI
10,Leaflet on steroids with Django - Valentino Gagliardi,https://www.youtube.com/watch?v=p3_SFfl2ibg,p3_SFfl2ibg,Python Italia,@PythonItalia,https://www.youtube.com/@PythonItalia,20220723,913,174,4,,"apis,django,geoandgis,javascript,rest",Entertainment,"Leaflet on steroids with Django - PyCon Italia 2022

Django fornisce potenti strumenti per costruire applicazioni geospaziali. Ma cosa succede quando i dati da visualizzare diventano troppi, e gli strumenti di base non bastano più? Basato su un caso reale, in questo talk vedremo come rendere fruibile una mappa inizialmente lentissima da caricare.
L'obiettivo del talk è quello di fornire spunti e strumenti per affrontare ottimizzazioni lato backend e frontend su Leaflet e Django, molto utili nel caso di grandi quantità di dati geospaziali. In particolare vedremo nel dettaglio:

Il problema, ovvero, una grande quantità di dati geospaziali da visualizzare in mappa, che prima dell'ottimizzazione sono praticamente inutilizzabili.

La soluzione lato backend. Vedremo l'impiego di:

- filtri geospaziali intelligenti.
- stream per servire grandi quantità di dati.

La soluzione lato frontend. Vedremo l'impiego di:

- tecniche di ottimizzazione per il caricamento dinamico dei livelli Leaflet.
- stream per il rendering progressivo dei dati geospaziali.
- filtri intelligenti e relative librerie per ottimizzare le richieste verso il backend.
- test unitari e funzionali per verificare tutte le feature della mappa.


Speaker: Valentino Gagliardi",https://i.ytimg.com/vi/p3_SFfl2ibg/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=p3_SFfl2ibg,https://www.youtube.com/watch?v=p3_SFfl2ibg
