index,title,url,video_id,uploader,uploader_id,uploader_url,upload_date,duration,view_count,like_count,comment_count,tags,categories,description,thumbnail,age_limit,is_live,was_live,availability,webpage_url,original_url
1,Videomemoria PyCon Latam 2019,https://www.youtube.com/watch?v=OH-WGrzG27M,OH-WGrzG27M,PyCon Latam,@pyconlatam3804,https://www.youtube.com/@pyconlatam3804,20191010,193,646,25,,,Education,Videomemoria de lo acontecido en el PyCon Latam 2019.,https://i.ytimg.com/vi_webp/OH-WGrzG27M/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=OH-WGrzG27M,https://www.youtube.com/watch?v=OH-WGrzG27M
2,Bienvenida PyCon Latam 2019,https://www.youtube.com/watch?v=XyrAKAYkwn0,XyrAKAYkwn0,PyCon Latam,@pyconlatam3804,https://www.youtube.com/@pyconlatam3804,20191010,901,104,1,,,Education,Bienvenida a PyCon Latam 2019 por parte del equipo organizador.,https://i.ytimg.com/vi_webp/XyrAKAYkwn0/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=XyrAKAYkwn0,https://www.youtube.com/watch?v=XyrAKAYkwn0
3,Keynote: Argentina en Python - Manuel Kaufmann - PyCon Latam 2019,https://www.youtube.com/watch?v=kdmvakBv8dQ,kdmvakBv8dQ,PyCon Latam,@pyconlatam3804,https://www.youtube.com/@pyconlatam3804,20191010,2190,563,22,1.0,,Education,#PyConLatam19,https://i.ytimg.com/vi_webp/kdmvakBv8dQ/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=kdmvakBv8dQ,https://www.youtube.com/watch?v=kdmvakBv8dQ
4,Concurrencia y paralelismo con Python para seres humanos - Santiago Basulto - PyCon Latam 2019,https://www.youtube.com/watch?v=xbNrROaPYFY,xbNrROaPYFY,PyCon Latam,@pyconlatam3804,https://www.youtube.com/@pyconlatam3804,20191010,2133,5065,170,8.0,,Education,"Aprende cómo (y cuándo) usar multithreading y multiprocessing en Python de manera efectiva, tratando de evitar los errores más comunes. Una breve reseña sobre concurrencia en general y los módulos más comunes: concurrent.futures, multiprocessing, subprocess y threading.

[Al inicio de la platica hubo un problema con la presentación, la presentación se muestra cercas del minuto 19, como referencia pueden usar la siguiente liga con la presentación.]

Presentación: https://drive.google.com/open?id=1sXyxvqqCHDItikU4G_NKYkJmXhnsaPQxw0ibjMOuVzw

Por Santiago Basulto.

#PyConLatam19",https://i.ytimg.com/vi_webp/xbNrROaPYFY/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=xbNrROaPYFY,https://www.youtube.com/watch?v=xbNrROaPYFY
5,Modern development environments for Pythonistas - Dustin Ingram - PyCon Latam 2019,https://www.youtube.com/watch?v=QECiSSpWVrI,QECiSSpWVrI,PyCon Latam,@pyconlatam3804,https://www.youtube.com/@pyconlatam3804,20191010,2050,152,3,,,Education,"In this talk, we'll take a look at common patterns to improve the local development environment for your Python package, enabling your new developers to get up and running fast, current developers to write code and iterate faster, and to improve portability between developers and their platforms.

By Dustin Ingram

#PyConLatam19

[There were some issues at obtaining the screen with the slides until around minute 17]",https://i.ytimg.com/vi_webp/QECiSSpWVrI/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=QECiSSpWVrI,https://www.youtube.com/watch?v=QECiSSpWVrI
6,En verdad es más fácil pedir perdón que permiso - Naomi Ceder - PyCon Latam 2019,https://www.youtube.com/watch?v=zm3fuQ9Fs-Q,zm3fuQ9Fs-Q,PyCon Latam,@pyconlatam3804,https://www.youtube.com/@pyconlatam3804,20191010,2164,346,16,,,Education,"Python usa excepciones más que otros lenguajes porque ""es más fácil pedir perdón que permiso"". Veremos cómo y por qué la manera Pythonico de funcionar no es rara, imprudente o ineficiente, sino una parte integral de Python, que hace código más expresivo, más flexible y sí más Pythonico y eficiente.

Presentación: https://drive.google.com/open?id=0B3l2l0NwpPugTXNUTkt2NGlzVDJSZWc2Z0xPTXJ1U1lBNEs0

Por Naomi Ceder.

#PyConLatam19",https://i.ytimg.com/vi_webp/zm3fuQ9Fs-Q/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=zm3fuQ9Fs-Q,https://www.youtube.com/watch?v=zm3fuQ9Fs-Q
7,Does remote work really work? - Lauren Hayward Schaefer - PyCon Latam 2019,https://www.youtube.com/watch?v=aujwBKvrC0o,aujwBKvrC0o,PyCon Latam,@pyconlatam3804,https://www.youtube.com/@pyconlatam3804,20191010,2577,106,1,,,Education,"Spoiler alert: yes, remote work really does work! You'll walk away from this session knowing why remote work is awesome, empowered to convince your boss to let you work remotely, and armed with the tools you need to be a happy, successful remote employee.

Slides: https://drive.google.com/open?id=0B3l2l0NwpPugSmZVQ0FENS0wSE9TdDBobmtmdmx1XzlEQk53

By Lauren Hayward Schaefer.

#PyConLatam19",https://i.ytimg.com/vi_webp/aujwBKvrC0o/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=aujwBKvrC0o,https://www.youtube.com/watch?v=aujwBKvrC0o
8,Sopita de datos con espinacas (Web scraping) - Valery Calderón - PyCon Latam 2019,https://www.youtube.com/watch?v=3Ixp92IB3r4,3Ixp92IB3r4,PyCon Latam,@pyconlatam3804,https://www.youtube.com/@pyconlatam3804,20191010,2080,202,7,,,Education,"En esta charla explicaré las bases del web scraping, para luego profundizar concretamente en las buenas prácticas que deberíamos utilizar al hacer nuestros scripts de scraping, tomando en cuenta la eficiencia de nuestro script y tratando de afectar lo menos posible a nuestra fuente de información.

Presentación: https://drive.google.com/open?id=0B3l2l0NwpPugT19CZHJIdjM3T3RDcE1ESnBsZTNaNFFzSm5v

Por Valery Calderón.

#PyConLatam19",https://i.ytimg.com/vi_webp/3Ixp92IB3r4/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=3Ixp92IB3r4,https://www.youtube.com/watch?v=3Ixp92IB3r4
9,The Elephant and the Serpent: Using Mastodon with Python -  Philip James - PyCon Latam 2019,https://www.youtube.com/watch?v=JNuTP62aaCQ,JNuTP62aaCQ,PyCon Latam,@pyconlatam3804,https://www.youtube.com/@pyconlatam3804,20191010,1251,169,2,,,Education,"In this talk, we’ll learn what Mastodon is, how it works, how you can participate, and how you can interact with the community using Python. Along the way, we’ll learn about OAuth, APIs, and best practices for writing bots. Attendees will walk away with the knowledge of how to build a Mastodon bot.

By Philip James.

#PyConLatam19",https://i.ytimg.com/vi_webp/JNuTP62aaCQ/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=JNuTP62aaCQ,https://www.youtube.com/watch?v=JNuTP62aaCQ
10,Los riesgos de la herencia: por qué es preferible usar composición - Ariel Ortiz - PyCon Latam 2019,https://www.youtube.com/watch?v=qN1RXwy6k7w,qN1RXwy6k7w,PyCon Latam,@pyconlatam3804,https://www.youtube.com/@pyconlatam3804,20191010,2192,408,24,1.0,,Education,"La herencia es uno de los primeros conceptos que se nos presentan cuando aprendemos a programar orientado a objetos. Pero la herencia tiene algunas limitaciones importantes que muchos ignoramos. En esta plática veremos cómo la composición de objetos puede resultar a menudo en una mejor alternativa.

Presentación: https://drive.google.com/open?id=0B3l2l0NwpPugQkxEY2pUd05scTN6ck5rRjRpbFlVRXB3ZG93

Por Ariel Ortiz.

#PyConLatam19",https://i.ytimg.com/vi_webp/qN1RXwy6k7w/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=qN1RXwy6k7w,https://www.youtube.com/watch?v=qN1RXwy6k7w
