index,title,url,video_id,uploader,uploader_id,uploader_url,upload_date,duration,view_count,like_count,comment_count,tags,categories,description,thumbnail,age_limit,is_live,was_live,availability,webpage_url,original_url
1,PyCon Philippines 2024 - Opening Remarks (Day 1) by Zorex Salvo,https://www.youtube.com/watch?v=Cu9JIdlbnbc,Cu9JIdlbnbc,PythonPH,@PythonPH,https://www.youtube.com/@PythonPH,20240318,162,364,5,,,Nonprofits & Activism,"Welcome to the opening remarks of PyCon Philippines 2024, delivered by Zorex Salvo!

We invite you to join us in celebrating PyCon Philippines 2024 - where ""Gabay"" (guide) steers our collective journey of growth and relentless improvement.

#gabay #pyconph2024 #pyconph #pythonph

For more details about PyCon Philippines 2024, please visit: https://pycon-2024.python.ph/


About the Speaker:
Zorex Salvo is the Chairperson for PyCon PH 2024, Board of Trustee at PythonPH, and Software Engineer at TotalRewards Software",https://i.ytimg.com/vi/Cu9JIdlbnbc/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=Cu9JIdlbnbc,https://www.youtube.com/watch?v=Cu9JIdlbnbc
2,PyCon Philippines 2024 - Keynote 1: Simulating Disaster Relief...  by Reina Reyes and JC Peralta,https://www.youtube.com/watch?v=bljokMhUJzw,bljokMhUJzw,PythonPH,@PythonPH,https://www.youtube.com/@PythonPH,20240320,4314,214,2,,,Nonprofits & Activism,"Keynote 1: Simulating Disaster Relief Distribution and Transport Network Efficiency During Typhoons by Reina Reyes

In this talk, the speakers presented a data-driven simulation and analysis of relief delivery efficiency in the Visayas transport network during Typhoon Haiyan and showcase an open-source decision support tool, developed using Python, which can simulate different typhoon paths and new food hub locations. 

It's is their hope that policymakers will harness the potential from this data-driven tool for informed decision-making, strategic cost-benefit analysis for infrastructure investments, and effective data-driven transportation planning to enhance resilience in the face of future disasters. 

About the Speakers:
Reina Reyes is a Associate Professor at National Institute of Physics in UP Diliman, and Consultant at Z-Lift Solutions and WeSolve Foundation

JC Peralta is a Data Scientist, Geospatial Machine Learning Consultant, and a Climate Scientist

--

We invite you to join us in celebrating PyCon Philippines 2024 - where ""Gabay"" (guide) steers our collective journey of growth and relentless improvement.

#gabay #pyconph2024 #pyconph #pythonph

For more details about PyCon Philippines 2024, please visit: https://pycon-2024.python.ph/",https://i.ytimg.com/vi/bljokMhUJzw/hqdefault.jpg?sqp=-oaymwEmCOADEOgC8quKqQMa8AEB-AH-CYAC0AWKAgwIABABGCAgNSh_MA8=&rs=AOn4CLB4pd-anqrscUO2j_x3I97NkR0PHw,0,False,False,public,https://www.youtube.com/watch?v=bljokMhUJzw,https://www.youtube.com/watch?v=bljokMhUJzw
3,PyCon Philippines 2024 - Keynote 2: The State of Python in 2024 by Michael Kennedy,https://www.youtube.com/watch?v=coz1CGRxjQ0,coz1CGRxjQ0,PythonPH,@PythonPH,https://www.youtube.com/@PythonPH,20240318,3653,2842,66,3.0,,Nonprofits & Activism,"The State of Python in 2024

In this talk, Michael Kennedy gave a look at the current-day broader Python ecosystem. Explored questions such as: What are the important trends to keep an eye one? How have the traditionally popular frameworks such as Flask and Django adapted to some of the latest modern Python trends (e.g. async/await). What new frameworks and libraries are (about to) take the Python scene by storm? How is Python getting faster, dropping or sidestepping the GIL, and more? Why Python web frameworks are better choices than ever.

About the Speaker:
Michael Kennedy is the founder of Talk Python Training, host of the Talk Python To Me podcast, Python Software Foundation Fellow, and an entrepreneur.

---

We invite you to join us in celebrating PyCon Philippines 2024 - where ""Gabay"" (guide) steers our collective journey of growth and relentless improvement.

#gabay #pyconph2024 #pyconph #pythonph

For more details about PyCon Philippines 2024, please visit: https://pycon-2024.python.ph/",https://i.ytimg.com/vi/coz1CGRxjQ0/hqdefault.jpg?sqp=-oaymwEmCOADEOgC8quKqQMa8AEB-AH-CYAC0AWKAgwIABABGCAgNSh_MA8=&rs=AOn4CLCxpEtbA3qWGELXLs9OVPCZwcNYUQ,0,False,False,public,https://www.youtube.com/watch?v=coz1CGRxjQ0,https://www.youtube.com/watch?v=coz1CGRxjQ0
4,PyCon Philippines 2024 - How BillEase balances Python microservice by Alec Gerona,https://www.youtube.com/watch?v=T9oTqXxHA60,T9oTqXxHA60,PythonPH,@PythonPH,https://www.youtube.com/@PythonPH,20240319,2883,217,5,,,Nonprofits & Activism,"Developer Experience: How BillEase balances speed, quality, and usability of Python microservices by Alec Gerona

We invite you to join us in celebrating PyCon Philippines 2024 - where ""Gabay"" (guide) steers our collective journey of growth and relentless improvement.

#gabay #pyconph2024 #pyconph #pythonph

For more details about PyCon Philippines 2024, please visit: https://pycon-2024.python.ph/


About the Speaker:
Alec Gerona is a VP of Engineering at BillEase",https://i.ytimg.com/vi/T9oTqXxHA60/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=T9oTqXxHA60,https://www.youtube.com/watch?v=T9oTqXxHA60
5,PyCon Philippines 2024 - Addressing Industry Challenges through Community Collaboration,https://www.youtube.com/watch?v=goAK_mLYHik,goAK_mLYHik,PythonPH,@PythonPH,https://www.youtube.com/@PythonPH,20240319,3502,101,2,,,Nonprofits & Activism,"Title: [Panel Discussion] Python in APAC: Addressing Industry Challenges through Community Collaboration

In PyCon PH 2024, we hosted a compelling panel discussion with PyCon organizers and leading industry figures. This session aimed to spotlight the dynamic relationship between the Python community and the industry across the Asia-Pacific. Through engaging discussions, our panelists examined and highlighted the impact of Python-driven initiatives on industry progress and the ways future collaborations could be developed for mutual benefit.

Moderator: Ivy Fung, PyCon MY

Panelists:
- APAC PyCon Organizers: Discussing community trends, challenges, and Python’s impact. Featuring Ciara Bautista (PyLadies Manila), Matt Lebrun (PythonPH), and Iqbal Abdullah (PyCon JP).
Industry Voices:

- Insights from the field with Jasper Sibayan (Engineering Manager, BillEase) and Jan Aaron Angelo Lee (CTO, Swarm).

We invite you to join us in celebrating PyCon Philippines 2024 - where ""Gabay"" (guide) steers our collective journey of growth and relentless improvement.

#gabay #pyconph2024 #pyconph #pythonph

For more details about PyCon Philippines 2024, please visit: https://pycon-2024.python.ph/",https://i.ytimg.com/vi/goAK_mLYHik/hqdefault.jpg?sqp=-oaymwEmCOADEOgC8quKqQMa8AEB-AH-CYAC0AWKAgwIABABGCAgNSh_MA8=&rs=AOn4CLCs-0NT6JKNChECRbamloJjAEWkUw,0,False,False,public,https://www.youtube.com/watch?v=goAK_mLYHik,https://www.youtube.com/watch?v=goAK_mLYHik
6,PyCon Philippines 2024 - How Python and AI Propel the Philippine Space Agency by Lois Anne Leal,https://www.youtube.com/watch?v=92BsXPxmFu0,92BsXPxmFu0,PythonPH,@PythonPH,https://www.youtube.com/@PythonPH,20240318,1570,227,6,,,Nonprofits & Activism,"We invite you to join us in celebrating PyCon Philippines 2024 - where ""Gabay"" (guide) steers our collective journey of growth and relentless improvement.

#gabay #pyconph2024 #pyconph #pythonph

For more details about PyCon Philippines 2024, please visit: https://pycon-2024.python.ph/


About the Speaker:
Lois Anne Leal works on Data Science and Artificial Intelligence research, development, and innovation at the Philippine Space Agency",https://i.ytimg.com/vi/92BsXPxmFu0/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=92BsXPxmFu0,https://www.youtube.com/watch?v=92BsXPxmFu0
7,PyCon Philippines 2024 - Exploring Python for Decentralized Apps... by Marc Jerome Tulali,https://www.youtube.com/watch?v=LFCzPCxruso,LFCzPCxruso,PythonPH,@PythonPH,https://www.youtube.com/@PythonPH,20240318,1542,97,1,,,Nonprofits & Activism,"Exploring Python for Decentralized Apps: An Introduction to Blockchain and DApp Development by Marc Jerome Tulali

We invite you to join us in celebrating PyCon Philippines 2024 - where ""Gabay"" (guide) steers our collective journey of growth and relentless improvement.

#gabay #pyconph2024 #pyconph #pythonph

For more details about PyCon Philippines 2024, please visit: https://pycon-2024.python.ph/


About the Speaker:
Marc Jerome Tulali is a Science Research Specialist at the Department of Science & Technology - Advanced Science and Technology Institute and Mentor at The Block",https://i.ytimg.com/vi/LFCzPCxruso/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=LFCzPCxruso,https://www.youtube.com/watch?v=LFCzPCxruso
8,PyCon Philippines 2024 - Hacking with Words... by Aniruddha Adhikary,https://www.youtube.com/watch?v=8ApgCLYY9BQ,8ApgCLYY9BQ,PythonPH,@PythonPH,https://www.youtube.com/@PythonPH,20240318,1854,90,1,,,Nonprofits & Activism,"Hacking with Words: Exploiting Vulnerabilities in LLMs by Aniruddha Adhikary

We invite you to join us in celebrating PyCon Philippines 2024 - where ""Gabay"" (guide) steers our collective journey of growth and relentless improvement.

#gabay #pyconph2024 #pyconph #pythonph

For more details about PyCon Philippines 2024, please visit: https://pycon-2024.python.ph/


About the Speaker:
Aniruddha Adhikary is a Software Engineer at GovTech Singapore",https://i.ytimg.com/vi/8ApgCLYY9BQ/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=8ApgCLYY9BQ,https://www.youtube.com/watch?v=8ApgCLYY9BQ
9,PyCon Philippines 2024 - Prediction Malnutrition with AI by Fidel Ivan Racines,https://www.youtube.com/watch?v=cza7wSlHICg,cza7wSlHICg,PythonPH,@PythonPH,https://www.youtube.com/@PythonPH,20240318,2170,131,0,,,Nonprofits & Activism,"We invite you to join us in celebrating PyCon Philippines 2024 - where ""Gabay"" (guide) steers our collective journey of growth and relentless improvement.

#gabay #pyconph2024 #pyconph #pythonph

For more details about PyCon Philippines 2024, please visit: https://pycon-2024.python.ph/


About the Speaker:
Fidel Ivan Racines is an AI Specialist at DOST FNRI",https://i.ytimg.com/vi/cza7wSlHICg/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=cza7wSlHICg,https://www.youtube.com/watch?v=cza7wSlHICg
10,PyCon Philippines 2024 - Rapid Prototyping in AI Project using Colab and Streamlit by Mona Obedoza,https://www.youtube.com/watch?v=kY_sAbmVRzs,kY_sAbmVRzs,PythonPH,@PythonPH,https://www.youtube.com/@PythonPH,20240318,1090,234,4,,,Nonprofits & Activism,"We invite you to join us in celebrating PyCon Philippines 2024 - where ""Gabay"" (guide) steers our collective journey of growth and relentless improvement.

#gabay #pyconph2024 #pyconph #pythonph

For more details about PyCon Philippines 2024, please visit: https://pycon-2024.python.ph/


About the Speaker:
Mona Obedoza is a Student Ambassador for Women in AI PH, Co-leader of Girls Can Code club, and the Founder of The Purposeful Mochii",https://i.ytimg.com/vi_webp/kY_sAbmVRzs/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=kY_sAbmVRzs,https://www.youtube.com/watch?v=kY_sAbmVRzs
