index,title,url,video_id,uploader,uploader_id,uploader_url,upload_date,duration,view_count,like_count,comment_count,tags,categories,description,thumbnail,age_limit,is_live,was_live,availability,webpage_url,original_url
1,PyCon PT 24 | Better logging in Python,https://www.youtube.com/watch?v=yh2Pggdk4gU,yh2Pggdk4gU,PyCon Portugal,@pyconportugal,https://www.youtube.com/@pyconportugal,20241112,2546,283,5,,,Science & Technology,"You probably know, from experience, that catching the bug is 90% of the work of solving it. But how much thought and effort has gone into your application's logging structure? In this talk, we'll go over Python's stdlib logging library (and possible alternatives), how to configure it, good logging practices (also from a structural/code quality point of view), and finally we'll consider in which cases and for what reasons you'll want to use external service integrations.

https://pretalx.evolutio.pt/pycon-portugal-2024/talk/RLD7QT/",https://i.ytimg.com/vi/yh2Pggdk4gU/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=yh2Pggdk4gU,https://www.youtube.com/watch?v=yh2Pggdk4gU
2,PyCon PT 24 | WORKSHOP: Let's Dive into Web Scraping with Python!,https://www.youtube.com/watch?v=5754lhuAAPc,5754lhuAAPc,PyCon Portugal,@pyconportugal,https://www.youtube.com/@pyconportugal,20241110,5001,70,1,,,Science & Technology,"Dive into web scraping with Python at PyCon Portugal 2024! Join me for a hands-on workshop where we'll cover everything from basic techniques to advanced strategies. Let's unlock the secrets of the web together!

https://pretalx.evolutio.pt/pycon-portugal-2024/talk/X97LFD/",https://i.ytimg.com/vi/5754lhuAAPc/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=5754lhuAAPc,https://www.youtube.com/watch?v=5754lhuAAPc
3,PyCon PT 24 | Lightning Talks,https://www.youtube.com/watch?v=l7T71ORvj90,l7T71ORvj90,PyCon Portugal,@pyconportugal,https://www.youtube.com/@pyconportugal,20241110,2830,82,2,,,Science & Technology,Lightning talks from October 18th,https://i.ytimg.com/vi/l7T71ORvj90/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=l7T71ORvj90,https://www.youtube.com/watch?v=l7T71ORvj90
4,PyCon PT 24 | Closing Session,https://www.youtube.com/watch?v=mSgNVkoeVCo,mSgNVkoeVCo,PyCon Portugal,@pyconportugal,https://www.youtube.com/@pyconportugal,20241110,266,16,0,,,Science & Technology,,https://i.ytimg.com/vi/mSgNVkoeVCo/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=mSgNVkoeVCo,https://www.youtube.com/watch?v=mSgNVkoeVCo
5,"PyCon PT 24 | Django, SQLite, and Production",https://www.youtube.com/watch?v=X42YpvfICes,X42YpvfICes,PyCon Portugal,@pyconportugal,https://www.youtube.com/@pyconportugal,20241110,1841,60,0,,,Science & Technology,"SQLite is a capable database that can run production Django apps efficiently under the right conditions. In this talk, we will explore the strengths and weaknesses of SQLite to understand if it's a good fit for your production workload.

https://pretalx.evolutio.pt/pycon-portugal-2024/talk/XTB8FH/",https://i.ytimg.com/vi/X42YpvfICes/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=X42YpvfICes,https://www.youtube.com/watch?v=X42YpvfICes
6,PyCon PT 24 | 503 days working full-time on FOSS: lessons learned,https://www.youtube.com/watch?v=qhbevxCl124,qhbevxCl124,PyCon Portugal,@pyconportugal,https://www.youtube.com/@pyconportugal,20241110,1938,16,1,,,Science & Technology,"I worked full-time on a Python FOSS project for 503 days, so what did I learn?

In this talk I will share some of the lessons I learned over the course of these 503 days:

how to get a tech job in this day & age
how to put your ego aside when working with others (who know more than you!) and how to deal with mistakes
how to interact with users & contributors online
how it feels to collaborate to a large code base

https://pretalx.evolutio.pt/pycon-portugal-2024/talk/BQ9WJG/",https://i.ytimg.com/vi/qhbevxCl124/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=qhbevxCl124,https://www.youtube.com/watch?v=qhbevxCl124
7,PyCon pT 24 | Pythonic Laziness: Unleashing the Power of Generators for Efficient Computing,https://www.youtube.com/watch?v=8_BFmwv5nJc,8_BFmwv5nJc,PyCon Portugal,@pyconportugal,https://www.youtube.com/@pyconportugal,20241110,1734,40,1,,,Science & Technology,"Dive into the world of Lazy Evaluation with Python generators! 🚀 Uncover the efficiency secrets, learn practical implementations, and revolutionize your coding approach. Join me in exploring the power of optimization and enhanced performance. Ready to elevate your Python game?

https://pretalx.evolutio.pt/pycon-portugal-2024/talk/9ZVUGH/",https://i.ytimg.com/vi/8_BFmwv5nJc/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=8_BFmwv5nJc,https://www.youtube.com/watch?v=8_BFmwv5nJc
8,PyCon PT 24 | Next-Gen Apps: Enhancing User Experience with Large Language Models,https://www.youtube.com/watch?v=u6glzJw34Kw,u6glzJw34Kw,PyCon Portugal,@pyconportugal,https://www.youtube.com/@pyconportugal,20241110,1997,140,0,,,Science & Technology,"Over the last year, there has been a lot of focus on making applications intelligent using the power of AI with the help of large language models (LLMs). This talk covers how to add intelligence to existing applications with an overview of different techniques starting from prompt engineering, using vector stores to improve the results, and building intelligent agents to figure out how to solve a problem.

This talk will showcase the techniques with demos using open-source frameworks to build LLM-powered applications like LangChain & LlamaIndex.

The talk also covers some practical considerations to consider while deploying these applications to production.

https://pretalx.evolutio.pt/pycon-portugal-2024/talk/APWHHR/",https://i.ytimg.com/vi/u6glzJw34Kw/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=u6glzJw34Kw,https://www.youtube.com/watch?v=u6glzJw34Kw
9,PyCon PT 24 | Are We Typed Yet? The Evolution of Gradual Typing and Mypy,https://www.youtube.com/watch?v=TW17cv1o7kw,TW17cv1o7kw,PyCon Portugal,@pyconportugal,https://www.youtube.com/@pyconportugal,20241110,1784,97,2,,,Science & Technology,"Type Hints were introduced in 2014 by PEP484, marking its 10th anniversary in 2024. Mypy reached 1.0 in 2023. How much has changed since then? How has the Python code we write today evolved? With strictly typed code and runtime checks becoming more common, is statically typed code still the exception rather than the norm? How much longer will it stay this way?

https://pretalx.evolutio.pt/pycon-portugal-2024/talk/K7SXHE/",https://i.ytimg.com/vi/TW17cv1o7kw/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=TW17cv1o7kw,https://www.youtube.com/watch?v=TW17cv1o7kw
10,PyCon PT 24 | Comparing Time Series Forecasting Models: A Clustering Analysis Approach with Python,https://www.youtube.com/watch?v=7BMuD8mESQA,7BMuD8mESQA,PyCon Portugal,@pyconportugal,https://www.youtube.com/@pyconportugal,20241110,1513,55,1,,,Science & Technology,"Time series analysis is vital for trends and forecasting in finance and healthcare. This talk explores ARIMA models for clustering disease data in 48 European countries, using Python libraries like pmdarima and TimeSeriesSplit. We’ll examine how distance measures like Piccolo, Maharaj, and LPC reveal health disparities, showcasing how Python enhances public health surveillance and interventions.

https://pretalx.evolutio.pt/pycon-portugal-2024/talk/TRKAC9/",https://i.ytimg.com/vi/7BMuD8mESQA/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=7BMuD8mESQA,https://www.youtube.com/watch?v=7BMuD8mESQA
