index,title,url,video_id,uploader,uploader_id,uploader_url,upload_date,duration,view_count,like_count,comment_count,tags,categories,description,thumbnail,age_limit,is_live,was_live,availability,webpage_url,original_url
1,"Виталий Давыдов, POTEHA DEVELOPERS «Serverless + Python на примере AWS Lambda»",https://www.youtube.com/watch?v=jKuOQoVHKmQ,jKuOQoVHKmQ,Видео с мероприятий {speach!,@videospeach,https://www.youtube.com/@videospeach,20180803,2430,4288,41,3.0,,Education,Выступление на PyCon Russia 2018,https://i.ytimg.com/vi/jKuOQoVHKmQ/hqdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=jKuOQoVHKmQ,https://www.youtube.com/watch?v=jKuOQoVHKmQ
2,"Марина Камалова, Яндекс  «Архитектура чат-бота»",https://www.youtube.com/watch?v=SQgyo90k_jg,SQgyo90k_jg,Видео с мероприятий {speach!,@videospeach,https://www.youtube.com/@videospeach,20180803,2330,4480,106,2.0,,Education,"Выступление на PyCon Russia 2018
http://pycon.ru/2018/",https://i.ytimg.com/vi_webp/SQgyo90k_jg/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=SQgyo90k_jg,https://www.youtube.com/watch?v=SQgyo90k_jg
3,"Сергей Карпович, Вадим Березкин, mos.ru  «Как сделать удобную для пользователей поисковую систему»",https://www.youtube.com/watch?v=Edelnw2kPhA,Edelnw2kPhA,Видео с мероприятий {speach!,@videospeach,https://www.youtube.com/@videospeach,20180804,2360,787,16,,,Education,"Выступление на конференции PYCON RUSSIA 2018
http://pycon.ru/2018/",https://i.ytimg.com/vi_webp/Edelnw2kPhA/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=Edelnw2kPhA,https://www.youtube.com/watch?v=Edelnw2kPhA
4,"Alejandro Saucedo, Eigen Technologies  «Industrial Data Pipelines with Python and Airflow»",https://www.youtube.com/watch?v=4HvctU0UHGg,4HvctU0UHGg,Видео с мероприятий {speach!,@videospeach,https://www.youtube.com/@videospeach,20180804,2671,823,11,,,Education,"Выступление на PYCON RUSSIA 2018
http://pycon.ru/2018/",https://i.ytimg.com/vi/4HvctU0UHGg/hqdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=4HvctU0UHGg,https://www.youtube.com/watch?v=4HvctU0UHGg
5,"Денис Катаев, Tinkoff.ru  «SQLAlchemy: Python vs Raw SQL»",https://www.youtube.com/watch?v=jUGK-CtM-Mk,jUGK-CtM-Mk,Видео с мероприятий {speach!,@videospeach,https://www.youtube.com/@videospeach,20180804,2036,15671,457,15.0,,Education,"Выступление на PYCON RUSSIA 2018
http://pycon.ru/2018/",https://i.ytimg.com/vi_webp/jUGK-CtM-Mk/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=jUGK-CtM-Mk,https://www.youtube.com/watch?v=jUGK-CtM-Mk
6,"Елена Никитина, Система  «Сделано на коленке: как из парсера получился полноценный проект»",https://www.youtube.com/watch?v=HoZntJ4HQTk,HoZntJ4HQTk,Видео с мероприятий {speach!,@videospeach,https://www.youtube.com/@videospeach,20180804,1729,2531,78,,,Education,"Выступление на PyCon Russia 2018
http://pycon.ru/2018/",https://i.ytimg.com/vi_webp/HoZntJ4HQTk/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=HoZntJ4HQTk,https://www.youtube.com/watch?v=HoZntJ4HQTk
7,"Максим Мазаев, ЦИАН  «Как поддерживать согласованность API в микросервисной архитектуре»",https://www.youtube.com/watch?v=ANDGRmKKEG0,ANDGRmKKEG0,Видео с мероприятий {speach!,@videospeach,https://www.youtube.com/@videospeach,20180804,2082,2267,50,,,Education,"Выступление на PyCon Russia 2018
http://pycon.ru/2018/",https://i.ytimg.com/vi_webp/ANDGRmKKEG0/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=ANDGRmKKEG0,https://www.youtube.com/watch?v=ANDGRmKKEG0
8,"Евгений Слезко, Marilyn  «Переход на SOA в существующем Python-проекте. Тяжеловато или ничего?»",https://www.youtube.com/watch?v=kB1tfn9c7Jg,kB1tfn9c7Jg,Видео с мероприятий {speach!,@videospeach,https://www.youtube.com/@videospeach,20180805,2346,938,26,1.0,,Education,"Выступление на PyCon Russia 2018
http://pycon.ru/2018/",https://i.ytimg.com/vi_webp/kB1tfn9c7Jg/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=kB1tfn9c7Jg,https://www.youtube.com/watch?v=kB1tfn9c7Jg
9,"Melanie Warrick, Google  «Reinforcement»",https://www.youtube.com/watch?v=pggEazy1dh0,pggEazy1dh0,Видео с мероприятий {speach!,@videospeach,https://www.youtube.com/@videospeach,20180808,2922,360,7,,,Education,"Выступление на конференции PYCON RUSSIA 2018
http://pycon.ru/2018/",https://i.ytimg.com/vi_webp/pggEazy1dh0/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=pggEazy1dh0,https://www.youtube.com/watch?v=pggEazy1dh0
10,Конференция PyCon Russia 2018,https://www.youtube.com/watch?v=GpNBFhGbAwg,GpNBFhGbAwg,Видео с мероприятий {speach!,@videospeach,https://www.youtube.com/@videospeach,20180808,303,1920,21,,,Education,"22-23 июля, отель «Яхонты-Таруса (95 км. от Москвы)
http://pycon.ru/",https://i.ytimg.com/vi_webp/GpNBFhGbAwg/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=GpNBFhGbAwg,https://www.youtube.com/watch?v=GpNBFhGbAwg
