index,title,url,video_id,uploader,uploader_id,uploader_url,upload_date,duration,view_count,like_count,comment_count,tags,categories,description,thumbnail,age_limit,is_live,was_live,availability,webpage_url,original_url
1,Павел Плюснин. Генерация данных для квантования нейронных сетей: Data-Free Quantization,https://www.youtube.com/watch?v=BPJ2BaPifwc,BPJ2BaPifwc,Видео с мероприятий {speach!,@videospeach,https://www.youtube.com/@videospeach,20231120,2641,1024,19,,,People & Blogs,"Ждем вас на наших конференциях: 
2 февраля 2024 - EkbPy
26-27 июля 2024 - PyCon

Павел Плюснин
Старший инженер, Huawei

Генерация данных для квантования нейронных сетей: Data-Free Quantization

Иногда требуется получить данные, характерные для имеющейся нейронной сети. Такие данные нужны, например, при квантовании модели – т.е подборе новых целочисленных весов среди ограниченного количества дискретных значений. Для квантования полезно иметь исходную обучающую выборку, чтобы дообучить модель или хотя бы оценить характерный масштаб активаций в слоях. Однако доступа к обучающей выборке может и не быть. Тогда требуется по самой нейронной сети получить данные того же домена.

В докладе обсудим современные подходы к Data-Free Quantization: разберемся, как дистиллировать обучающие сэмплы из batch-norm статистик, как построить генератор данных, подойдут ли open-source данные из другого домена и можно ли вообще обойтись без данных при квантовании.

Доклад рассчитан на data-science специалистов, знакомых с нейросетями, но не знакомых с их квантованием, интересующихся узнать новое для себя направление.",https://i.ytimg.com/vi/BPJ2BaPifwc/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=BPJ2BaPifwc,https://www.youtube.com/watch?v=BPJ2BaPifwc
2,Артур Сапрыкин. Декомпозиция данных в анализе временных рядов,https://www.youtube.com/watch?v=fow6n-OO2_0,fow6n-OO2_0,Видео с мероприятий {speach!,@videospeach,https://www.youtube.com/@videospeach,20231120,1831,347,9,,,People & Blogs,"Ждем вас на наших конференциях: 
2 февраля 2024 - EkbPy
26-27 июля 2024 - PyCon

Артур Сапрыкин
Индивидуальный предприниматель

Декомпозиция данных в анализе временных рядов

Рассмотрим подход, который позволит разложить временной ряд на множество компонентов, из которых он состоит.

На доклада вы узнаете:
По каким принципам работает сингулярно-спектральный анализ (SSA)
Почему SSA, а не разложение Фурье
Какие преимущества мы можем получить, прогнозируя не весь ряд, а отдельные его компоненты
Затем вы увидите результат разложения временного ряда на практике.",https://i.ytimg.com/vi/fow6n-OO2_0/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=fow6n-OO2_0,https://www.youtube.com/watch?v=fow6n-OO2_0
3,Александр Никулин. Первая open-source библиотека для Offline RL исследователей,https://www.youtube.com/watch?v=XmtGydcTThc,XmtGydcTThc,Видео с мероприятий {speach!,@videospeach,https://www.youtube.com/@videospeach,20231120,2886,229,2,,,People & Blogs,"Ждем вас на наших конференциях: 
2 февраля 2024 - EkbPy
26-27 июля 2024 - PyCon

Александр Никулин
Младший исследователь-программист, Тинькофф

Первая open-source библиотека для Offline RL исследователей

Хотели понять, как устроены популярные Offline RL алгоритмы, но не смогли найти понятных и доступных имплементаций, с которыми легко экспериментировать? Мы тоже! Поэтому в Tinkoff AI решили написать свою собственную open-source библиотеку CORL со всеми популярными Offline RL алгоритмами в доступной форме — на каждый алгоритм по одному файлу и с минимумом зависимостей.

В докладе расскажу подробнее о том, почему решили писать своё с нуля, что из этого вышло и как это повлияло на наши новые исследования в Offline RL.

Доклад рассчитан на тех, кому интересен Offline RL, кому интересно узнать об опыте open-source проектов и о том, как устроен процесс исследований в Tinkoff AI. Слушатели поймут, чем исследования в RL отличаются от применения на практике и почему для этого могут потребоваться библиотеки с разной философией.",https://i.ytimg.com/vi/XmtGydcTThc/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=XmtGydcTThc,https://www.youtube.com/watch?v=XmtGydcTThc
4,Павел Горшенин. Поиск по научным текстам: эластик и вектора. Как ходить по граблям и не оступиться?,https://www.youtube.com/watch?v=u3D4kbNESlM,u3D4kbNESlM,Видео с мероприятий {speach!,@videospeach,https://www.youtube.com/@videospeach,20231120,2470,326,6,,,People & Blogs,"Ждем вас на наших конференциях: 
2 февраля 2024 - EkbPy
26-27 июля 2024 - PyCon

Павел Горшенин
TechLead, ВШЭ, ИСИЭЗ, iFora

Поиск по научным текстам: эластик и вектора.
Как ходить по граблям и не оступиться?

Доклад будет посвящен опыту создания и поддержания системы, ядром которой является поиск по документам. Из него вы узнаете, как построить инфраструктуру, которая работает, даже когда не нужно. Какие подходы для поиска мы использовали. Какие при этом возникали проблемы и решения. Плюсы и минусы этих подходов с точки зрения производительности системы, трудозатрат, инерции инфраструктуры, локальных метрик качества и бизнес-логики.

В докладе вы не услышите, как натренировать крутую модель. Также это не будет доклад principal engineer — вы не узнаете, как обучить Эластик гулять с вашей собакой.

Доклад будет интересен тем, кто так или иначе был связан с анализом научных текстов.",https://i.ytimg.com/vi/u3D4kbNESlM/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=u3D4kbNESlM,https://www.youtube.com/watch?v=u3D4kbNESlM
5,Николай Безносов. ML платформа на Open Source: от Data Governance до MLOps,https://www.youtube.com/watch?v=5_frcWOD7JU,5_frcWOD7JU,Видео с мероприятий {speach!,@videospeach,https://www.youtube.com/@videospeach,20231120,2763,425,26,1.0,,People & Blogs,"Ждем вас на наших конференциях: 
2 февраля 2024 - EkbPy
26-27 июля 2024 - PyCon

Николай Безносов
Head of Data Science, Билайн

ML платформа на Open Source: от Data Governance до MLOps

В последнее время всё больше компаний стремится децентрализовать не только процессы создания ML-продуктов, но и управления данными, передав существенную часть полномочий и ответственности в руки самих команд. Чтобы децентрализация была эффективной, нужно ответить на множество вопросов:
Как добиться того, чтобы новые команды не изобретали с нуля свой велосипед?
Как стимулировать процессы накопления и переиспользования опыта?
Как сохранить высокую скорость и стандарты разработки?
И так далее. В таких условиях ключевую роль начинает играть платформа для создания ML-решений как единое окно входа для команд.

Билайн живёт в условиях Agile и Data Mesh уже несколько лет. За это время внутреннее Data Science направление выросло практически с нуля до более чем 15 DS команд.

В докладе я расскажу, как на базе Open Source технологий нам удалось построить платформу для управления жизненным циклом машинного обучения, с помощью которой любая команда и любой дата сайнтист может самостоятельно провести полный цикл ML-разработки — от поиска данных до вывода модели в production.

Слушатель узнает, какие инструменты и подходы выбрали мы и почему. Как мы связали их в единый прозрачный MLOps-процесс, адаптировав при этом под большое число команд и требования корпоративной безопасности.

Поговорим о том, как ускорить поиск данных и моделей, когда в компании более 100 тысяч таблиц и 100 моделей. Как обеспечить не только воспроизводимость и автоматизацию экспериментов, но и непрерывность процессов мониторинга и дообучения ML-моделей. А также, как можно прививать командам лучшие практики разработки.",https://i.ytimg.com/vi/5_frcWOD7JU/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=5_frcWOD7JU,https://www.youtube.com/watch?v=5_frcWOD7JU
6,Максим Афанасьев. Впихиваем невпихуемое: хостим несколько ML-сервисов на одной GPU,https://www.youtube.com/watch?v=wxLi6KHl0Ic,wxLi6KHl0Ic,Видео с мероприятий {speach!,@videospeach,https://www.youtube.com/@videospeach,20231120,2670,246,5,,,People & Blogs,"Ждем вас на наших конференциях: 
2 февраля 2024 - EkbPy
26-27 июля 2024 - PyCon

Максим Афанасьев
Data Scientist, Точка

Впихиваем невпихуемое:
хостим несколько ML-сервисов на одной GPU

Порой в компании набирается некоторое количество сервисов с МЛ-моделями, которые по нагрузке еще не доросли до момента, когда под них нужна отдельная vGPU/GPU. Хочется их поселить на какой-нибудь ноде с одной видеокартой. Тогда приходится решать проблему конкурирования сервисов за ресурсы видеокарты, в особенности за видеопамять.

В рамках доклада расскажу, как мы в Точке побороли эту проблему, зачем и как пришлось для этого патчить onnxruntime.

Слушатель узнает о том, какие есть способы захостить на одной видеокарте несколько сервисов с машинкой, а также немного о том, как onnxruntime управляет памятью.",https://i.ytimg.com/vi/wxLi6KHl0Ic/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=wxLi6KHl0Ic,https://www.youtube.com/watch?v=wxLi6KHl0Ic
7,Денис Аникин. Лимитируй это,https://www.youtube.com/watch?v=yFXGFM7G3rg,yFXGFM7G3rg,Видео с мероприятий {speach!,@videospeach,https://www.youtube.com/@videospeach,20240328,2588,1331,53,3.0,,People & Blogs,"Ждем вас на наших конференциях: 
2 февраля 2024 - EkbPy
26-27 июля 2024 - PyCon

Денис Аникин
Team lead/Community lead, Райффайзен Банк

Лимитируй это

Однажды я провел день на колоссальном девятичасовом созвоне в попытке понять «а почему продакшн не работает?» и выводы, которые я вынес из этого дебага, я хочу принести вам в этом докладе.

Что же у нас за система? Мы делаем чат, это современная event-driven архитектура, все наши бэкенды — это rest-like части на fastapi и основная часть системы базируется на kafka продюсерах/консьюмерах. Весь наш код асинхронный, а баз две штуки — postgres и keydb.

Моя история будет о том:
как уронить keydb;
как kafka может уничтожить ваше асинхронное приложение;
как неправильно планировать ресурсы в кубер кластере;
как можно покалечиться всей системой, если у тебя кривая библиотека для работы с БД;
какие мониторинги делать обязательно;
что такое плохой healtcheck;
почему документация может быть очень коварной.
Будет стыдно, но, надеюсь, полезно!",https://i.ytimg.com/vi/yFXGFM7G3rg/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=yFXGFM7G3rg,https://www.youtube.com/watch?v=yFXGFM7G3rg
8,"Б.Алиев.Python Шредингера:когда ваш код и жив,и мертв,а весь мир с замиранием ожидает его выполнения",https://www.youtube.com/watch?v=8uP1yIHfA1U,8uP1yIHfA1U,Видео с мероприятий {speach!,@videospeach,https://www.youtube.com/@videospeach,20240328,2789,648,31,2.0,,People & Blogs,"Ждем вас на наших конференциях: 
2 февраля 2024 - EkbPy
26-27 июля 2024 - PyCon

Бейлак Алиев
Senior Software Developer, Райффайзен Банк

Python Шредингера: когда ваш код и жив, и мертв, а весь мир с замиранием ожидает его выполнения

В этом докладе речь пойдет о квантовых вычислениях. Что? Да. В коммерческой разработке, пожалуй, почти никто не говорит про квантовое программирование, хотя на самом деле там происходят интересные открытия, которые могут стать полезными в обозримом будущем. Например, вы знали, что уже сегодня можно писать квантовые программы на Python и запускать их на настоящем квантовом компьютере, не выходя из дома?

За 40 минут мы коротко и емко:
поговорим о том, чем квантовая разработка отличается от классической;
посмотрим, что происходит в разработке квантовых компьютеров сейчас и где они применяются;
и даже напишем пару простых примеров на Python в real-time и запустим программу на настоящем квантовом компьютере [если не облажаемся «квантовая удача» будет на нашей стороне].",https://i.ytimg.com/vi/8uP1yIHfA1U/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=8uP1yIHfA1U,https://www.youtube.com/watch?v=8uP1yIHfA1U
9,"Н. Матвеев. Прогнозирование нагрузки на базовые станции, или Как работать с временными рядами в 2023",https://www.youtube.com/watch?v=6oYnTnlnxKs,6oYnTnlnxKs,Видео с мероприятий {speach!,@videospeach,https://www.youtube.com/@videospeach,20240328,2067,242,6,,,People & Blogs,"Ждем вас на наших конференциях: 
2 февраля 2024 - EkbPy
26-27 июля 2024 - PyCon

Никита Матвеев
Аналитик больших данных, Мегафон

Прогнозирование нагрузки на базовые станции, или Как работать с временными рядами в 2023

Задача прогнозирования временных рядов очень хорошо известна, как и методы, которые чаще всего используются для ее решения.

В докладе на примере реальной задачи для телекоммуникационной инфраструктуры будет показано, куда можно пойти дальше, какие архитектуры нейронных сетей являются самыми эффективными сегодня и как их реализовать в вашем проекте. Также будут рассмотрены некоторые вопросы, касающиеся задачи прогнозирования временных рядов в целом: статистические тесты, разница в прогнозировании одномерных и многомерных временных рядов и т.д.

Доклад будет сопровождаться материалами с кодом, которые позволят сразу после просмотра запустить обучение понравившейся сетки.",https://i.ytimg.com/vi/6oYnTnlnxKs/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=6oYnTnlnxKs,https://www.youtube.com/watch?v=6oYnTnlnxKs
10,Андрей Литвинов. Serverless для деплоя ml/dl моделей (с gpu зависимостью),https://www.youtube.com/watch?v=UGCOIIPa4aM,UGCOIIPa4aM,Видео с мероприятий {speach!,@videospeach,https://www.youtube.com/@videospeach,20240328,2773,232,1,,,People & Blogs,"Ждем вас на наших конференциях: 
2 февраля 2024 - EkbPy
26-27 июля 2024 - PyCon

Андрей Литвинов
ML engineer, Rosebud AI

Serverless для деплоя ml/dl моделей (с gpu зависимостью)

Покажу, как можно запаковать ml/dl модельку в serverless за 20-30 минут (при условии, что код уже запускается на локалке) на примере http://modal.com (онлайн задачи) и gcp vertex jobs (оффлайн задачи).

Основной профит, который можно будет вынести с доклада — сакральные знания (нет), темплейт упаковки, док, как это паковать.

Ну и еще поговорим про:
текущую ситуацию на рынке serverless сервисов с поддержкой gpu — какие еще есть сервисы
плюсы и минусы serverless (священный холивар selfhosted vs serverless)
как съехать с них на другой serverless или на self-hosted
особенности/грабли/боль двух платформ выше",https://i.ytimg.com/vi/UGCOIIPa4aM/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=UGCOIIPa4aM,https://www.youtube.com/watch?v=UGCOIIPa4aM
