index,title,url,video_id,uploader,uploader_id,uploader_url,upload_date,duration,view_count,like_count,comment_count,tags,categories,description,thumbnail,age_limit,is_live,was_live,availability,webpage_url,original_url
1,Interviews (CC) - Pycon SK 2018,https://www.youtube.com/watch?v=XPUObYWxKxs,XPUObYWxKxs,PyCon SK,@pyconsk,https://www.youtube.com/@pyconsk,20180407,327,340,5,,"PyConSK,Conference,Python",Science & Technology,"Interviews with PyCon SK 2018 conference participants.

Richard Kellner - Conference Chair:
00:00 - What was the biggest challenge you had to face, while preparing the PyCon conference?
00:22 - Do you remember your first rendezvous with Python?
00:40 - What do you like the most about working with Python?
01:00 - Will you find motivation also to prepare the next year?
01:05 - What's your favourite programming language?
01:40 - What's your favourite animal?
02:04 - Would you like to say something to the organizers?
02:54 - Is this your first time on PyCon Slovakia?
03:11 - Can you see the improvement in comparison to previous years?
03:42 - Would you like to come also next year?
03:58 - Which presentation did you like the most?
04:35 - How did you like this conference?
EXTRA
04:52 - Which library do you use the most?
05:18 - How was the party yesterday?",https://i.ytimg.com/vi_webp/XPUObYWxKxs/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=XPUObYWxKxs,https://www.youtube.com/watch?v=XPUObYWxKxs
2,Conference opening (Friday) - Pycon SK 2018,https://www.youtube.com/watch?v=U9EZak0WtMo,U9EZak0WtMo,PyCon SK,@pyconsk,https://www.youtube.com/@pyconsk,20180504,880,89,0,,"PyCon SK,Python,Conference opening",Science & Technology,"Pycon SK 2018 conference opening on Friday

00:00 - Opening words, Richard Kellner
03:12 - Programming contest, Daniel Kontšek
05:16 - Opening words (cont'd), Richard Kellner
09:26 - Kistler
11:24 - Red Hat
12:02 - Eset
12:34 - Solargis
13:47 - Closing words, Richard Kellner",https://i.ytimg.com/vi_webp/U9EZak0WtMo/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=U9EZak0WtMo,https://www.youtube.com/watch?v=U9EZak0WtMo
3,Mikey Ariel - Docs or it didn't happen,https://www.youtube.com/watch?v=PrrRf29JsDs,PrrRf29JsDs,PyCon SK,@pyconsk,https://www.youtube.com/@pyconsk,20180504,1704,134,2,,"PyCon SK,Python,Documentation",Science & Technology,"If you ever skimmed through a README, tried to follow a quickstart tutorial, attempted to decipher an error message, or typed '--help' in your terminal, congratulations -- you have encountered documentation!

Long gone are the days of massive books with never-ending stories about your software. Today's users are smarter and less patient, which means that we no longer need to document *all the things*, as long as what we do document is clear, concise, helpful, and accessible. And that's where the real work starts.

Documentation requires some attitude adjustment, since prose doesn't neatly compile into binaries as code does. But Don't Panic(tm)! No matter what your role is in the community, you can apply a few key principles from the technical writing world to make your project more docs-friendly, and therefore more user- and contributor-friendly.

This high-level (and all-level) talk aims to introduce or re-acquaint you with topics such as content strategy, docs-as-code, optimized DevOps for docs, and contribution workflows. Open-source projects of all shapes, ages, sizes are welcome!


Pycon SK 2018 
Kiwi.com Hall (-1.61)
Friday 09. March: 10:15",https://i.ytimg.com/vi_webp/PrrRf29JsDs/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=PrrRf29JsDs,https://www.youtube.com/watch?v=PrrRf29JsDs
4,Krzysztof Żuraw - Solution Reviews,https://www.youtube.com/watch?v=s1T9ravp2a0,s1T9ravp2a0,PyCon SK,@pyconsk,https://www.youtube.com/@pyconsk,20180504,845,63,2,,"PyCon SK,Python",Science & Technology,"Did you ever found out a bug in production that was caused by not understanding what are requirements?

Did you implement your code only to see that your solutions are not optimal for the code review? This and other similar problems can be avoided by using solution reviews. In my talk, I want to talk about what exactly is solutions reviews, what benefits it gives you and your team, what are drawbacks of such methods. I will guide you through my experiment with using different methods for solution reviews and which were good and which weren't.

Pycon SK 2018
Kiwi.com (-1.61)
Saturday 10. March: 09:30",https://i.ytimg.com/vi_webp/s1T9ravp2a0/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=s1T9ravp2a0,https://www.youtube.com/watch?v=s1T9ravp2a0
5,"Michael Kennedy - Pythonic code, by example",https://www.youtube.com/watch?v=rgET4u3zkkY,rgET4u3zkkY,PyCon SK,@pyconsk,https://www.youtube.com/@pyconsk,20180504,1835,12625,284,8.0,"PyCon SK,Python",Science & Technology,"We often hear the term Pythonic thrown around, but what exactly does it mean? This talk will take you on a tour of some of the more important pythonic concepts. You will see many examples of perfectly functional Python code that is quite non-pythonic. We will evolve that code into more an idiomatic form that fits better with the Python language and its users.

Pycon SK 2018
Kiwi.com Hall (-1.61)
Saturday 10. March: 12:55",https://i.ytimg.com/vi_webp/rgET4u3zkkY/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=rgET4u3zkkY,https://www.youtube.com/watch?v=rgET4u3zkkY
6,"Martin Strýček - Our DevOps journey, is SRE the next stop?",https://www.youtube.com/watch?v=IeDtFZ_q2B0,IeDtFZ_q2B0,PyCon SK,@pyconsk,https://www.youtube.com/@pyconsk,20180504,1668,112,1,,"PyCon SK,Python,DevOps,SRE",Science & Technology,"Over past few years we see significant raise in technology requirements, complexity of managing and delivering high reliability systems. Based on our first-hand experience we see that there does not exist one silver bullet way of doing DevOps and way how you manage Continuous Delivery features. At Kiwi.com the transformation went from small applications to complex micro services architectures. This change did also impact the infrastructure not only by numbers of servers, also on complexity of the system and ended with hybrid model of cloud and bare metal solution. In this talk I will cover how our team of DevOps and Engineers battles with tasks such as deployment to many enviroments, infrastructure changes, monitoring and also creation of processes and runbooks. We believe that this talk can inspire you to adapt changes within your teams and never stop improving how you manage your infrastructure.

Pycon SK 2018
Kiwi.com Hall (-1.61)
Saturday 10. March: 13:30",https://i.ytimg.com/vi_webp/IeDtFZ_q2B0/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=IeDtFZ_q2B0,https://www.youtube.com/watch?v=IeDtFZ_q2B0
7,Alejandro Saucedo - Industrial Machine Learning,https://www.youtube.com/watch?v=d9p6K6CVeU4,d9p6K6CVeU4,PyCon SK,@pyconsk,https://www.youtube.com/@pyconsk,20180505,1844,312,3,,"PyCon SK,Python,Machine Learning,celery,rabbitmq",Science & Technology,"This talk would provide useful and practical understanding on how to build industry-ready machine learning models in python through distributed, horizontally-scalable architectures. I will include why and when these architectures are required, best practices, caveats, technologies to use them, and a practical implementation using celery + rabbitmq.

Pycon SK 2018
Kiwi.com Hall (-1.61)
Saturday 10. March: 11:25",https://i.ytimg.com/vi_webp/d9p6K6CVeU4/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=d9p6K6CVeU4,https://www.youtube.com/watch?v=d9p6K6CVeU4
8,Peter Dolák - Campaign Automation & Abusing Celery Properly,https://www.youtube.com/watch?v=oq1RrSRSIrM,oq1RrSRSIrM,PyCon SK,@pyconsk,https://www.youtube.com/@pyconsk,20180514,1712,162,1,,"PyCon SK,Python,Celery",Science & Technology,"Celery is an asynchronous task queue allowing easy distributed job execution in Python. This talk will, after a short introduction to Celery, share what we learned when we used it as the backbone for the campaign automation module of Exponea experience cloud. Serving over a hundred millions of our client's customers across the world with incredibly diverse use cases, we have heavily used some of Celery's most obscure functionality in often unintended ways. Join us for a bumpy ride towards a stability and scalability and learn many insights useful if you ever need to run some serious asynchronous jobs yourself. Barf bags not included.",https://i.ytimg.com/vi_webp/oq1RrSRSIrM/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=oq1RrSRSIrM,https://www.youtube.com/watch?v=oq1RrSRSIrM
9,Matúš Valo - Implementing distributed systems with Consul,https://www.youtube.com/watch?v=r4BnjUQoZEw,r4BnjUQoZEw,PyCon SK,@pyconsk,https://www.youtube.com/@pyconsk,20180524,1612,152,1,,"PyCon SK,Python,Consul,Distributed systems",Science & Technology,"Developing distributed systems is hard. Implementing distributed system from scratch requires knowledge of specialized algorithms and programming techniques. Consul is distributed system which enables us to build distributed system only by using Consul HTTP API. In our presentation, we are going to show basic concepts of consul, building our own consul cluster and showing how consul can be used for implementing distributed system. Our discussion will include also showing how we can benefit from consul even when using already existing python distributed components.",https://i.ytimg.com/vi_webp/r4BnjUQoZEw/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=r4BnjUQoZEw,https://www.youtube.com/watch?v=r4BnjUQoZEw
10,Tomáš Dudík - Ako sa pasujeme s Pythonom v Martine?,https://www.youtube.com/watch?v=pwzdDTmtdY4,pwzdDTmtdY4,PyCon SK,@pyconsk,https://www.youtube.com/@pyconsk,20180524,1259,154,5,,"PyCon SK,Python,Education,JupiterNotebook",Science & Technology,"Od roku 2014 sa programovacím jazykom na gymnáziu Viliama Pauliny Tótha stal Python. O tom akým spôsobom prebieha výučba, ako sme sa k jazyku Python dostali a aké problémy sme museli riešiť, by som sa chcel s vami podeliť. Nedajú sa ani opomenúť herné prostredia, ktoré pri vyučovaní využívame. Takisto v poslednom roku sme začali využívať Jupyter Notebooky s rozšírením Nbgrader, čo výučbu opäť posunulo dopredu. Ako inšpiráciu pre ostatných by som rád ukázal aj niektoré príklady, s ktorými trápime našich študentov.",https://i.ytimg.com/vi_webp/pwzdDTmtdY4/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=pwzdDTmtdY4,https://www.youtube.com/watch?v=pwzdDTmtdY4
