index,title,url,video_id,uploader,uploader_id,uploader_url,upload_date,duration,view_count,like_count,comment_count,tags,categories,description,thumbnail,age_limit,is_live,was_live,availability,webpage_url,original_url
1,[ DAY1 R0 ] Opening,https://www.youtube.com/watch?v=9eUyPSwLx_s,9eUyPSwLx_s,PyCon Taiwan,@PyConTaiwanVideo,https://www.youtube.com/@PyConTaiwanVideo,20241108,789,335,6,,"pycontw,python",Science & Technology,"Follow “PyCon Taiwan”
⭐️ Official Website: https://tw.pycon.org
⭐️ Facebook: https://www.facebook.com/pycontw
⭐️ Instagram: https://www.instagram.com/pycontw
⭐️ Twitter: https://twitter.com/PyConTW
⭐️ LinkedIn: https://www.linkedin.com/company/pycontw
⭐️ Blogger: https://pycontw.blogspot.com

#python #pycontw2024",https://i.ytimg.com/vi/9eUyPSwLx_s/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=9eUyPSwLx_s,https://www.youtube.com/watch?v=9eUyPSwLx_s
2,[ DAY1 R0_Keynote ] 你的 code 充滿時間：使用 Python 進入聲音訊號的世界 Entering the World of Audio Signals with Python,https://www.youtube.com/watch?v=8w5jx_BQ7sg,8w5jx_BQ7sg,PyCon Taiwan,@PyConTaiwanVideo,https://www.youtube.com/@PyConTaiwanVideo,20241123,3490,152,1,,"pycontw,python",Science & Technology,"聲音在我們的日常生活中無所不在，卻是那個常常被跳過的邊緣人。在這個演講中，我們將從資料科學的視角出發，與大家聊聊使用 Python 進行音訊處理的基本知識、時間維度資料的特性、重要的數學工具，以及跟聲音相關的一些人工智慧問題。此外，我們將特別討論如何運用這些工具處理複雜的音樂與生物訊號，例如音高、節奏與和聲等等。最後，我們希望從音樂生成、人機共演到音樂文化資產研究等應用議題，呈現當代音樂人工智慧研究的多重面貌。

由於現階段大多數人工智慧的應用都是以文字與圖像的處理為主，因此在音訊處理上的應用以及原理相信大家會非常感興趣。我們希望透過這個演講跟大家介紹 Python 在音訊處理和音樂人工智慧技術可以做到的事，並跟大家分享個人在使用 Python 當做研究的工具的心得。

講者介紹｜蘇黎
我目前擔任中央研究院資訊科學研究所副研究員。個人的研究興趣跨足人工智慧技術、多媒體技術與音樂資訊檢索等領域。曾獲傑出人才發展基金會年輕學者創新獎、國際音樂資訊檢索會議（ISMIR）的最佳論文獎，並入圍 ACM 國際多媒體會議（ACM MM）的最佳論文獎候選。曾應邀成為第29屆金曲獎金曲國際音樂節國際論壇的與談人，參與的演出包括〈日新樂譯〉（於國家音樂廳演出，2017年）和〈夜之絮語〉（於高雄衛武營表演廳演出，2019年）等。
個人網站：https://homepage.iis.sinica.edu.tw/pages/lisu/index_zh.html

更多資訊｜https://tw.pycon.org/2024/zh-hant/conference/keynotes#SuLi  

Follow “PyCon Taiwan”
⭐️ Official Website: https://tw.pycon.org
⭐️ Facebook: https://www.facebook.com/pycontw
⭐️ Instagram: https://www.instagram.com/pycontw
⭐️ Twitter: https://twitter.com/PyConTW
⭐️ LinkedIn: https://www.linkedin.com/company/pycontw
⭐️ Blogger: https://pycontw.blogspot.com

#python #keynote #pycontw2024",https://i.ytimg.com/vi/8w5jx_BQ7sg/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=8w5jx_BQ7sg,https://www.youtube.com/watch?v=8w5jx_BQ7sg
3,[ DAY1 R0_Talk ] Topic Modeling with Python: What do Customers Care about Digital Banking Apps?,https://www.youtube.com/watch?v=GKSqfNrVwPI,GKSqfNrVwPI,PyCon Taiwan,@PyConTaiwanVideo,https://www.youtube.com/@PyConTaiwanVideo,20241123,1837,62,0,,"pycontw,python",Science & Technology,"網路銀行App 的使用體驗是各間銀行在發展數位金融的一項成功關鍵，直接影響到客戶對於企業的忠誠度。然而要分析客戶的使用體驗並不是一件容易的事情，雖然 Google Play / Apple Store 的應用市集已經提供了 APP 的滿意度分數了，但是滿意度分數卻過度的簡化了使用體驗背後所包含的訊息。我們從滿意度分數就推敲出各 APP 獲得高/低分的原因，以及找出需要優化的方向。因此如何分析與應用非結構化的客戶留言資料就成為相當重要的課題 在這次的演講中我將以台灣 19 間銀行的 APP 在 Google Play 上共 31,474 筆評論，以真實的資料示範透過 Python 進行主題模型(Topic modeling)的方法以及過程中的成功與失敗的經驗。最終從文本中萃取出不同的討論話題，並為各個話題找出有意義的重要關鍵詞，讓公司能深入了解 APP 使用體驗與優缺點。也期望透過這次分享讓資料科學家、數據分析師在面對這類情境時能掌握透過 Python 進行 Topic Modeling 的流程以及成功關鍵。

講者介紹｜游騰林
I'm Teng-Lin Yu, a data scientist from Cathay Financial Holdings. I have over eight years of hands-on experience in data analysis and machine/deep learning models, having worked in the telecommunications and financial industries. I enjoy applying data science techniques to solve real-world problems rather than theoretical research. I also share my practical experience at technology conferences in my spare time. My ideal work style is to be a consultant, helping businesses improve operational performance by sharing my data science project experience and techniques. If you are interested in data science applications, please feel free to connect with me.

更多資訊｜https://tw.pycon.org/2024/zh-hant/conference/talk/321 

Follow “PyCon Taiwan”
⭐️ Official Website: https://tw.pycon.org
⭐️ Facebook: https://www.facebook.com/pycontw
⭐️ Instagram: https://www.instagram.com/pycontw
⭐️ Twitter: https://twitter.com/PyConTW
⭐️ LinkedIn: https://www.linkedin.com/company/pycontw
⭐️ Blogger: https://pycontw.blogspot.com

#python #talk #pycontw2024",https://i.ytimg.com/vi/GKSqfNrVwPI/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=GKSqfNrVwPI,https://www.youtube.com/watch?v=GKSqfNrVwPI
4,[ DAY1 R0_Talk ] Data Morph: A Cautionary Tale of Summary Statistics,https://www.youtube.com/watch?v=9TFQDEIjnT4,9TFQDEIjnT4,PyCon Taiwan,@PyConTaiwanVideo,https://www.youtube.com/@PyConTaiwanVideo,20241123,2450,47,0,,"pycontw,python",Science & Technology,"Statistics do not come intuitively to humans; they always try to find simple ways to describe complex things. Given a complex dataset, they may feel tempted to use simple summary statistics like the mean, median, or standard deviation to describe it. However, these numbers are not a replacement for visualizing the distribution. To illustrate this fact, researchers have generated many datasets that are very different visually, but share the same summary statistics. In this talk, I will discuss [Data Morph](https://github.com/stefmolin/data-morph), an open source package that builds on previous research using simulated annealing to perturb an arbitrary input dataset into a variety of shapes, while preserving the mean, standard deviation, and correlation to multiple decimal points. I will showcase how it works, discuss the challenges faced during development, and explore the limitations of this approach.

講者介紹｜Stefanie Molin
Stefanie Molin is a software engineer at Bloomberg in New York City, where she tackles tough problems in information security, particularly those revolving around data wrangling/visualization, building tools for gathering data, and knowledge sharing. She is also the author of “Hands-On Data Analysis with Pandas: A Python data science handbook for data collection, wrangling, analysis, and visualization,” which is currently in its second edition and has been translated into Korean and Chinese. She holds a bachelor’s of science degree in operations research from Columbia University's Fu Foundation School of Engineering and Applied Science, as well as a master’s degree in computer science, with a specialization in machine learning, from Georgia Tech. In her free time, she enjoys traveling the world, inventing new recipes, and learning new languages spoken among both people and computers.

更多資訊｜https://tw.pycon.org/2024/zh-hant/conference/talk/306
  
Follow “PyCon Taiwan”
⭐️ Official Website: https://tw.pycon.org
⭐️ Facebook: https://www.facebook.com/pycontw
⭐️ Instagram: https://www.instagram.com/pycontw
⭐️ Twitter: https://twitter.com/PyConTW
⭐️ LinkedIn: https://www.linkedin.com/company/pycontw
⭐️ Blogger: https://pycontw.blogspot.com

#python #talk #pycontw2024",https://i.ytimg.com/vi/9TFQDEIjnT4/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=9TFQDEIjnT4,https://www.youtube.com/watch?v=9TFQDEIjnT4
5,[ DAY1 R0_Talk ] How to learn Japanese with Python,https://www.youtube.com/watch?v=P8fOpEIKzzI,P8fOpEIKzzI,PyCon Taiwan,@PyConTaiwanVideo,https://www.youtube.com/@PyConTaiwanVideo,20241123,1818,163,5,,"pycontw,python",Science & Technology,"Japanese is reportedly one of the most difficult languages for English speakers to learn. (FSI language difficulty: https://www.fsi-language-courses.org/blog/fsi-language-difficulty/) There are many reasons for this, including the fact that there are three types of characters: hiragana, katakana, and kanji, and that words are not separated by spaces. In this talk, I will first introduce what makes Japanese different from many European languages. Then I will show how Python and natural language processing libraries can be used to support Japanese language learning.

講者介紹｜Takanori Suzuki
Takanori is the Chair of PyCon JP Association(www.pycon.jp) and Co-Chair of PyCon JP 2024. He is also a director of BeProud Inc.(www.beproud.jp), and his title is ""Python Climber"". Currently he teaches Python to beginners as a lecturer at Python Boot Camp(pycamp.pycon.jp) all over Japan. In addition, he published several Python books. He plays trumpet, climbs boulder, loves ferrets, beer and Lego.

更多資訊｜https://tw.pycon.org/2024/zh-hant/conference/talk/309  

Follow “PyCon Taiwan”
⭐️ Official Website: https://tw.pycon.org
⭐️ Facebook: https://www.facebook.com/pycontw
⭐️ Instagram: https://www.instagram.com/pycontw
⭐️ Twitter: https://twitter.com/PyConTW
⭐️ LinkedIn: https://www.linkedin.com/company/pycontw
⭐️ Blogger: https://pycontw.blogspot.com

#python #talk #pycontw2024",https://i.ytimg.com/vi/P8fOpEIKzzI/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=P8fOpEIKzzI,https://www.youtube.com/watch?v=P8fOpEIKzzI
6,[ DAY1 R0_Talk ] Python can make robots easy,https://www.youtube.com/watch?v=fyjt6wmi-BU,fyjt6wmi-BU,PyCon Taiwan,@PyConTaiwanVideo,https://www.youtube.com/@PyConTaiwanVideo,20241123,2720,51,0,,"pycontw,python",Science & Technology,"If you want to get started with robotics, and you don't have C/C++ knowledge, Python can be a good starting language to get you the experience of building software for robots. The toolchain for ROS supports Python by default, giving you all of the features, making it really simple to get started with building your own robots! If you are looking for a reason to learn Python, and robotics is exciting for you, I am hoping that you can get the introduction from this talk. It is easier to follow if you have a basic understanding of the Python language syntax.

講者介紹｜Utkarsh Goel
Utkarsh is the co-founder and CTO of Clearbot, a self-driving boat company that cleans trash from the oceans. He loves to solve problems, and works on machine learning, embedded systems, and robotics. He is also part of the Forbes 30 U 30 Asia list.

更多資訊｜https://tw.pycon.org/2024/zh-hant/conference/talk/312  

Follow “PyCon Taiwan”
⭐️ Official Website: https://tw.pycon.org
⭐️ Facebook: https://www.facebook.com/pycontw
⭐️ Instagram: https://www.instagram.com/pycontw
⭐️ Twitter: https://twitter.com/PyConTW
⭐️ LinkedIn: https://www.linkedin.com/company/pycontw
⭐️ Blogger: https://pycontw.blogspot.com

#python #talk #pycontw2024",https://i.ytimg.com/vi/fyjt6wmi-BU/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=fyjt6wmi-BU,https://www.youtube.com/watch?v=fyjt6wmi-BU
7,[ DAY1 R1_Talk ] Duckiedrone - 一個基於 Raspberry Pi 與 Python 的小型無人機專案介紹,https://www.youtube.com/watch?v=f21-Og-Zano,f21-Og-Zano,PyCon Taiwan,@PyConTaiwanVideo,https://www.youtube.com/@PyConTaiwanVideo,20241123,2062,135,3,,"pycontw,python",Science & Technology,"想要飛行是人類的夢想，使用 Raspberry Pi + Python 實現各種專案則是我們的目標。 這次我們將介紹如何使用 Raspberry Pi + Python 打造一台學習型的小型無人機專案 DuckieDrone，這專案從 MIT 2.166 課程小鴨城(Duckietown)延伸出來，將機器人技術從二維的平面道路延伸到三維的立體空間。 http://web.mit.edu/course/2/2.166/www/ 從這專案我們可以學習到建立無人機所需要的技術，包括認識和選擇適合的飛行器、飛控板的原理與控制、各種感測器包括 IMU、ToF、Camera 的使用，使用機器人作業系統(ROS)和 Python 控制所有的硬體，透過濾波演算法處理感測器的雜訊，並計算 PID 讓無人機穩定的停留在適合的高度，這一切都是使用 Python 和許多套件實現。 我們將分享專案的技術細節、實做上會遇到的問題與相關學習資源，希望有更多人能一起加入成為飛友。

講者介紹｜sosorry
Hi, I'm sosorry.

更多資訊｜https://tw.pycon.org/2024/zh-hant/conference/talk/304  

Follow “PyCon Taiwan”
⭐️ Official Website: https://tw.pycon.org
⭐️ Facebook: https://www.facebook.com/pycontw
⭐️ Instagram: https://www.instagram.com/pycontw
⭐️ Twitter: https://twitter.com/PyConTW
⭐️ LinkedIn: https://www.linkedin.com/company/pycontw
⭐️ Blogger: https://pycontw.blogspot.com

#python #talk #pycontw2024",https://i.ytimg.com/vi/f21-Og-Zano/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=f21-Og-Zano,https://www.youtube.com/watch?v=f21-Og-Zano
8,[ DAY1 R1_Talk ] 心跳天文學社課教我用 Ren'Py 重建獵星者旅店,https://www.youtube.com/watch?v=V02fA8gx-NU,V02fA8gx-NU,PyCon Taiwan,@PyConTaiwanVideo,https://www.youtube.com/@PyConTaiwanVideo,20241123,2647,85,4,,"pycontw,python",Science & Technology,"歡迎來到獵星者旅店！我是老闆尼賀勒·瓦再達，關於你的問題…來，這杯是「星凍時刻」，喝起來像是在冬夜裡凝視無盡星空。你喝了，我再答。 《獵星者旅店》是一款在ChatGPT上建造的角色扮演遊戲，玩家憑藉著想像力，在旅店中探索各種能學習天文和Python的旅程。無論是向矮人獵星者詢問如何用Python查詢星體座標，或是在旅店舊書攤中翻閱紀載如何用Python製作全天空星圖的寶典，生成有趣體驗的魔法皆來自你的想像。 咦？不想在ChatGPT上遊玩啊？你可以參加社辦位於旅店頂樓的「心跳天文學社」社課，社長莫妮卡會教你用Python的視覺小說遊戲引擎Ren'Py，來重建獵星者旅店。 哇酷哇酷了嗎？現在，你有幾個選擇： 1. Just 莫妮卡。 2. Just 莫妮卡。 3. Just 莫妮卡。 4. Just 莫妮卡。

講者介紹｜蘇羿豪
「開放天文 拉近群眾與星空的距離」 透過創作故事、遊戲等有趣體驗來推動開放科學的公民天文學家/Astrohackers in Taiwan社群的共同創辦人/承接網站開發及資料科學相關案子的遠距工作者 https://astrobackhacker.tw

更多資訊｜https://tw.pycon.org/2024/zh-hant/conference/talk/307  

Follow “PyCon Taiwan”
⭐️ Official Website: https://tw.pycon.org
⭐️ Facebook: https://www.facebook.com/pycontw
⭐️ Instagram: https://www.instagram.com/pycontw
⭐️ Twitter: https://twitter.com/PyConTW
⭐️ LinkedIn: https://www.linkedin.com/company/pycontw
⭐️ Blogger: https://pycontw.blogspot.com

#python #talk #pycontw2024",https://i.ytimg.com/vi/V02fA8gx-NU/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=V02fA8gx-NU,https://www.youtube.com/watch?v=V02fA8gx-NU
9,[ DAY1 R1_Talk ] 為醫療加裝Python的引擎,https://www.youtube.com/watch?v=4bVNxfX8Ev0,4bVNxfX8Ev0,PyCon Taiwan,@PyConTaiwanVideo,https://www.youtube.com/@PyConTaiwanVideo,20241123,1861,55,0,,"pycontw,python",Science & Technology,"醫院中的醫療活動是24小時都在進行，因此在醫療資訊系統要增加新功能或是進行重構最大的挑戰在於： 1. 存在著許多既有系統，有些甚至是10多年前的技術(ex.Informix DB, Delphi)，新舊系統如何無縫介接 2. 如何在資訊服務不中斷太久的情況下進行改版，就如同為正在行進中的車子換輪胎一樣 過去七年來，我們在醫院已開發胸部X光-AI、護理資訊、個案管理、麻醉資訊、管路資訊、電子表單...等 Python based 應用服務並且與既有系統介接，這個過程中我們把握住二個大原則： 1. 新增加或欲重構的模組採用 Python 來開發 2. 跟現行既有系統介接，更新過程不中斷院內的醫療活動 本次演講將分享我們如何逐步地將這些新微服務與既有系統(Delphi, PHP, 4GL based)無縫串接的策略與技術手段。 歡迎對「想要新增微服務到單體式系統」或「想要重構單體式系統，抽取共用模組成為微服務」有興趣的資訊主管或工程師，一起來交流。

講者介紹｜Max Lai
- Taichung.py 組織者 - 在中部醫療機構擔任智慧醫療應用系統研發團隊之 Tech Lead - 研究領域是電腦視覺, 機器學習, Web程式開發, DDD 與敏捷軟體開發方法論

更多資訊｜https://tw.pycon.org/2024/zh-hant/conference/talk/310  

Follow “PyCon Taiwan”
⭐️ Official Website: https://tw.pycon.org
⭐️ Facebook: https://www.facebook.com/pycontw
⭐️ Instagram: https://www.instagram.com/pycontw
⭐️ Twitter: https://twitter.com/PyConTW
⭐️ LinkedIn: https://www.linkedin.com/company/pycontw
⭐️ Blogger: https://pycontw.blogspot.com

#python #talk #pycontw2024",https://i.ytimg.com/vi/4bVNxfX8Ev0/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=4bVNxfX8Ev0,https://www.youtube.com/watch?v=4bVNxfX8Ev0
10,[ DAY1 R1_Talk ] 那些關於我開發碳排放量計算系統的經驗談,https://www.youtube.com/watch?v=fzja2uSPb_E,fzja2uSPb_E,PyCon Taiwan,@PyConTaiwanVideo,https://www.youtube.com/@PyConTaiwanVideo,20241123,2822,126,6,,"pycontw,python",Science & Technology,"碳排放量，Carbon Emission是近期熱門的話題之一，緣起是由歐盟發起CBAM(Carbon Border Adjustment Mechanism, CBAM)的碳邊境調整機制計畫，旨要讓進口產品到歐盟國家的廠商與其相關的供應鏈都需要課徵碳排放量的稅，並從受管制的製造業開始進行。那要如何將做碳排放量進行量化與管理，且符合CBAM的計畫並將產品出口到歐盟國家，將會是重要的課題。在本議程中，旨要介紹講者所開發的一套以產線為基礎的碳排放量管理系統，透過參考ISO-14064與ISO-14067的標準，與搭配CBAM所揭露計算的方式，計算出工廠以產線為主的碳排放量，並讓工廠透過該碳排放量去參考與評估目前的產品製程有無改進與減少碳排放的地方，並分享講者與水五金製造業、手工具製造廠商與紡織纖維廠商合作與導入工具的甘苦談。

講者介紹｜Peter
喜歡專注在後端程式、資料庫與系統架構等領域，使用 PHP與Python 作為後端開發已經超過 6 年的時間，同時對於開放源始碼抱持著高度的熱情，有時遇到開源專案有 bug 時，就會嘗試動手來協助修正。截至目前為止，已經有超過 1000 個 PR 被 merge，也在貢獻開源專案的過程中，學到許多撰寫程式碼的技巧，同時也不吝在各大技術研討會進行技術的分享，如：COSCUP、MOPCON以及LaravelConf等。

更多資訊｜https://tw.pycon.org/2024/zh-hant/conference/talk/313  
Follow “PyCon Taiwan”
⭐️ Official Website: https://tw.pycon.org
⭐️ Facebook: https://www.facebook.com/pycontw
⭐️ Instagram: https://www.instagram.com/pycontw
⭐️ Twitter: https://twitter.com/PyConTW
⭐️ LinkedIn: https://www.linkedin.com/company/pycontw
⭐️ Blogger: https://pycontw.blogspot.com

#python #talk #pycontw2024",https://i.ytimg.com/vi/fzja2uSPb_E/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=fzja2uSPb_E,https://www.youtube.com/watch?v=fzja2uSPb_E
