index,title,url,video_id,uploader,uploader_id,uploader_url,upload_date,duration,view_count,like_count,comment_count,tags,categories,description,thumbnail,age_limit,is_live,was_live,availability,webpage_url,original_url
1,KEYNOTE / Robert Erdmann,https://www.youtube.com/watch?v=z_hm5oX7ZlE,z_hm5oX7ZlE,PyCon US,@PyConUS,https://www.youtube.com/@PyConUS,20210602,2466,23766,371,8.0,,People & Blogs,"Prior to earning his Ph.D. from the University of Arizona in 2006, Robert Erdmann started a science and engineering software company and worked extensively on solidification and multiscale transport modeling at Sandia National Laboratories. Upon graduation, he joined the faculty at the University of Arizona in the Department of Materials Science and Engineering and the Program in Applied Mathematics, where he worked on multiscale material process modeling and image processing for cultural heritage. In 2014 he moved permanently to Amsterdam to focus full-time on combining materials science, computer science, and imaging science to help the world access, preserve, and understand its cultural heritage. He is Senior Scientist at the Rijksmuseum, and is also Full Professor of Conservation Science in the Faculties of Science and of Humanities at the University of Amsterdam. He has been using Python since 2001 and teaching Python since 2006.",https://i.ytimg.com/vi_webp/z_hm5oX7ZlE/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=z_hm5oX7ZlE,https://www.youtube.com/watch?v=z_hm5oX7ZlE
2,KEYNOTE / Saron Yitbarek,https://www.youtube.com/watch?v=_yoctcdkmUw,_yoctcdkmUw,PyCon US,@PyConUS,https://www.youtube.com/@PyConUS,20210602,1820,3197,32,1.0,,People & Blogs,"Saron is the founder of Disco, audio courses on tech topics. She's also the founder of CodeNewbie (acquired), a podcaster, a developer, and speaker.",https://i.ytimg.com/vi_webp/_yoctcdkmUw/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=_yoctcdkmUw,https://www.youtube.com/watch?v=_yoctcdkmUw
3,KEYNOTE / Akshay Sharma,https://www.youtube.com/watch?v=Jmly1Jfbhak,Jmly1Jfbhak,PyCon US,@PyConUS,https://www.youtube.com/@PyConUS,20210602,1706,3186,20,,,People & Blogs,"Akshay Sharma is executive vice president of artificial intelligence (AI) at Sharecare, the digital health company that helps people manage all their health in one place. Sharma joined Sharecare in 2021 as part of its acquisition of doc.ai, the Silicon Valley-based company that accelerated digital transformation in healthcare.

Sharma is an entrepreneur, founder, and experienced leader in engineering technology with a focus on healthcare. Since he initially joined doc.ai, he has been integral in the creation of core mobile app offerings including Passport, a privacy-based health-at-work solution; Serenity, a mental health digital offering; NetRunner, an edge computing and inference AI app; and Genewall, a genome app that deals with bioinformatics on the edge. He is passionate about developing and applying poly-omics data combinations to healthcare and life sciences as well as developing AI to assist in medical data understanding. He has built products, technology, and teams focused on edge computing (mobile/MCUs/sensors) and privacy (computations/inferences/learning), and holds several patents in this space.

With doc.ai, Sharma previously held various leadership positions including chief technology officer (CTO), and vice president of engineering, a role in which he developed several key technologies that power mobile-based privacy products in healthcare. Prior to joining the company, he also founded and co-founded several businesses including Swast, a startup focused on doctor-efficiency within the Indian healthcare ecosystem, and PixelSimple, a company engineering nextgen media streaming systems in the U.S. and Bangalore.

In addition to his role at Sharecare, Sharma serves as CTO of TEDxSanFrancisco and also is involved in initiatives to decentralize clinical trials. Sharma holds bachelor’s degrees in engineering and engineering in information science from Visvesvaraya Technological University.",https://i.ytimg.com/vi_webp/Jmly1Jfbhak/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=Jmly1Jfbhak,https://www.youtube.com/watch?v=Jmly1Jfbhak
4,"KEYNOTE / Python Steering Council / C. Willing, T. Wouters, B. Cannon, P. Galindo Salgado, B. Warsaw",https://www.youtube.com/watch?v=xEkuOtCQ6vA,xEkuOtCQ6vA,PyCon US,@PyConUS,https://www.youtube.com/@PyConUS,20210602,3600,2633,32,4.0,,People & Blogs,"Carol Willing
Thomas Wouters
Brett Cannon
Pablo Galindo Salgado
Barry Warsaw

Elected as prescribed in PEP 8016, the Python Steering Council is a 5-person committee that assumes a mandate to maintain the quality and stability of the Python language and CPython interpreter, improve the contributor experience, formalize and maintain a relationship between the Python core team and the PSF, establish decision making processes for Python Enhancement Proposals, seek consensus among contributors and the Python core team, and resolve decisions and disputes in decision making among the language.

This keynote will update the community on current and future initiatives. Additionally, the Steering Council will address community questions collected prior to the conference.",https://i.ytimg.com/vi/xEkuOtCQ6vA/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=xEkuOtCQ6vA,https://www.youtube.com/watch?v=xEkuOtCQ6vA
5,KEYNOTE / Python Software Foundation Community Address / Ewa Jodlowska,https://www.youtube.com/watch?v=-BM7Tj_PMek,-BM7Tj_PMek,PyCon US,@PyConUS,https://www.youtube.com/@PyConUS,20210604,1210,2847,36,2.0,,People & Blogs,"Ewa Jodlowska, Executive Director addresses the community and announces the Community Service Award recipients",https://i.ytimg.com/vi_webp/-BM7Tj_PMek/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=-BM7Tj_PMek,https://www.youtube.com/watch?v=-BM7Tj_PMek
6,TALK / Marina Shvartz /  Testing stochastic AI models with Hypothesis,https://www.youtube.com/watch?v=uVjgkqEpgkE,uVjgkqEpgkE,PyCon US,@PyConUS,https://www.youtube.com/@PyConUS,20210604,1503,2193,25,,,People & Blogs,"Over the years, testing has become one of the main focus areas in development teams, a good feature is a well tested one. In the field of AI this is many times a real struggle. Since eventually most advanced AI models are stochastic - we can’t manually define all their possible edge cases. This led us to use the hypothesis library which does a lot of that for you, while you can focus on defining the properties and specifications of your system.

In this talk, I will cover shortly the theory of property-based testing and then jump into use cases and examples to demonstrate how we used the hypothesis library to generate random examples of plausible edge cases of our AI model.",https://i.ytimg.com/vi_webp/uVjgkqEpgkE/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=uVjgkqEpgkE,https://www.youtube.com/watch?v=uVjgkqEpgkE
7,TALK / Benjy Weinberger / Creating extensible workflows with off-label use of Python,https://www.youtube.com/watch?v=HA5gzP4Ncao,HA5gzP4Ncao,PyCon US,@PyConUS,https://www.youtube.com/@PyConUS,20210604,1620,2678,25,,,People & Blogs,"Workflow-oriented systems have many uses, including data processing and analysis, ETL, CI/CD, and more. But creating a programmatic interface to a workflow system is a delicate balancing act: we want the API to be flexible enough to support useful work, but also constrained enough that tasks run cooperatively within the larger system.

We faced this challenge when designing the task API for the Pants build system. We needed to allow custom task code to enjoy the benefits of complex features like caching, concurrency and remote execution, without every task author having to reason about them.

In this talk we'll show how we found the right balance through unconventional use of Python's type annotations, coroutines, and dataclasses. Combining these seemingly disparate features in the context of a workflow engine allows you to build elegant extensibility APIs with just the right amount of flexibility.

Slides: https://docs.google.com/presentation/d/1aWZjk3tZUp37RDmZZxy0j8OjbatzkuWLfuSh84Lzwfk/edit?usp=sharing",https://i.ytimg.com/vi_webp/HA5gzP4Ncao/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=HA5gzP4Ncao,https://www.youtube.com/watch?v=HA5gzP4Ncao
8,TALK / Susan Shu Chang / Narrative-focused video games development with Ren'Py an open source engine,https://www.youtube.com/watch?v=RmJpnAvcjrA,RmJpnAvcjrA,PyCon US,@PyConUS,https://www.youtube.com/@PyConUS,20210604,1692,2410,59,2.0,,People & Blogs,"The game engine, Ren'Py, is an open source engine used to make countless interactive fiction games, also known as visual novels (VNs). These include commercial hits with VN elements such as Persona 5, to viral works such as Doki Doki Literature Club (2mil+ downloads as of Jan 2018).

I learned to program in Python using this engine, and have released my commercial game with it after working for a few years on it during weekends, selling 6K+ copies in less than half a year. In the daytime, I work as a principal data scientist in fintech.

Anyhow, the talk will dig into the source code of the engine, https://github.com/renpy/renpy, such as:

How it takes care of OS level stuff for game developers, memory optimization, cross platform game saves, and all that cool stuff.

Outcome: The audience will understand the independent gaming industry and how they can use Python to break into the industry, as I share my journey. There will also be components of source code walkthrough, but will be more of an overview than a step by step tutorial due to the scope of the talk.",https://i.ytimg.com/vi_webp/RmJpnAvcjrA/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=RmJpnAvcjrA,https://www.youtube.com/watch?v=RmJpnAvcjrA
9,"TALK / Alan Yu, Vasu Bhog / What we learned from Papermill to operationalize notebooks",https://www.youtube.com/watch?v=pvaIi0l1GME,pvaIi0l1GME,PyCon US,@PyConUS,https://www.youtube.com/@PyConUS,20210604,1546,2912,19,,,People & Blogs,"When you hear about beautiful notebook automation, your first thought usually goes to what Netflix is doing with Jupyter Notebooks. Their work is heavily inspired by nteract's papermill, which allows for the parameterization, execution, and analysis of Jupyter notebooks. Notebook operationalization opens many doors for team's troubleshooting pipelines, and we wanted to learn more from the open source community for how we can work together to empower developers who are on-call. Join us for this code-focused session to hear about our journey of listening and learning to the open source community, and how we used Python to evolve notebook parameterization.",https://i.ytimg.com/vi_webp/pvaIi0l1GME/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=pvaIi0l1GME,https://www.youtube.com/watch?v=pvaIi0l1GME
10,"TALK / Randall Hunt, Mike Ruberry / From NumPy to PyTorch, A Story of API Compatibility",https://www.youtube.com/watch?v=5wk13yle5GA,5wk13yle5GA,PyCon US,@PyConUS,https://www.youtube.com/@PyConUS,20210604,1576,3308,52,,,People & Blogs,"NumPy has grown to be a vital part of the data science workflow for everyone from astrophysicists to zoologists. This talk is about how PyTorch approaches being “NumPy-compatible,” and why the PyTorch community thinks that’s important, why it can be challenging, and why sometimes it’s necessary to be divergent from NumPy’s behavior.

Slides: https://www.slideshare.net/MikeRuberry1/from-numpy-to-pytorch",https://i.ytimg.com/vi/5wk13yle5GA/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=5wk13yle5GA,https://www.youtube.com/watch?v=5wk13yle5GA
