index,title,url,video_id,uploader,uploader_id,uploader_url,upload_date,duration,view_count,like_count,comment_count,tags,categories,description,thumbnail,age_limit,is_live,was_live,availability,webpage_url,original_url,error
1,PyCon US 2024 - A Message from Mariatta,https://www.youtube.com/watch?v=OH3C5a2uAWA,OH3C5a2uAWA,PyCon US,@PyConUS,https://www.youtube.com/@PyConUS,20231110,295.0,13534.0,87.0,,,People & Blogs,"A message to the Python community from PyCon US 2024 Conference Chair Mariatta Wijaya.

PyCon US is the largest and longest running Python conference in the world, and we're inviting you to join us in Pittsburgh for PyCon US 2024!

CFP is now open until December 18, 2023

Travel Grant applications close on February 16, 2024

PyCon US website: https://us.pycon.org/2024/
PyCon US 2024 CFP: https://us.pycon.org/2024/speaking/talks/
Proposal Guidelines: https://us.pycon.org/2024/speaking/guidelines/
Proposal mentorship: https://us.pycon.org/2024/speaking/mentorship/
Sponsor PyCon US: https://us.pycon.org/2024/sponsorship/why-sponsor/

#Python #Community #PyCon #PyConUS #conference #CFP #PublicSpeaking #volunteer",https://i.ytimg.com/vi/OH3C5a2uAWA/maxresdefault.jpg,0.0,False,False,public,https://www.youtube.com/watch?v=OH3C5a2uAWA,https://www.youtube.com/watch?v=OH3C5a2uAWA,
2,El CFP para PyCon US–¡abierto hasta el 18 de diciembre!,https://www.youtube.com/watch?v=QXe1MiJY7Go,QXe1MiJY7Go,PyCon US,@PyConUS,https://www.youtube.com/@PyConUS,20231204,1761.0,1295.0,13.0,,"pyconus,charlas,pretalx",Science & Technology,"Información sobre el CFP para PyCon US y cómo enviar una charla. ¡¡El CFP está abierto ahora mismo hasta el 18 de diciembre!!
Aprende más y enviar su charla aquí: https://pretalx.com/pyconus2024/ (Para español, escoge ""español"" en la parte superior derecha de la página.)

Conversación entre Mariatta Wijaya, la presidenta de la conferencia PyCon US, y Cristián Maureira-Fredes, el copresidente de PyCon Charlas.

//

Q&A With Charlas Co-Chair Cristián 
Information on the PyCon US CFP and how to submit a charla. The CFP is open now until December 18th!
Learn more and submit your proposal here: https://pretalx.com/pyconus2024/ 

Conversation between Mariatta Wijaya, PyCon US Chair, and Cristián Maureira-Fredes, co-chair of PyCon Charlas.",https://i.ytimg.com/vi/QXe1MiJY7Go/hqdefault.jpg?sqp=-oaymwEmCOADEOgC8quKqQMa8AEB-AH-CYAC0AWKAgwIABABGC8gRyh_MA8=&rs=AOn4CLBYg15C2wIh-ENlMHKfCJIAT93mfQ,0.0,False,False,public,https://www.youtube.com/watch?v=QXe1MiJY7Go,https://www.youtube.com/watch?v=QXe1MiJY7Go,
3,PyCon US CFP Q&A with Philippe—CFP open until December 18th!,https://www.youtube.com/watch?v=xuOFj0HhIPg,xuOFj0HhIPg,PyCon US,@PyConUS,https://www.youtube.com/@PyConUS,20231204,1558.0,892.0,8.0,,,People & Blogs,"Want to become a speaker at PyCon US?
Learn about the CFP process at PyCon US, and how it might be different compared to other conferences.
Hear advice about submitting your PyCon US proposal from the Talks Chair Philippe Gagnon.

PyCon US CFP: https://us.pycon.org/2024/speaking/talks/
PyCon US in Pittsburgh: https://us.pycon.org/2024/
Sponsor PyCon US: https://us.pycon.org/2024/sponsorship/why-sponsor/
Subscribe to PyCon US Blog: https://pycon.blogspot.com/
Follow us on Mastodon: https://fosstodon.org/@pycon
Follow us on LinkedIn: https://www.linkedin.com/company/python-software-foundation
Follow us on Twitter: https://twitter.com/pycon",https://i.ytimg.com/vi/xuOFj0HhIPg/maxresdefault.jpg,0.0,False,False,public,https://www.youtube.com/watch?v=xuOFj0HhIPg,https://www.youtube.com/watch?v=xuOFj0HhIPg,
4,Maintainers Summit at PyCon US 2024,https://www.youtube.com/watch?v=L-Ok_89QJOM,L-Ok_89QJOM,PyCon US,@PyConUS,https://www.youtube.com/@PyConUS,20240322,558.0,1529.0,22.0,,,People & Blogs,"The Maintainers Summit will return to PyCon US 2024.
The 6th Maintainers Summit is organized by Kara Sowles, Inessa Pawson, Chris Rose, and Leah Wasser.

Python is much more than a programming language. It is a vibrant community made up of individuals with diverse skills and backgrounds. The Maintainers Summit at PyCon US is where the Python community comes together to discuss and foster best practices on how to develop sustainable projects and nurture thriving communities. Join us to share your thoughts and ideas and learn from your peers!

Call for Proposals is open until March 25, 2024.
Details at: https://us.pycon.org/2024/events/maintainers-summit/

Maintainers Summit is included in your registration to PyCon US 2024 at no additional charge, though space is limited. Register now to PyCon US 2024 to not miss out.

PyCon US is the largest Python community conference in the world.
May 15 - 23, 2024 in Pittsburgh, Pennsylvania

Register: https://us.pycon.org/2024/registration/register
Full schedule: https://us.pycon.org/2024/
Keynote speakers: https://us.pycon.org/2024/about/keynote-speakers/

This video was produced, directed, and edited by Mariatta Wijaya (https://mariatta.ca)

#PyConUS #PyCon #ThePSF #Python #Community #Conference",https://i.ytimg.com/vi/L-Ok_89QJOM/maxresdefault.jpg,0.0,False,False,public,https://www.youtube.com/watch?v=L-Ok_89QJOM,https://www.youtube.com/watch?v=L-Ok_89QJOM,
5,Meet our Keynote Speakers: Jay Miller,https://www.youtube.com/watch?v=HdNna_DuqcM,HdNna_DuqcM,PyCon US,@PyConUS,https://www.youtube.com/@PyConUS,20240429,650.0,894.0,23.0,,,People & Blogs,"Our keynote speaker, Jay Miller, shares his journey in the Python community, expressing gratitude for the support he received from the community. He highlights the formation of ""Black Python Devs"" and reflects on the growth of this community and its impact, emphasizing the importance of inclusivity and support. He recounts his excitement about being invited to speak at PyCon US and offers advice for attendees. 

Come join and meet Jay at PyCon US 2024!

Bio:
Jay Miller is a Developer Advocate and has been involved in the Python community since 2014. A product of the San Diego Python Community, 

Jay was introduced to the power of community early in learning and has served as an organizer for San Diego Python, WeAll.JS, Operation Code and Global CFP Diversity Day.

Away from Python, Jay is a Husband and Father. They are also the cohost of Conduit, a system-agnostic approach to accountability and productivity that has helped people accomplish everything from cleaning out that pile of laundry on their bed to publishing a book and getting married.

In 2023, Jay started _Black Python Devs_ as an online community for Black, Colored, and Coloured Python developers. Today Black Python Devs has hundreds of members from around the world ranging in all levels of their career with Jay serving as the community's Executor.

PyCon US is the largest Python community conference in the world.
May 15 - 23, 2024 in Pittsburgh, Pennsylvania

Register: https://us.pycon.org/2024/registration/register
Full schedule: https://us.pycon.org/2024/
Keynote speakers: https://us.pycon.org/2024/about/keynote-speakers/

This video was produced, directed, and edited by Mariatta Wijaya (https://mariatta.ca)

#PyConUS #PyCon #ThePSF #Python #Community #Conference",https://i.ytimg.com/vi/HdNna_DuqcM/maxresdefault.jpg,0.0,False,False,public,https://www.youtube.com/watch?v=HdNna_DuqcM,https://www.youtube.com/watch?v=HdNna_DuqcM,
6,Meet our Keynote Speakers: Kate Chapman,https://www.youtube.com/watch?v=qNdjTrHTFKc,qNdjTrHTFKc,PyCon US,@PyConUS,https://www.youtube.com/@PyConUS,20240429,170.0,607.0,19.0,,,People & Blogs,"Our keynote speaker, Kate Chapman, shares her journey in tech from learning programming as a child to her current work at the intersection of mapping and programming. Kate discusses her non-profit work, focusing on solving problems that people assume are solved, but aren’t.

Kate will be coming to PyCon US for the first time, and she’s excited to connect with the Python community. Come join and meet Kate at PyCon US 2024!

Bio:
Kate Chapman is a technologist, geographer and farmer who believes in the power of digital commons to change the world. She serves as the Chief Technology Officer at Open Supply Hub leading technical strategy to bring transparency to supply chains. Additionally Kate is the President of the Humanitarian OpenStreetMap Team (HOT) where she is a passionate supporter of open mapping for more resilient communities. Kate focuses on socio-technical systems linking humans and computers together to create better information for decision making. 

Previously Kate served as the Director of Engineering Enablement at the Wikimedia Foundation, Chief Technology Officer of the Cadasta Foundation and Executive Director of the Humanitarian OpenStreetMap Team. A long time advocate and participant in the free culture movement she believes it is important to put people first. When not thinking about virtual systems she is at home thinking about physical systems on her miniature dairy goat farm.

PyCon US is the largest Python community conference in the world.
May 15 - 23, 2024 in Pittsburgh, Pennsylvania

Register: https://us.pycon.org/2024/registration/register
Full schedule: https://us.pycon.org/2024/
Keynote speakers: https://us.pycon.org/2024/about/keynote-speakers/

This video was produced, directed, and edited by Mariatta Wijaya (https://mariatta.ca)

#PyConUS #PyCon #ThePSF #Python #Community #Conference",https://i.ytimg.com/vi/qNdjTrHTFKc/maxresdefault.jpg,0.0,False,False,public,https://www.youtube.com/watch?v=qNdjTrHTFKc,https://www.youtube.com/watch?v=qNdjTrHTFKc,
7,Meet our Keynote Speakers: Simon Willison,https://www.youtube.com/watch?v=QO1lW1dUP7Q,QO1lW1dUP7Q,PyCon US,@PyConUS,https://www.youtube.com/@PyConUS,20240429,292.0,957.0,30.0,,,People & Blogs,"Our keynote speaker, Simon Willison, reflects on his journey with Python and his experience meeting Adrian Holovaty and building a web framework which later is known as Django. As a long time member of the Python community, Simon shares insightful advice to PyCon US attendees.

Come join and meet Simon at PyCon US 2024!

Bio:
Simon Willison is the creator of Datasette, an open source tool for exploring and publishing data. He currently works full-time developing open source tools for data journalism, built around Datasette and SQLite.

Simon has spent the last year and a half deeply immersed in the world of Large Language Models, trying to solve the fascinating problems of how to responsibly use the technology in the two fields he knows best: journalism and software engineering.

Prior to becoming an independent open source developer, Simon was an engineering director at Eventbrite. Simon joined Eventbrite through their acquisition of Lanyrd, a Y Combinator funded company he co-founded in 2010.

He is a board member of the Python Software Foundation and a co-creator of the Django Web Framework, and has been blogging about web development and programming since 2002 at https://simonwillison.net/ 

PyCon US is the largest Python community conference in the world.
May 15 - 23, 2024 in Pittsburgh, Pennsylvania

Register: https://us.pycon.org/2024/registration/register
Full schedule: https://us.pycon.org/2024/
Keynote speakers: https://us.pycon.org/2024/about/keynote-speakers/

This video was produced, directed, and edited by Mariatta Wijaya (https://mariatta.ca)

#PyConUS #PyCon #ThePSF #Python #Community #Conference",https://i.ytimg.com/vi/QO1lW1dUP7Q/maxresdefault.jpg,0.0,False,False,public,https://www.youtube.com/watch?v=QO1lW1dUP7Q,https://www.youtube.com/watch?v=QO1lW1dUP7Q,
8,Meet our Keynote Speakers: Sumana Harihareswara,https://www.youtube.com/watch?v=qJUDIusR2HM,qJUDIusR2HM,PyCon US,@PyConUS,https://www.youtube.com/@PyConUS,20240429,478.0,749.0,16.0,,,People & Blogs,"Our keynote speaker, Sumana Harihareswara, reflects on her journey in open source, from starting as an open source user, contributor, to starting a career in open source.

Did you know that Sumana also does stand up comedy? Come join and meet Sumana at PyCon US!

Bio:
Sumana Harihareswara (https://harihareswara.net/) is an open source contributor and leader who has managed work on pip, PyPI, GNOME, MediaWiki, HTTPS Everywhere, autoconf, GNU Mailman, and other projects -- and who is working on a book to teach what she's learned along the way. Between 2016 and 2021, Harihareswara led fundraising for and managed the next-generation overhauls of PyPI and of pip's dependency resolver and user experience. Her work has earned her an Open Source Citizen Award and a Google Open Source Peer Bonus.

Harihareswara has keynoted LibrePlanet, code4lib, SeaGL, and other conventions, and has previously spoken at PyCon US and PyGotham (https://www.harihareswara.net/talks.html). She also performs stand-up comedy, and volunteers to improve local emergency preparedness and open data. She lives in New York City, runs Changeset Consulting (http://changeset.nyc/), and microblogs in the Fediverse (https://social.coop/@brainwane/).

PyCon US is the largest Python community conference in the world.
May 15 - 23, 2024 in Pittsburgh, Pennsylvania

Register: https://us.pycon.org/2024/registration/register
Full schedule: https://us.pycon.org/2024/
Keynote speakers: https://us.pycon.org/2024/about/keynote-speakers/

This video was produced, directed, and edited by Mariatta Wijaya (https://mariatta.ca)

#PyConUS #PyCon #ThePSF #Python #Community #Conference",https://i.ytimg.com/vi/qJUDIusR2HM/maxresdefault.jpg,0.0,False,False,public,https://www.youtube.com/watch?v=qJUDIusR2HM,https://www.youtube.com/watch?v=qJUDIusR2HM,
9,Get ready for PyCon US 2024! Tips and tricks from our community.,https://www.youtube.com/watch?v=RL3HFj5SDqI,RL3HFj5SDqI,PyCon US,@PyConUS,https://www.youtube.com/@PyConUS,20240514,1612.0,1784.0,26.0,,,People & Blogs,"Who will you meet at PyCon US? Wondering what to do at the conference? 
We got you covered.

Community members worldwide will be gathering at PyCon US, the largest Python conference in the world. From hobbyist, content creator, open source maintainer, and community leader, they’re all looking forward to meet and connect with you at PyCon US.

In this video, hear what made PyCon US special for them, and learn their pro-tips for making the most at the conference.

Have your own memorable experience, or tips and advice about PyCon US? Share with our community by using the #PyConUS hashtag

It’s not too late to register and join us at the conference!

PyCon US is the largest Python community conference in the world.
May 15 - 23, 2024 in Pittsburgh, Pennsylvania

Register: https://us.pycon.org/2024/registration/register
Full schedule: https://us.pycon.org/2024/
Keynote speakers: https://us.pycon.org/2024/about/keynote-speakers/

#PyConUS #PyCon #ThePSF #Python #Community #Conference

Thank you to our community members for helping us with the creation of this video:
- Carol Willing
- Ned Batchelder
- Ngazetungue Muheue
- Donghee Na
- Kojo Idrissa
- Abigail Afi Gbadago
- Velda Kiara
- Kattni Rembor
- Takanori Suzuki
- Denny Perez
- Maria Jose Molina
- Mario Munoz
- Tammy Do
- Jules/Juliana Barros Lima
- Georgi Ker",https://i.ytimg.com/vi/RL3HFj5SDqI/maxresdefault.jpg,0.0,False,False,public,https://www.youtube.com/watch?v=RL3HFj5SDqI,https://www.youtube.com/watch?v=RL3HFj5SDqI,
10,Tutorials - Daksh Gupta: The world of High Performance Distributed & Async Task Queue(s) with Celery,https://www.youtube.com/watch?v=v-Snbz3WmJU,v-Snbz3WmJU,PyCon US,@PyConUS,https://www.youtube.com/@PyConUS,20240628,9877.0,3327.0,59.0,,,Education,"All modern systems use distributed and asynchronous tasks to make proper use of the available hardware and software resources in a safe and reliable manner. The ability to create and distribute asynchronous tasks drastically impact the performance as well as the capability of a system.

The most popular way of creating asynchronous task queues involves using streams or pub/sub infrastructures like Apache Kafka, RabbitMQ, Kinesis etc, more or less, are equally suitable for a variety of scenarios.

Then, the question is why we’re talking something else i.e. “Celery” over here? The answer is “Python Programming Language”.

If you're creating a system (especially microservices based and/or distributed systems) in python__ and want to create an asynchronous (and distributed) task queues which is pure python, simple, super fast, and diminishes the boundary between distributed systems_, then you should consider using “Celery”___.

Using something like “Celery” is not about being better than other solutions out there, it’s all about the ability to make use of the python ecosystem and create things faster without leaving the python programming language for something else.

Welcome to this tutorial on Celery, the open source distributed task queues. In this tutorial, we'll learn how to use “Celery” and create an end to end system. We’ll also learn about how we can also visualize the distributed task queues at runtime using “Flower”

This tutorial will have classroom exercises, post class homeworks as well as complimentary readings. All the presentation, code, exercises will be shared in advance (~ 2 - 3 days) and the solutions of the exercise will be shared after the tutorial is completed.",https://i.ytimg.com/vi_webp/v-Snbz3WmJU/maxresdefault.webp,0.0,False,False,public,https://www.youtube.com/watch?v=v-Snbz3WmJU,https://www.youtube.com/watch?v=v-Snbz3WmJU,
