index,title,url,video_id,uploader,uploader_id,uploader_url,upload_date,duration,view_count,like_count,comment_count,tags,categories,description,thumbnail,age_limit,is_live,was_live,availability,webpage_url,original_url
1,Opening Ceremony,https://www.youtube.com/watch?v=dm-4jQoV16k,dm-4jQoV16k,PyCon South Africa,@pyconza,https://www.youtube.com/@pyconza,20171008,505,327,2,,"pyconza,pyconza2017,python,DavidSharpe",Education,"David Sharpe
https://2017.za.pycon.org/news/opening-ceremony/
# Opening Ceremony

A general welcome and an introduction to all the exciting things that will be happening at PyConZA 2017!",https://i.ytimg.com/vi_webp/dm-4jQoV16k/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=dm-4jQoV16k,https://www.youtube.com/watch?v=dm-4jQoV16k
2,Don't try to look smart. Be smart,https://www.youtube.com/watch?v=OovYNyWWuL0,OovYNyWWuL0,PyCon South Africa,@pyconza,https://www.youtube.com/@pyconza,20171008,3753,255,5,,"pyconza,pyconza2017,python,FlavioPercoco",Education,"Flavio Percoco
https://2017.za.pycon.org/talks/1/
The technology industry is growing and already huge. The number of humans in this industry and the number of areas they can work on are overwhelming. The number of opportunities often don't seem as many for an industry that big, nonetheless.

Regardless of how long you've been in this industry, you often feel overwhelmed, unfocused, demotivated by the size of the industry, the uncertainty it generates and the urge of doing something others consider important.

Throughout this talk, the audience will learn how to grow in an industry that is often blasted with intellectual appearances, quantity over quality and unstoppable, constant, changes. The talk provides tips to cope with large communities and fields as well as experiences and examples.",https://i.ytimg.com/vi_webp/OovYNyWWuL0/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=OovYNyWWuL0,https://www.youtube.com/watch?v=OovYNyWWuL0
3,Experiences in Asynchronous Application Development with Crossbar.io,https://www.youtube.com/watch?v=G5eYUj-y2oQ,G5eYUj-y2oQ,PyCon South Africa,@pyconza,https://www.youtube.com/@pyconza,20171006,2365,633,10,1.0,"pyconza,pyconza2017,python,AdamJorgensen",Education,"Adam Jorgensen
https://2017.za.pycon.org/talks/19/
Recently at OpenDNA we've been rebuilding one of our core internal applications from the ground-up. Early on we decided that we wanted to make the new system completely asynchronous, leveraging the ability of modern browsers to communicate with the server in a bi-directional fashion unconstrained by the usual flow of a RESTful application. 

There are a number of ways to implement this kind of application in Python but only one of them (in our humble opinion) is really worth investing time in: Crossbar.io

In this talk I will cover the process of developing a purely asynchronous application using Crossbar from top to bottom, detailing everything from high-level design considerations to low-level code decisions to potential pitfalls and how to avoid them.

The aim: To convince you that your next application should be built using Crossbar!

This talk should be suitable for any audience but will be of particular interest to developers looking for a way to leverage WebSockets and/or WAMP to develop highly or even purely asynchronous applications.",https://i.ytimg.com/vi_webp/G5eYUj-y2oQ/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=G5eYUj-y2oQ,https://www.youtube.com/watch?v=G5eYUj-y2oQ
4,Control and Monitoring of the Karoo Telescope Arrays using Python (5 years later),https://www.youtube.com/watch?v=z1YtqlEEF2I,z1YtqlEEF2I,PyCon South Africa,@pyconza,https://www.youtube.com/@pyconza,20171008,2623,189,1,,"pyconza,pyconza2017,python,ToufeeqOckards,MartinSlabber",Education,"Toufeeq Ockards, Martin Slabber
https://2017.za.pycon.org/talks/55/
In 2012 the The SKA SA Control and Monitoring (CAM) gave a talk at PyConZA and it can be viewed at this [Youtube Video](https://www.youtube.com/watch?v=HN5cMyZucKI) and more info at [PyConZA 2012 link](https://2012.za.pycon.org/speaker/27/detail.html). 

5 years later, Python is still used for Controlling and Monitoring of this world-class instrument, that is on its path to being the most sensitive radio telescope in the southern hemisphere. The 64 dish array completion is around the corner and we take a look back at the last 5 years and our time with Python.

Who is your audience?  
\- The general audience. It should interest all the attendees.

What will they get out of it?   
\- Insight into the use of Python in a Large Experimental Physics Control System.

What will you cover?  
\- Overview (SKA vs MeerKAT vs KAT-7)   
\- Why SKA SA chose Python   
\- How and where Python is used at SKA SA.  
\- Description of the Control and Monitoring problem domain (what we monitor &amp; control, data volumes)  
\- Architecture of the CAM subsystem (KATcp, proxies, monitors)  
\- Some of the lessons learnt over the last 5 years using Python.  
\- Overview of Control interfaces   
\- Live demo   
\- astronomy images produced by MeerKAT",https://i.ytimg.com/vi_webp/z1YtqlEEF2I/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=z1YtqlEEF2I,https://www.youtube.com/watch?v=z1YtqlEEF2I
5,ZimboPy: Empowering Zimbabwean Girls As Change Makers,https://www.youtube.com/watch?v=8f_TI8kp5zw,8f_TI8kp5zw,PyCon South Africa,@pyconza,https://www.youtube.com/@pyconza,20171006,1456,269,6,1.0,"pyconza,pyconza2017,python,MarleneMhangami,RonaldMaravanyika",Education,"Marlene Mhangami, Ronald Maravanyika
https://2017.za.pycon.org/talks/17/
ZimboPy is an organic, on-the-ground effort by a local non-profit organization and Python developers in the Harare software development community to advance the cause of women in technology in Zimbabwe. The program operates in community centers, universities, high schools and tech hubs to make programming accessible to girls regardless of their socio-economic status. Upon initially joining a ZimboPy club, many of the girls would have never used a computer before, let alone code.

In Zimbabwe, only 17% of computer science undergraduate majors are women, and in the developing world, women make up less than 20% of the information and technology workforce. ZimboPy exists to empower Zimbabwean girls with the skills and confidence necessary to not only enter the local tech industry, but to lead it.

In addition to learning to code, ZimboPy club members also join a global network of women in technology that are working to tackle social challenges through human-centered design and computer science.The Python community has been a central part of our work. For our mentorship week that was held in April we had python programmers from USA, Italy, Australia and of course Zimbabwe join us in person and virtually. Our talk will outline what we've achieved so far and how anyone who's part of the Python community can get involved. We invite developers from around the world to help Zimbabwean girls address local problems which can be solved with technology, such as clean water and e-commerce solutions for small shops in towns and villages. Mentors can travel to Zimbabwe and work with girls as they develop a plan for their applications and pair-program with them, answering questions and providing feedback along the way. Overall, ZimboPy looks forward to changing Zimbabwe's future through creativity, collaboration and the power of Python programming",https://i.ytimg.com/vi_webp/8f_TI8kp5zw/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=8f_TI8kp5zw,https://www.youtube.com/watch?v=8f_TI8kp5zw
6,"OpenStack and Software Engineering - Questions, Tricks and everything else about OpenStack.",https://www.youtube.com/watch?v=QKM7IODvFlE,QKM7IODvFlE,PyCon South Africa,@pyconza,https://www.youtube.com/@pyconza,20171008,2132,108,0,,"pyconza,pyconza2017,python,StephanLudik,ThomasLee",Education,"Stephan Ludik, Thomas Lee
https://2017.za.pycon.org/talks/75/
**1 Introduction**

**1.1 Presenters**

  * Thomas Lee
  * Stephan Ludik

**1.2 Our OpenStack experience**

Our OpenStack Journey

Our Open Source Contributions

**2 OpenStack Introduction**

**2.1 What OpenStack Is**

We will talk about the OpenStack program as a whole and what it consists of. We will alsodiscuss some of the main projects in OpenStack and how they fit together to deliver IaaS and other services.

**2.2 OpenStack project factoids**

We discuss a few key aspects of the OpenStack project and community around it.

**2.3 Case Study**

Building OpenStack for Test, Dev and Production use.

**2.4 OpenStack vs. Competitors**

Cost structure

Functional benefits

**3 Demo of OpenStack in action**

A little demonstration of what is possible with OpenStack.

  * Start up a Django based application via an heat template, showing the progress.
  * Show the environment is functioning on the cloud.
  * Destroy the complete environment.

**4 Q&amp;A**",https://i.ytimg.com/vi_webp/QKM7IODvFlE/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=QKM7IODvFlE,https://www.youtube.com/watch?v=QKM7IODvFlE
7,Jupyter Notebooks for Radio Astronomy Research,https://www.youtube.com/watch?v=L5TxeCwNV_4,L5TxeCwNV_4,PyCon South Africa,@pyconza,https://www.youtube.com/@pyconza,20171008,2086,579,16,,"pyconza,pyconza2017,python,BradFrank",Education,"Brad Frank
https://2017.za.pycon.org/talks/23/
At the Inter-University Institute for Data Intensive Astronomy (IDIA, www.idia.ac.za), we are focusing on several important use-cases related to the delivery of science data products from large radio telescopes, such as MeerKAT. The requirements for the hardcore processing and analysis of raw radio data has to be counter-balanced with our essential need to collaborate on our science projects. 

We have thus adopted the Jupyter Hub/Notebooks as the principle means of running radio astronomy workflows, pipelines and calibration scripts. We have found this to be an enormously useful and powerful medium to prototype technical recipes, and to share lessons learned. This allows us to shorten the amount of time taken to develop a complex astronomical workflow, and shifts the focus on the data and the processes involved in a single, comprehensive framework. 

The usage of Jupyter Notebooks is become quite popular in radio astronomy, and marks a distinct paradigm shift in the way that astronomers all over the world are collaborating on large science projects.

In my talk I will focus on our usage of Jupyter Hub/Notebooks within an astronomical context, and some highlights related to the development of our astronomical computing software stack in python.",https://i.ytimg.com/vi_webp/L5TxeCwNV_4/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=L5TxeCwNV_4,https://www.youtube.com/watch?v=L5TxeCwNV_4
8,The importance of Agile Software Testing,https://www.youtube.com/watch?v=XYbrl2Dyj-4,XYbrl2Dyj-4,PyCon South Africa,@pyconza,https://www.youtube.com/@pyconza,20171008,3325,244,3,,"pyconza,pyconza2017,python,KudakwasheSiziva",Education,"Kudakwashe Siziva
https://2017.za.pycon.org/talks/46/
From the beginning of time, the relationship between developers and software testers has always been that of 'Cat and Mouse'. This relationship has had its fair share of short comings which chiefly included unmet deadlines and lack of confidence when shipping software products. The talk is meant to introduce a better relationship between developers and testers by going over the importance of including testing in an Agile cycle.

We will look at different levels of testing E.g. Unit vs integration testing, how units work together. Knowing why we are writing each test - what are we trying to achieve when we write a test for a unit as that is a place that developers struggle and either write duplicate tests or not enough and changeability and confidence can suffer as a result.

Objective is to build better agile software teams and ship clean python projects with confidence.",https://i.ytimg.com/vi_webp/XYbrl2Dyj-4/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=XYbrl2Dyj-4,https://www.youtube.com/watch?v=XYbrl2Dyj-4
9,Better APIs using GraphQL with Python and React,https://www.youtube.com/watch?v=lkKGfcp9Cvc,lkKGfcp9Cvc,PyCon South Africa,@pyconza,https://www.youtube.com/@pyconza,20171006,2236,4608,53,,"pyconza,pyconza2017,python,MikeJones",Education,"Mike Jones
https://2017.za.pycon.org/talks/34/
https://speakerdeck.com/imsickofmaps/better-apis-using-graphql-with-python

Have you ever found yourself stuck in a battle between creating more and more granular REST endpoints to return different payloads suitable for the individual use cases of different consumers and just Exposing All The Data, All The Time?

Enter GraphQL, born at Facebook but now in wide use in many organisation and with a burgeoning ecosystem of tools across many languages.

We'll be examining what GraphQL is, comparison to REST APIs, its potential use-cases and how to get productive quickly with Graphene (Python GraphQL service) on your backend and Apollo (Javascript client) on your frontend.

We'll use real-world examples from Picsa, where we've adopted Graphene-Django as the core element in our platform for building financial services for low-income farmworkers in South Africa.

This will be an introduction to these frameworks that should be applicable for those who have no prior experience.",https://i.ytimg.com/vi_webp/lkKGfcp9Cvc/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=lkKGfcp9Cvc,https://www.youtube.com/watch?v=lkKGfcp9Cvc
10,"PyPy3, Numpy, and maybe a GIL-less future",https://www.youtube.com/watch?v=Nj8mA-qZ_VU,Nj8mA-qZ_VU,PyCon South Africa,@pyconza,https://www.youtube.com/@pyconza,20171006,2354,816,10,1.0,"pyconza,pyconza2017,python,MaciejFijalkowski,ArminRigo",Education,"Maciej Fijalkowski, Armin Rigo
https://2017.za.pycon.org/talks/69/
PyPy is a Python implementation, alternative to the standard CPython. PyPy comes with a JIT (Just-in-Time compiler). We'll see the recent developments:

  * PyPy now supports either Python 2.7 or (in beta) Python 3.5.

  * Numpy and the scientific stack are getting ever closer to fully working.

We will also mention a potential future direction: getting rid of the GIL (Global Interpreter Lock). The Python community has been discussing removing the GIL for a long time, with no success so far. Targeting PyPy instead of CPython would still be quite involved, but more doable.",https://i.ytimg.com/vi_webp/Nj8mA-qZ_VU/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=Nj8mA-qZ_VU,https://www.youtube.com/watch?v=Nj8mA-qZ_VU
