index,title,url,video_id,uploader,uploader_id,uploader_url,upload_date,duration,view_count,like_count,comment_count,tags,categories,description,thumbnail,age_limit,is_live,was_live,availability,webpage_url,original_url
1,PyLadiesCon 2024 Official Opening,https://www.youtube.com/watch?v=VR16SjT8puc,VR16SjT8puc,PyLadies,@PyLadiesGlobal,https://www.youtube.com/@PyLadiesGlobal,20241206,730,548,24,,"Python,PyLadies,PyLadiesCon",Nonprofits & Activism,"Language: English

MC: Mariatta Wijaya, Maria Jose Molina-Contreras",https://i.ytimg.com/vi_webp/VR16SjT8puc/maxresdefault.webp,0,False,False,public,https://www.youtube.com/watch?v=VR16SjT8puc,https://www.youtube.com/watch?v=VR16SjT8puc
2,PyLadies Global Council Panel,https://www.youtube.com/watch?v=hMM5NAGrkoo,hMM5NAGrkoo,PyLadies,@PyLadiesGlobal,https://www.youtube.com/@PyLadiesGlobal,20241207,2116,216,14,,"PyLadiesCon,PyLadies,PyLadies Global Council,Python",Nonprofits & Activism,"Language: English
Host: Mariatta Wijaya
Speakers: Lynn Root, Marie-Louise Annan, Sarah Adigwe",https://i.ytimg.com/vi/hMM5NAGrkoo/maxresdefault.jpg,0,False,True,public,https://www.youtube.com/watch?v=hMM5NAGrkoo,https://www.youtube.com/watch?v=hMM5NAGrkoo
3,Keynote Juliana (Jules) Barros Lima,https://www.youtube.com/watch?v=zVMdyWaKRzI,zVMdyWaKRzI,PyLadies,@PyLadiesGlobal,https://www.youtube.com/@PyLadiesGlobal,20241207,1965,102,11,,"PyLadiesCon,PyLadies,Python",Nonprofits & Activism,"Language: Portuguese
Embracing Dreams and Fostering Communities: Lessons Learned as a PyLady",https://i.ytimg.com/vi/zVMdyWaKRzI/maxresdefault.jpg,0,False,True,public,https://www.youtube.com/watch?v=zVMdyWaKRzI,https://www.youtube.com/watch?v=zVMdyWaKRzI
4,PyLadies Around the World - Poland,https://www.youtube.com/watch?v=uFvIcVqR5Dw,uFvIcVqR5Dw,PyLadies,@PyLadiesGlobal,https://www.youtube.com/@PyLadiesGlobal,20241206,44,46,0,,"Python,PyLadies,PyLadiesCon,PyLadies Poland",Nonprofits & Activism,,https://i.ytimg.com/vi/uFvIcVqR5Dw/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=uFvIcVqR5Dw,https://www.youtube.com/watch?v=uFvIcVqR5Dw
5,PyLadies in Open Source,https://www.youtube.com/watch?v=1IWKkU0WEWY,1IWKkU0WEWY,PyLadies,@PyLadiesGlobal,https://www.youtube.com/@PyLadiesGlobal,20241207,2394,119,9,,"PyLadiesCon,PyLadies,Python,Open Source",Nonprofits & Activism,"Language: English
Host: Abigail Mesrenyame Dogbe
Speakers: Melissa Weber Mendonça, Jessica Tegner, Yaa Nuamah Kusi-Fordjour, Natalia

Experiences and stories from PyLadies in Open Source.",https://i.ytimg.com/vi/1IWKkU0WEWY/maxresdefault.jpg,0,False,True,public,https://www.youtube.com/watch?v=1IWKkU0WEWY,https://www.youtube.com/watch?v=1IWKkU0WEWY
6,Sheila M  Saia - Empowering Sustainable Agriculture: Quantifying the Impact of Water Resources...,https://www.youtube.com/watch?v=4jiYyEBLhLw,4jiYyEBLhLw,PyLadies,@PyLadiesGlobal,https://www.youtube.com/@PyLadiesGlobal,20241206,922,107,5,1.0,"Python,PyLadies,PyLadiesCon",Nonprofits & Activism,"Empowering Sustainable Agriculture: Quantifying the Impact of Water Resources Management Practices with Python

Language: English

Addressing complex water quantity and water quality challenges in agricultural landscapes across the United States requires creative conservation approaches. To rise to this challenge, the Ecosystem Services Market Consortium (ESMC) recognizes and rewards agricultural producers who implement sustainable water management practices on their fields. However, it is difficult to quantity the impact of spatially-explicit water management practices for thousands of individual agricultural fields across the United States. This is where Python comes in. This presentation will provide an overview of the collaborative effort to develop a Python-based tool capable of quantifying the impacts of water quantity and water quality management practices on agricultural fields. Specifically, we will discuss ESMC’s needs, the general structure and function of the tool, and how we leveraged open-source Python libraries, publicly available geospatial datasets, and scientifically-based hydrological approaches to meet project goals. We will end with lessons learned and tips for PyLadies looking to venture into Python tool development for scientific applications.",https://i.ytimg.com/vi/4jiYyEBLhLw/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=4jiYyEBLhLw,https://www.youtube.com/watch?v=4jiYyEBLhLw
7,PyLadies Around the World 2024 - Berlin,https://www.youtube.com/watch?v=ZJXqNciUrf0,ZJXqNciUrf0,PyLadies,@PyLadiesGlobal,https://www.youtube.com/@PyLadiesGlobal,20241206,74,46,1,,"Python,PyLadies,PyLadiesCon,PyLadies Berlin",Nonprofits & Activism,,https://i.ytimg.com/vi/ZJXqNciUrf0/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=ZJXqNciUrf0,https://www.youtube.com/watch?v=ZJXqNciUrf0
8,Terri Oda - Better Mentoring While Overwhelmed,https://www.youtube.com/watch?v=f3jANvf3yK8,f3jANvf3yK8,PyLadies,@PyLadiesGlobal,https://www.youtube.com/@PyLadiesGlobal,20241206,1213,61,2,1.0,"Python,PyLadies,PyLadiesCon,mentorship",Nonprofits & Activism,"Language: English 

Big mentoring programs can help new contributors find your project, but if you've ever participated in something like Hacktoberfest or Google Summer of Code, it can be overwhelming to get so many new contributors at once. Even events like the PyCon sprints or hackathons take a surprising amount of preparation.  Let's talk a bit about preparing your documentation, your tests, your tools, and your mentors so you're resilient and ready for a potential flood of new contributors.

I once worked with a women in tech organization that asked me to run a hackathon with about a week of warning, and they were totally taken aback when I said that wasn't enough time -- I'd done hackathons in the past, surely it was a thing I could throw together in time for their conference?

The best mentoring events take a lot of preparation.  It's very easy to run an event where people feel like they didn't do much, or they didn't understand things, or things didn't work, or where the experienced folk got stuff done and the beginners got stuck and no one noticed.    It takes more preparation to run events where you really manage to onboard people to your project, or at least let them get a real taste of contributing.

I've been running Google Summer of Code for the Python Software Foundation for a decade or so and participated in a lot of hackathons and code sprints.    I love these events, but one of the biggest problems is that you often get a whole lot of contributors showing up at once, more than your mentors can handle in an ideal world.  Sometimes they're very anxious and pushy, especially in cases where there are prizes or money involved.  It's hard.

So let's talk about how to prepare.  First, documentation: how much do you need?  How do you test it? How can you empower your new contributors to help?

Second, tests and automation.  Let's talk about linters, test coverage, and tools like pre-commit that might help people get quick feedback even if there's no mentor available.

Third, let's talk about bugs for new users, how to triage your issues list, and help let people self-direct.

Finally, let's talk about mentoring your mentors: how to use a buddy system, how to check in with the mentors, getting post-flood feedback, and keeping your mentors from burning out. I use buddy system for running whole programs and it helped Python-GSoC run smoothly when I had a kid.",https://i.ytimg.com/vi/f3jANvf3yK8/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=f3jANvf3yK8,https://www.youtube.com/watch?v=f3jANvf3yK8
9,Jessica Temporal - Device Flow: Login em Dispositivos com Restrição de Entrada,https://www.youtube.com/watch?v=eFRCGmU6scM,eFRCGmU6scM,PyLadies,@PyLadiesGlobal,https://www.youtube.com/@PyLadiesGlobal,20241206,1190,49,2,,"Python,PyLadies,PyLadiesCon",Nonprofits & Activism,"Language : Portuguese

Você já ouviu falar do fluxo de autorização de dispositivo (device flow)? Pode ser que você não tenha ouvido falar, mas é bem provável que você já tenha usado.

O device flow permite que você faça login em seus aplicativos em dispositivos com restrição de entrada, pense em dispositivos IoT ou smart TVs, por exemplo.

Ótimas aplicações permitem que o usuário continue o processo de login em um dispositivo mais confortável, ao invés de usar por exemplo o teclado virtual em uma SmartTV.

Se você está desenvolvendo aplicações que precisam desse tipo de conectividade, assista essa palestra para aprender o que é o fluxo de dispositivo, como ele funciona e, melhor ainda, vê-lo funcionando em uma aplicação que integra Python (usando FastAPI) e MicroPython.

Estrutura da palestra:

1. Introdução: quem sou eu, o contexto para o uso do fluxo de dispositivo;
2. Fluxo de Autorização de Dispositivo: Passo a passo do fluxo de dispositivo, entidades envolvidas no fluxo;
3. O Fluxo na prática: estrutura da aplicação de exemplo construída em Python (backend em FastAPI) e Micropython no dispositivo usado, com uma rápida demonstração do funcionamento das partes;
4. Considerações finais: um resumo dos principais pontos abordados, compartilhamento de links.",https://i.ytimg.com/vi/eFRCGmU6scM/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=eFRCGmU6scM,https://www.youtube.com/watch?v=eFRCGmU6scM
10,PyLadies Around the World - Boston,https://www.youtube.com/watch?v=RkfLFtvon-I,RkfLFtvon-I,PyLadies,@PyLadiesGlobal,https://www.youtube.com/@PyLadiesGlobal,20241206,143,55,3,,"Python,PyLadies,PyLadiesCon,PyLadies Boston",Nonprofits & Activism,,https://i.ytimg.com/vi/RkfLFtvon-I/maxresdefault.jpg,0,False,False,public,https://www.youtube.com/watch?v=RkfLFtvon-I,https://www.youtube.com/watch?v=RkfLFtvon-I
11,El Futuro de la IA: Oportunidades y Desafíos en un Mundo Interconectado,https://www.youtube.com/watch?v=Xukh25kfyrA,Xukh25kfyrA,PyLadies,@PyLadiesGlobal,https://www.youtube.com/@PyLadiesGlobal,20241207,2132,76,4,,"PyLadiesCon,PyLadies,Python",Nonprofits & Activism,"Language: Spanish
Host: Paula Andrea Pinzón Maldonado
Speakers: Laura Funderburk, Marcela Huerfano B. , Tania Yovanović , Mai Giménez",https://i.ytimg.com/vi/Xukh25kfyrA/maxresdefault.jpg,0,False,True,public,https://www.youtube.com/watch?v=Xukh25kfyrA,https://www.youtube.com/watch?v=Xukh25kfyrA
